NAME                                     CPU(cores)   MEMORY(bytes)   
frontend-7bd6f45654-dnhzb                70m          44Mi            
currencyservice-7c8fc8fc9c-rtbz4         55m          123Mi           
recommendationservice-7444754ff5-kk4vc   47m          80Mi            
productcatalogservice-65bbf699df-d9cxl   31m          42Mi            
cartservice-db96d6fcc-tsdhc              30m          145Mi           
adservice-574bff445c-k5l76               22m          275Mi           
emailservice-66944ff59-zvg4w             5m           56Mi            
checkoutservice-5b6d96c9b7-fwtng         5m           37Mi            
redis-cart-c8ff86559-gpcc7               5m           36Mi            
shippingservice-f956b6d9f-ml5cg          5m           31Mi            
paymentservice-9bfb7bf5-9mdwz            3m           126Mi           
productcatalogservice-65bbf699df-2hv25   2m           18Mi            
productcatalogservice-65bbf699df-8ztwv   1m           19Mi            
