adservice-574bff445c-dq4dw               48m    281Mi   
cartservice-765b6959c9-bcmfz             104m   159Mi   
checkoutservice-5b6d96c9b7-9bqv8         27m    38Mi    
currencyservice-7c8fc8fc9c-9dtdc         174m   118Mi   
emailservice-66944ff59-xd6ch             13m    57Mi    
frontend-7bd6f45654-8lrp5                199m   52Mi    
paymentservice-9bfb7bf5-gfxs2            9m     125Mi   
productcatalogservice-65bbf699df-cv7w7   1m     17Mi    
productcatalogservice-65bbf699df-jvkg4   1m     18Mi    
productcatalogservice-65bbf699df-vsc98   92m    43Mi    
recommendationservice-7444754ff5-fthxq   199m   81Mi    
redis-cart-c8ff86559-lhjtw               8m     36Mi    
shippingservice-f956b6d9f-z5rrl          18m    33Mi    
