adservice-574bff445c-2zzqg               6m    153Mi   
adservice-574bff445c-4w7zh               22m   216Mi   
adservice-574bff445c-k5l76               9m    275Mi   
cartservice-db96d6fcc-6kndn              11m   131Mi   
cartservice-db96d6fcc-tsdhc              10m   145Mi   
cartservice-db96d6fcc-x6v6f              3m    108Mi   
checkoutservice-5b6d96c9b7-fwtng         4m    37Mi    
checkoutservice-5b6d96c9b7-lwnbx         1m    16Mi    
checkoutservice-5b6d96c9b7-tvvwl         1m    15Mi    
currencyservice-7c8fc8fc9c-6tsnv         27m   105Mi   
currencyservice-7c8fc8fc9c-rtbz4         12m   124Mi   
currencyservice-7c8fc8fc9c-s92sq         4m    75Mi    
emailservice-66944ff59-62x8j             4m    56Mi    
emailservice-66944ff59-xh284             4m    56Mi    
emailservice-66944ff59-zvg4w             5m    56Mi    
frontend-7bd6f45654-dnhzb                9m    43Mi    
frontend-7bd6f45654-jwp2b                13m   21Mi    
frontend-7bd6f45654-xmsf8                19m   21Mi    
paymentservice-9bfb7bf5-9mdwz            3m    126Mi   
paymentservice-9bfb7bf5-w2dt7            3m    69Mi    
paymentservice-9bfb7bf5-x4kz9            3m    66Mi    
productcatalogservice-65bbf699df-2hv25   3m    21Mi    
productcatalogservice-65bbf699df-8ztwv   8m    19Mi    
productcatalogservice-65bbf699df-d9cxl   10m   43Mi    
recommendationservice-7444754ff5-kk4vc   15m   80Mi    
recommendationservice-7444754ff5-w69fs   16m   54Mi    
recommendationservice-7444754ff5-w769g   4m    51Mi    
redis-cart-c8ff86559-gpcc7               3m    36Mi    
shippingservice-f956b6d9f-g5j6b          1m    15Mi    
shippingservice-f956b6d9f-m2h7g          2m    16Mi    
shippingservice-f956b6d9f-ml5cg          2m    31Mi    
