timestamp,snapshot,pod,cpu_m,ram_mi
18:06:59,0,adservice-574bff445c-2zzqg,218,144
18:06:59,0,adservice-574bff445c-4w7zh,208,162
18:06:59,0,adservice-574bff445c-k5l76,2,275
18:06:59,0,cartservice-db96d6fcc-6kndn,70,82
18:06:59,0,cartservice-db96d6fcc-tsdhc,2,145
18:06:59,0,cartservice-db96d6fcc-x6v6f,76,82
18:06:59,0,checkoutservice-5b6d96c9b7-fwtng,1,37
18:06:59,0,checkoutservice-5b6d96c9b7-lwnbx,1,12
18:06:59,0,checkoutservice-5b6d96c9b7-tvvwl,1,12
18:06:59,0,currencyservice-7c8fc8fc9c-6tsnv,21,89
18:06:59,0,currencyservice-7c8fc8fc9c-rtbz4,1,124
18:06:59,0,currencyservice-7c8fc8fc9c-s92sq,22,70
18:06:59,0,emailservice-66944ff59-62x8j,65,56
18:06:59,0,emailservice-66944ff59-xh284,65,56
18:06:59,0,emailservice-66944ff59-zvg4w,3,56
18:06:59,0,frontend-7bd6f45654-dnhzb,1,43
18:06:59,0,frontend-7bd6f45654-jwp2b,2,13
18:06:59,0,frontend-7bd6f45654-xmsf8,2,11
18:06:59,0,paymentservice-9bfb7bf5-9mdwz,1,126
18:06:59,0,paymentservice-9bfb7bf5-w2dt7,20,65
18:06:59,0,paymentservice-9bfb7bf5-x4kz9,20,63
18:06:59,0,productcatalogservice-65bbf699df-2hv25,1,18
18:06:59,0,productcatalogservice-65bbf699df-8ztwv,1,19
18:06:59,0,productcatalogservice-65bbf699df-d9cxl,1,42
18:06:59,0,recommendationservice-7444754ff5-kk4vc,3,80
18:06:59,0,recommendationservice-7444754ff5-w69fs,63,51
18:06:59,0,recommendationservice-7444754ff5-w769g,61,51
18:06:59,0,redis-cart-c8ff86559-gpcc7,2,36
18:06:59,0,shippingservice-f956b6d9f-g5j6b,1,12
18:06:59,0,shippingservice-f956b6d9f-m2h7g,1,12
18:06:59,0,shippingservice-f956b6d9f-ml5cg,1,31
18:07:09,1,adservice-574bff445c-2zzqg,6,143
18:07:09,1,adservice-574bff445c-4w7zh,6,161
18:07:09,1,adservice-574bff445c-k5l76,3,275
18:07:09,1,cartservice-db96d6fcc-6kndn,19,83
18:07:09,1,cartservice-db96d6fcc-tsdhc,3,145
18:07:09,1,cartservice-db96d6fcc-x6v6f,17,85
18:07:09,1,checkoutservice-5b6d96c9b7-fwtng,1,37
18:07:09,1,checkoutservice-5b6d96c9b7-lwnbx,1,12
18:07:09,1,checkoutservice-5b6d96c9b7-tvvwl,1,12
18:07:09,1,currencyservice-7c8fc8fc9c-6tsnv,3,91
18:07:09,1,currencyservice-7c8fc8fc9c-rtbz4,3,124
18:07:09,1,currencyservice-7c8fc8fc9c-s92sq,3,72
18:07:09,1,emailservice-66944ff59-62x8j,3,56
18:07:09,1,emailservice-66944ff59-xh284,3,56
18:07:09,1,emailservice-66944ff59-zvg4w,4,56
18:07:09,1,frontend-7bd6f45654-dnhzb,2,43
18:07:09,1,frontend-7bd6f45654-jwp2b,2,14
18:07:09,1,frontend-7bd6f45654-xmsf8,1,12
18:07:09,1,paymentservice-9bfb7bf5-9mdwz,2,126
18:07:09,1,paymentservice-9bfb7bf5-w2dt7,3,65
18:07:09,1,paymentservice-9bfb7bf5-x4kz9,4,63
18:07:09,1,productcatalogservice-65bbf699df-2hv25,1,18
18:07:09,1,productcatalogservice-65bbf699df-8ztwv,1,19
18:07:09,1,productcatalogservice-65bbf699df-d9cxl,1,42
18:07:09,1,recommendationservice-7444754ff5-kk4vc,4,80
18:07:09,1,recommendationservice-7444754ff5-w69fs,4,51
