adservice-574bff445c-dq4dw               106m   282Mi   
adservice-574bff445c-jc7m4               3m     181Mi   
adservice-574bff445c-tbr78               4m     188Mi   
cartservice-765b6959c9-bcmfz             98m    164Mi   
cartservice-765b6959c9-n6fwn             111m   153Mi   
cartservice-765b6959c9-qnq65             2m     111Mi   
checkoutservice-5b6d96c9b7-6fth9         23m    22Mi    
checkoutservice-5b6d96c9b7-9bqv8         23m    38Mi    
checkoutservice-5b6d96c9b7-j6swl         1m     16Mi    
currencyservice-7c8fc8fc9c-9dtdc         164m   114Mi   
currencyservice-7c8fc8fc9c-fknl8         3m     85Mi    
currencyservice-7c8fc8fc9c-vt2gd         195m   126Mi   
emailservice-66944ff59-8jhrl             5m     56Mi    
emailservice-66944ff59-xd6ch             21m    57Mi    
emailservice-66944ff59-xhss4             8m     56Mi    
frontend-7bd6f45654-8lrp5                176m   58Mi    
frontend-7bd6f45654-kpk99                145m   32Mi    
frontend-7bd6f45654-zl99v                198m   33Mi    
paymentservice-9bfb7bf5-gfxs2            8m     127Mi   
paymentservice-9bfb7bf5-s8hj7            9m     78Mi    
paymentservice-9bfb7bf5-t6d8q            2m     80Mi    
productcatalogservice-65bbf699df-cv7w7   7m     20Mi    
productcatalogservice-65bbf699df-jvkg4   110m   22Mi    
productcatalogservice-65bbf699df-vsc98   113m   44Mi    
recommendationservice-7444754ff5-9t2qj   200m   56Mi    
recommendationservice-7444754ff5-fthxq   199m   57Mi    
redis-cart-c8ff86559-lhjtw               14m    37Mi    
shippingservice-f956b6d9f-cdqmk          19m    17Mi    
shippingservice-f956b6d9f-scpqb          1m     16Mi    
shippingservice-f956b6d9f-z5rrl          18m    33Mi    
