adservice-574bff445c-dq4dw               79m    281Mi   
adservice-574bff445c-jc7m4               4m     156Mi   
adservice-574bff445c-tbr78               4m     165Mi   
cartservice-765b6959c9-bcmfz             157m   160Mi   
cartservice-765b6959c9-n6fwn             3m     111Mi   
cartservice-765b6959c9-qnq65             9m     109Mi   
checkoutservice-5b6d96c9b7-6fth9         9m     19Mi    
checkoutservice-5b6d96c9b7-9bqv8         25m    37Mi    
checkoutservice-5b6d96c9b7-j6swl         1m     15Mi    
currencyservice-7c8fc8fc9c-9dtdc         168m   126Mi   
currencyservice-7c8fc8fc9c-fknl8         188m   111Mi   
currencyservice-7c8fc8fc9c-vt2gd         2m     79Mi    
emailservice-66944ff59-8jhrl             3m     56Mi    
emailservice-66944ff59-xd6ch             16m    57Mi    
emailservice-66944ff59-xhss4             3m     56Mi    
frontend-7bd6f45654-8lrp5                175m   53Mi    
frontend-7bd6f45654-kpk99                174m   24Mi    
frontend-7bd6f45654-zl99v                129m   26Mi    
paymentservice-9bfb7bf5-gfxs2            9m     125Mi   
paymentservice-9bfb7bf5-s8hj7            6m     72Mi    
paymentservice-9bfb7bf5-t6d8q            2m     76Mi    
productcatalogservice-65bbf699df-cv7w7   3m     18Mi    
productcatalogservice-65bbf699df-jvkg4   67m    21Mi    
productcatalogservice-65bbf699df-vsc98   139m   43Mi    
recommendationservice-7444754ff5-9t2qj   120m   54Mi    
recommendationservice-7444754ff5-fthxq   200m   81Mi    
recommendationservice-7444754ff5-sg55v   3m     51Mi    
redis-cart-c8ff86559-lhjtw               11m    36Mi    
shippingservice-f956b6d9f-cdqmk          14m    16Mi    
shippingservice-f956b6d9f-scpqb          1m     15Mi    
shippingservice-f956b6d9f-z5rrl          15m    33Mi    
