timestamp,load_label,pod,cpu_m,ram_mi
10:11:42,idle,adservice-574bff445c-dq4dw,2,280
10:11:42,idle,adservice-574bff445c-jc7m4,268,52
10:11:42,idle,adservice-574bff445c-tbr78,268,64
10:11:42,idle,cartservice-765b6959c9-bcmfz,4,159
10:11:42,idle,cartservice-765b6959c9-qnq65,255,30
10:11:42,idle,checkoutservice-5b6d96c9b7-9bqv8,1,37
10:11:42,idle,currencyservice-7c8fc8fc9c-9dtdc,3,112
10:11:42,idle,emailservice-66944ff59-xd6ch,7,57
10:11:42,idle,frontend-7bd6f45654-8lrp5,1,49
10:11:42,idle,paymentservice-9bfb7bf5-gfxs2,3,125
10:11:42,idle,productcatalogservice-65bbf699df-cv7w7,1,18
10:11:42,idle,productcatalogservice-65bbf699df-jvkg4,1,18
10:11:42,idle,productcatalogservice-65bbf699df-vsc98,1,44
10:11:42,idle,recommendationservice-7444754ff5-fthxq,8,81
10:11:42,idle,redis-cart-c8ff86559-lhjtw,3,36
10:11:42,idle,shippingservice-f956b6d9f-z5rrl,2,34
10:11:53,25u,adservice-574bff445c-dq4dw,1,280
10:11:53,25u,adservice-574bff445c-jc7m4,298,112
10:11:53,25u,adservice-574bff445c-tbr78,298,120
10:11:53,25u,cartservice-765b6959c9-bcmfz,4,159
10:11:53,25u,cartservice-765b6959c9-n6fwn,248,77
10:11:53,25u,cartservice-765b6959c9-qnq65,239,81
10:11:53,25u,checkoutservice-5b6d96c9b7-6fth9,1,11
10:11:53,25u,checkoutservice-5b6d96c9b7-9bqv8,1,37
10:11:53,25u,checkoutservice-5b6d96c9b7-j6swl,4,12
10:11:53,25u,currencyservice-7c8fc8fc9c-9dtdc,1,112
10:11:53,25u,currencyservice-7c8fc8fc9c-fknl8,120,80
10:11:53,25u,currencyservice-7c8fc8fc9c-vt2gd,121,72
10:11:53,25u,emailservice-66944ff59-8jhrl,171,53
10:11:53,25u,emailservice-66944ff59-xd6ch,5,57
10:11:53,25u,emailservice-66944ff59-xhss4,173,53
10:11:53,25u,frontend-7bd6f45654-8lrp5,1,49
10:11:53,25u,frontend-7bd6f45654-kpk99,2,12
10:11:53,25u,frontend-7bd6f45654-zl99v,2,11
10:11:53,25u,paymentservice-9bfb7bf5-gfxs2,1,125
10:11:53,25u,paymentservice-9bfb7bf5-s8hj7,118,60
10:11:53,25u,paymentservice-9bfb7bf5-t6d8q,116,73
10:11:53,25u,productcatalogservice-65bbf699df-cv7w7,1,18
10:11:53,25u,productcatalogservice-65bbf699df-jvkg4,1,18
10:11:53,25u,productcatalogservice-65bbf699df-vsc98,1,44
10:11:53,25u,recommendationservice-7444754ff5-9t2qj,175,51
10:11:53,25u,recommendationservice-7444754ff5-fthxq,5,81
10:11:53,25u,recommendationservice-7444754ff5-sg55v,169,51
10:11:53,25u,redis-cart-c8ff86559-lhjtw,4,36
10:11:53,25u,shippingservice-f956b6d9f-cdqmk,2,11
10:11:53,25u,shippingservice-f956b6d9f-scpqb,4,12
10:11:53,25u,shippingservice-f956b6d9f-z5rrl,1,34
10:12:03,25u,adservice-574bff445c-dq4dw,38,280
10:12:03,25u,adservice-574bff445c-jc7m4,116,129
10:12:03,25u,adservice-574bff445c-tbr78,117,138
10:12:03,25u,cartservice-765b6959c9-bcmfz,70,159
10:12:03,25u,cartservice-765b6959c9-n6fwn,22,82
10:12:03,25u,cartservice-765b6959c9-qnq65,25,85
10:12:03,25u,checkoutservice-5b6d96c9b7-6fth9,13,18
10:12:03,25u,checkoutservice-5b6d96c9b7-9bqv8,9,37
10:12:03,25u,checkoutservice-5b6d96c9b7-j6swl,1,12
10:12:03,25u,currencyservice-7c8fc8fc9c-9dtdc,71,113
10:12:03,25u,currencyservice-7c8fc8fc9c-fknl8,130,92
10:12:03,25u,currencyservice-7c8fc8fc9c-vt2gd,3,74
10:12:03,25u,emailservice-66944ff59-8jhrl,196,51
10:12:03,25u,emailservice-66944ff59-xd6ch,9,57
10:12:03,25u,emailservice-66944ff59-xhss4,184,50
10:12:03,25u,frontend-7bd6f45654-8lrp5,69,50
10:12:03,25u,frontend-7bd6f45654-kpk99,67,21
10:12:03,25u,frontend-7bd6f45654-zl99v,76,21
10:12:03,25u,paymentservice-9bfb7bf5-gfxs2,5,125
10:12:03,25u,paymentservice-9bfb7bf5-s8hj7,11,64
