NAME                    READY   UP-TO-DATE   AVAILABLE   AGE   CONTAINERS   IMAGES                  SELECTOR
adservice               1/1     1            1           48m   server       adservice               app=adservice
cartservice             1/1     1            1           48m   server       cartservice             app=cartservice
checkoutservice         1/1     1            1           48m   server       checkoutservice         app=checkoutservice
currencyservice         3/3     3            3           48m   server       currencyservice         app=currencyservice
emailservice            1/1     1            1           48m   server       emailservice            app=emailservice
frontend                3/3     3            3           48m   server       frontend                app=frontend
loadgenerator           0/0     0            0           48m   main         loadgenerator           app=loadgenerator
paymentservice          1/1     1            1           48m   server       paymentservice          app=paymentservice
productcatalogservice   1/1     1            1           48m   server       productcatalogservice   app=productcatalogservice
recommendationservice   1/1     1            1           48m   server       recommendationservice   app=recommendationservice
redis-cart              1/1     1            1           48m   redis        redis:alpine            app=redis-cart
shippingservice         1/1     1            1           48m   server       shippingservice         app=shippingservice
