NAME                                     READY   STATUS    RESTARTS      AGE     IP           NODE             NOMINATED NODE   READINESS GATES
adservice-574bff445c-lrlh5               1/1     Running   0             48m     10.1.1.120   docker-desktop   <none>           <none>
cartservice-6ff76684b-gppjt              1/1     Running   1 (43m ago)   48m     10.1.1.121   docker-desktop   <none>           <none>
checkoutservice-5b6d96c9b7-scdqr         1/1     Running   0             48m     10.1.1.123   docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-pjfwf         1/1     Running   0             4m58s   10.1.1.133   docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-r5tjx         1/1     Running   0             4m58s   10.1.1.134   docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-r8xqf         1/1     Running   0             48m     10.1.1.122   docker-desktop   <none>           <none>
emailservice-66944ff59-kvdhl             1/1     Running   0             48m     10.1.1.125   docker-desktop   <none>           <none>
frontend-7bd6f45654-4vrf6                1/1     Running   0             48m     10.1.1.126   docker-desktop   <none>           <none>
frontend-7bd6f45654-qpmm4                1/1     Running   0             4m58s   10.1.1.131   docker-desktop   <none>           <none>
frontend-7bd6f45654-xmwzg                1/1     Running   0             4m58s   10.1.1.132   docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-sv6z9            1/1     Running   0             48m     10.1.1.127   docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-78ts9   1/1     Running   0             48m     10.1.1.128   docker-desktop   <none>           <none>
recommendationservice-7444754ff5-52dz4   1/1     Running   0             48m     10.1.1.129   docker-desktop   <none>           <none>
redis-cart-78cc67775d-xfmzd              1/1     Running   0             48m     10.1.1.124   docker-desktop   <none>           <none>
shippingservice-f956b6d9f-97t8h          1/1     Running   0             48m     10.1.1.130   docker-desktop   <none>           <none>
