timestamp,load_label,pod,cpu_m,ram_mi
15:19:13,idle,adservice-574bff445c-lrlh5,12,244
15:19:13,idle,cartservice-6ff76684b-gppjt,1,126
15:19:13,idle,checkoutservice-5b6d96c9b7-scdqr,1,31
15:19:13,idle,currencyservice-7c8fc8fc9c-pjfwf,1,74
15:19:13,idle,currencyservice-7c8fc8fc9c-r5tjx,1,68
15:19:13,idle,currencyservice-7c8fc8fc9c-r8xqf,1,105
15:19:13,idle,emailservice-66944ff59-kvdhl,3,94
15:19:13,idle,frontend-7bd6f45654-4vrf6,1,36
15:19:13,idle,frontend-7bd6f45654-qpmm4,2,15
15:19:13,idle,frontend-7bd6f45654-xmwzg,1,14
15:19:13,idle,paymentservice-9bfb7bf5-sv6z9,1,121
15:19:13,idle,productcatalogservice-65bbf699df-78ts9,1,42
15:19:13,idle,recommendationservice-7444754ff5-52dz4,3,77
15:19:13,idle,redis-cart-78cc67775d-xfmzd,3,10
15:19:13,idle,shippingservice-f956b6d9f-97t8h,1,30
15:19:24,25u,adservice-574bff445c-lrlh5,5,244
15:19:24,25u,cartservice-6ff76684b-gppjt,2,126
15:19:24,25u,checkoutservice-5b6d96c9b7-scdqr,1,31
15:19:24,25u,currencyservice-7c8fc8fc9c-pjfwf,1,74
15:19:24,25u,currencyservice-7c8fc8fc9c-r5tjx,1,68
15:19:24,25u,currencyservice-7c8fc8fc9c-r8xqf,1,105
15:19:24,25u,emailservice-66944ff59-kvdhl,3,94
15:19:24,25u,frontend-7bd6f45654-4vrf6,1,36
15:19:24,25u,frontend-7bd6f45654-qpmm4,1,15
15:19:24,25u,frontend-7bd6f45654-xmwzg,1,15
15:19:24,25u,paymentservice-9bfb7bf5-sv6z9,1,121
15:19:24,25u,productcatalogservice-65bbf699df-78ts9,1,42
15:19:24,25u,recommendationservice-7444754ff5-52dz4,3,77
15:19:24,25u,redis-cart-78cc67775d-xfmzd,4,11
15:19:24,25u,shippingservice-f956b6d9f-97t8h,1,30
15:19:34,25u,adservice-574bff445c-lrlh5,3,244
15:19:34,25u,checkoutservice-5b6d96c9b7-scdqr,1,31
15:19:34,25u,currencyservice-7c8fc8fc9c-pjfwf,33,78
15:19:34,25u,currencyservice-7c8fc8fc9c-r5tjx,41,72
15:19:34,25u,currencyservice-7c8fc8fc9c-r8xqf,2,105
15:19:34,25u,emailservice-66944ff59-kvdhl,3,94
15:19:34,25u,frontend-7bd6f45654-4vrf6,16,37
15:19:34,25u,frontend-7bd6f45654-qpmm4,36,19
