NAME                                     READY   STATUS    RESTARTS   AGE   IP            NODE                    NOMINATED NODE   READINESS GATES
adservice-6b57f598-9456d                 1/1     Running   0          60m   10.244.0.5    desktop-control-plane   <none>           <none>
adservice-6b57f598-p6vkh                 0/1     Running   0          29s   10.244.0.28   desktop-control-plane   <none>           <none>
adservice-6b57f598-rrz8r                 0/1     Running   0          29s   10.244.0.27   desktop-control-plane   <none>           <none>
cartservice-5c9cb955f-4dbt9              1/1     Running   0          29s   10.244.0.29   desktop-control-plane   <none>           <none>
cartservice-5c9cb955f-9lj5d              1/1     Running   0          29s   10.244.0.30   desktop-control-plane   <none>           <none>
cartservice-5c9cb955f-rt5kp              1/1     Running   0          57m   10.244.0.21   desktop-control-plane   <none>           <none>
checkoutservice-6f4dbd65bf-dgbw9         1/1     Running   0          28s   10.244.0.34   desktop-control-plane   <none>           <none>
checkoutservice-6f4dbd65bf-kmlms         1/1     Running   0          29s   10.244.0.25   desktop-control-plane   <none>           <none>
checkoutservice-6f4dbd65bf-svwng         1/1     Running   0          26s   10.244.0.47   desktop-control-plane   <none>           <none>
currencyservice-85c6cd6dbb-8pc2d         1/1     Running   0          28s   10.244.0.32   desktop-control-plane   <none>           <none>
currencyservice-85c6cd6dbb-kfvch         1/1     Running   0          59m   10.244.0.12   desktop-control-plane   <none>           <none>
currencyservice-85c6cd6dbb-t74rc         1/1     Running   0          28s   10.244.0.35   desktop-control-plane   <none>           <none>
emailservice-58fdf4955b-lx9n2            1/1     Running   0          28s   10.244.0.33   desktop-control-plane   <none>           <none>
emailservice-58fdf4955b-q25zn            1/1     Running   0          59m   10.244.0.13   desktop-control-plane   <none>           <none>
emailservice-58fdf4955b-t69q8            1/1     Running   0          28s   10.244.0.37   desktop-control-plane   <none>           <none>
envoy-grpc-lb-648f879c96-mjscl           1/1     Running   0          59m   10.244.0.14   desktop-control-plane   <none>           <none>
frontend-56d4848657-kdp2g                1/1     Running   0          28s   10.244.0.39   desktop-control-plane   <none>           <none>
frontend-56d4848657-nmdlk                1/1     Running   0          15s   10.244.0.49   desktop-control-plane   <none>           <none>
frontend-56d4848657-sng5f                1/1     Running   0          29s   10.244.0.24   desktop-control-plane   <none>           <none>
paymentservice-8496df49b8-2fqnb          1/1     Running   0          59m   10.244.0.17   desktop-control-plane   <none>           <none>
paymentservice-8496df49b8-lktgk          1/1     Running   0          28s   10.244.0.38   desktop-control-plane   <none>           <none>
paymentservice-8496df49b8-tl6pp          1/1     Running   0          27s   10.244.0.41   desktop-control-plane   <none>           <none>
productcatalogservice-5f85bf894b-blwzq   1/1     Running   0          59m   10.244.0.18   desktop-control-plane   <none>           <none>
productcatalogservice-5f85bf894b-d9xgg   1/1     Running   0          27s   10.244.0.43   desktop-control-plane   <none>           <none>
productcatalogservice-5f85bf894b-gdkbb   1/1     Running   0          27s   10.244.0.40   desktop-control-plane   <none>           <none>
recommendationservice-7d7f9f7777-5lpf2   1/1     Running   0          29s   10.244.0.26   desktop-control-plane   <none>           <none>
recommendationservice-7d7f9f7777-s2tp8   1/1     Running   0          27s   10.244.0.46   desktop-control-plane   <none>           <none>
recommendationservice-7d7f9f7777-t9jvv   1/1     Running   0          20s   10.244.0.48   desktop-control-plane   <none>           <none>
redis-cart-c8ff86559-stdzn               1/1     Running   0          60m   10.244.0.7    desktop-control-plane   <none>           <none>
shippingservice-68d7cfb5f8-lxf2h         1/1     Running   0          27s   10.244.0.45   desktop-control-plane   <none>           <none>
shippingservice-68d7cfb5f8-mtt26         1/1     Running   0          27s   10.244.0.44   desktop-control-plane   <none>           <none>
shippingservice-68d7cfb5f8-x26bd         1/1     Running   0          59m   10.244.0.20   desktop-control-plane   <none>           <none>
