adservice-6b57f598-9456d                 38m    249Mi   
adservice-6b57f598-p6vkh                 42m    246Mi   
adservice-6b57f598-rrz8r                 39m    244Mi   
cartservice-5c9cb955f-4dbt9              85m    137Mi   
cartservice-5c9cb955f-9lj5d              84m    135Mi   
cartservice-5c9cb955f-rt5kp              95m    142Mi   
checkoutservice-6f4dbd65bf-dgbw9         21m    25Mi    
checkoutservice-6f4dbd65bf-kmlms         21m    25Mi    
checkoutservice-6f4dbd65bf-svwng         22m    25Mi    
currencyservice-85c6cd6dbb-8pc2d         200m   75Mi    
currencyservice-85c6cd6dbb-kfvch         200m   81Mi    
currencyservice-85c6cd6dbb-t74rc         199m   76Mi    
emailservice-58fdf4955b-lx9n2            6m     59Mi    
emailservice-58fdf4955b-q25zn            7m     60Mi    
emailservice-58fdf4955b-t69q8            6m     59Mi    
envoy-grpc-lb-648f879c96-mjscl           473m   38Mi    
frontend-56d4848657-kdp2g                195m   41Mi    
frontend-56d4848657-nmdlk                197m   41Mi    
frontend-56d4848657-sng5f                195m   36Mi    
paymentservice-8496df49b8-2fqnb          8m     63Mi    
paymentservice-8496df49b8-lktgk          7m     61Mi    
paymentservice-8496df49b8-tl6pp          8m     61Mi    
productcatalogservice-5f85bf894b-blwzq   115m   28Mi    
productcatalogservice-5f85bf894b-d9xgg   116m   23Mi    
productcatalogservice-5f85bf894b-gdkbb   117m   25Mi    
recommendationservice-7d7f9f7777-5lpf2   129m   60Mi    
recommendationservice-7d7f9f7777-s2tp8   128m   60Mi    
recommendationservice-7d7f9f7777-t9jvv   128m   60Mi    
redis-cart-c8ff86559-stdzn               16m    11Mi    
shippingservice-68d7cfb5f8-lxf2h         13m    23Mi    
shippingservice-68d7cfb5f8-mtt26         14m    19Mi    
shippingservice-68d7cfb5f8-x26bd         15m    24Mi    
