adservice-574bff445c-6mj7s               55m    283Mi   
cartservice-7c84fdfb6-m5m6d              102m   166Mi   
checkoutservice-5b6d96c9b7-45rkr         28m    36Mi    
currencyservice-7c8fc8fc9c-4hm9g         156m   126Mi   
emailservice-66944ff59-2lcjl             14m    94Mi    
frontend-7bd6f45654-s2s7z                197m   49Mi    
paymentservice-9bfb7bf5-kgd56            11m    121Mi   
productcatalogservice-65bbf699df-j2fmg   97m    43Mi    
recommendationservice-7444754ff5-n8cbh   197m   80Mi    
redis-cart-c8ff86559-kcf44               7m     36Mi    
shippingservice-f956b6d9f-w7n4b          21m    30Mi    
