timestamp,load_label,pod,cpu_m,ram_mi
19:50:00,idle,adservice-574bff445c-6mj7s,16,250
19:50:00,idle,cartservice-7c84fdfb6-m5m6d,9,156
19:50:00,idle,checkoutservice-5b6d96c9b7-45rkr,1,33
19:50:00,idle,currencyservice-7c8fc8fc9c-4hm9g,14,112
19:50:00,idle,emailservice-66944ff59-2lcjl,3,94
19:50:00,idle,frontend-7bd6f45654-s2s7z,12,39
19:50:00,idle,paymentservice-9bfb7bf5-kgd56,2,116
19:50:00,idle,productcatalogservice-65bbf699df-j2fmg,6,42
19:50:00,idle,recommendationservice-7444754ff5-n8cbh,11,79
19:50:00,idle,redis-cart-c8ff86559-kcf44,3,35
19:50:00,idle,shippingservice-f956b6d9f-w7n4b,1,30
19:50:10,25u,adservice-574bff445c-6mj7s,16,250
19:50:10,25u,cartservice-7c84fdfb6-m5m6d,9,156
19:50:10,25u,checkoutservice-5b6d96c9b7-45rkr,1,33
19:50:10,25u,currencyservice-7c8fc8fc9c-4hm9g,14,112
19:50:10,25u,emailservice-66944ff59-2lcjl,3,94
19:50:10,25u,frontend-7bd6f45654-s2s7z,12,39
19:50:10,25u,paymentservice-9bfb7bf5-kgd56,2,116
19:50:10,25u,productcatalogservice-65bbf699df-j2fmg,6,42
19:50:10,25u,recommendationservice-7444754ff5-n8cbh,11,79
19:50:10,25u,redis-cart-c8ff86559-kcf44,3,35
19:50:10,25u,shippingservice-f956b6d9f-w7n4b,1,30
19:50:20,25u,adservice-574bff445c-6mj7s,89,265
19:50:20,25u,cartservice-7c84fdfb6-m5m6d,37,158
19:50:20,25u,checkoutservice-5b6d96c9b7-45rkr,6,33
19:50:20,25u,currencyservice-7c8fc8fc9c-4hm9g,72,115
19:50:20,25u,emailservice-66944ff59-2lcjl,6,94
19:50:20,25u,frontend-7bd6f45654-s2s7z,74,39
19:50:20,25u,paymentservice-9bfb7bf5-kgd56,6,116
19:50:20,25u,productcatalogservice-65bbf699df-j2fmg,34,42
19:50:20,25u,recommendationservice-7444754ff5-n8cbh,53,80
19:50:20,25u,redis-cart-c8ff86559-kcf44,5,36
19:50:20,25u,shippingservice-f956b6d9f-w7n4b,6,30
19:50:30,25u,adservice-574bff445c-6mj7s,145,279
19:50:30,25u,cartservice-7c84fdfb6-m5m6d,75,158
19:50:30,25u,checkoutservice-5b6d96c9b7-45rkr,14,33
19:50:30,25u,currencyservice-7c8fc8fc9c-4hm9g,143,122
19:50:30,25u,emailservice-66944ff59-2lcjl,8,94
19:50:30,25u,frontend-7bd6f45654-s2s7z,165,43
19:50:30,25u,paymentservice-9bfb7bf5-kgd56,9,118
19:50:30,25u,productcatalogservice-65bbf699df-j2fmg,77,42
19:50:30,25u,recommendationservice-7444754ff5-n8cbh,119,80
19:50:30,25u,redis-cart-c8ff86559-kcf44,6,36
19:50:30,25u,shippingservice-f956b6d9f-w7n4b,13,30
19:50:40,25u,adservice-574bff445c-6mj7s,145,279
19:50:40,25u,cartservice-7c84fdfb6-m5m6d,75,158
19:50:40,25u,checkoutservice-5b6d96c9b7-45rkr,14,33
19:50:40,25u,currencyservice-7c8fc8fc9c-4hm9g,143,122
19:50:40,25u,emailservice-66944ff59-2lcjl,8,94
19:50:40,25u,frontend-7bd6f45654-s2s7z,165,43
19:50:40,25u,paymentservice-9bfb7bf5-kgd56,9,118
19:50:40,25u,productcatalogservice-65bbf699df-j2fmg,77,42
19:50:40,25u,recommendationservice-7444754ff5-n8cbh,119,80
19:50:40,25u,redis-cart-c8ff86559-kcf44,6,36
19:50:40,25u,shippingservice-f956b6d9f-w7n4b,13,30
19:50:51,25u,adservice-574bff445c-6mj7s,91,283
19:50:51,25u,cartservice-7c84fdfb6-m5m6d,61,161
19:50:51,25u,checkoutservice-5b6d96c9b7-45rkr,11,33
19:50:51,25u,currencyservice-7c8fc8fc9c-4hm9g,104,123
19:50:51,25u,emailservice-66944ff59-2lcjl,7,94
19:50:51,25u,frontend-7bd6f45654-s2s7z,123,43
19:50:51,25u,paymentservice-9bfb7bf5-kgd56,11,119
19:50:51,25u,productcatalogservice-65bbf699df-j2fmg,59,42
19:50:51,25u,recommendationservice-7444754ff5-n8cbh,87,80
19:50:51,25u,redis-cart-c8ff86559-kcf44,5,36
19:50:51,25u,shippingservice-f956b6d9f-w7n4b,10,30
19:51:01,25u,adservice-574bff445c-6mj7s,93,293
19:51:01,25u,cartservice-7c84fdfb6-m5m6d,91,161
19:51:01,25u,checkoutservice-5b6d96c9b7-45rkr,17,34
19:51:01,25u,currencyservice-7c8fc8fc9c-4hm9g,150,108
19:51:01,25u,emailservice-66944ff59-2lcjl,9,94
19:51:01,25u,frontend-7bd6f45654-s2s7z,181,43
19:51:01,25u,paymentservice-9bfb7bf5-kgd56,12,121
19:51:01,25u,productcatalogservice-65bbf699df-j2fmg,88,42
19:51:01,25u,recommendationservice-7444754ff5-n8cbh,135,80
19:51:01,25u,redis-cart-c8ff86559-kcf44,7,36
19:51:01,25u,shippingservice-f956b6d9f-w7n4b,15,30
19:51:11,25u,adservice-574bff445c-6mj7s,93,293
19:51:11,25u,cartservice-7c84fdfb6-m5m6d,91,161
19:51:11,25u,checkoutservice-5b6d96c9b7-45rkr,17,34
19:51:11,25u,currencyservice-7c8fc8fc9c-4hm9g,150,108
19:51:11,25u,emailservice-66944ff59-2lcjl,9,94
19:51:11,25u,frontend-7bd6f45654-s2s7z,181,43
19:51:11,25u,paymentservice-9bfb7bf5-kgd56,12,121
19:51:11,25u,productcatalogservice-65bbf699df-j2fmg,88,42
19:51:11,25u,recommendationservice-7444754ff5-n8cbh,135,80
19:51:11,25u,redis-cart-c8ff86559-kcf44,7,36
19:51:11,25u,shippingservice-f956b6d9f-w7n4b,15,30
19:51:21,25u,adservice-574bff445c-6mj7s,85,291
19:51:21,25u,cartservice-7c84fdfb6-m5m6d,80,160
19:51:21,25u,checkoutservice-5b6d96c9b7-45rkr,16,34
19:51:21,25u,currencyservice-7c8fc8fc9c-4hm9g,133,110
19:51:21,25u,emailservice-66944ff59-2lcjl,9,94
19:51:21,25u,frontend-7bd6f45654-s2s7z,173,44
19:51:21,25u,paymentservice-9bfb7bf5-kgd56,9,121
19:51:21,25u,productcatalogservice-65bbf699df-j2fmg,82,42
19:51:21,25u,recommendationservice-7444754ff5-n8cbh,127,80
19:51:21,25u,redis-cart-c8ff86559-kcf44,7,36
19:51:21,25u,shippingservice-f956b6d9f-w7n4b,15,30
19:51:31,25u,adservice-574bff445c-6mj7s,66,286
19:51:31,25u,cartservice-7c84fdfb6-m5m6d,79,161
19:51:31,25u,checkoutservice-5b6d96c9b7-45rkr,16,34
19:51:31,25u,currencyservice-7c8fc8fc9c-4hm9g,136,113
19:51:31,25u,emailservice-66944ff59-2lcjl,9,94
19:51:31,25u,frontend-7bd6f45654-s2s7z,171,43
19:51:31,25u,paymentservice-9bfb7bf5-kgd56,13,113
19:51:31,25u,productcatalogservice-65bbf699df-j2fmg,82,42
19:51:31,25u,recommendationservice-7444754ff5-n8cbh,126,80
19:51:31,25u,redis-cart-c8ff86559-kcf44,7,36
19:51:31,25u,shippingservice-f956b6d9f-w7n4b,15,30
19:51:41,25u,adservice-574bff445c-6mj7s,66,286
19:51:41,25u,cartservice-7c84fdfb6-m5m6d,79,161
19:51:41,25u,checkoutservice-5b6d96c9b7-45rkr,16,34
19:51:41,25u,currencyservice-7c8fc8fc9c-4hm9g,136,113
19:51:41,25u,emailservice-66944ff59-2lcjl,9,94
19:51:41,25u,frontend-7bd6f45654-s2s7z,171,43
19:51:41,25u,paymentservice-9bfb7bf5-kgd56,13,113
19:51:41,25u,productcatalogservice-65bbf699df-j2fmg,82,42
19:51:41,25u,recommendationservice-7444754ff5-n8cbh,126,80
19:51:41,25u,redis-cart-c8ff86559-kcf44,7,36
19:51:41,25u,shippingservice-f956b6d9f-w7n4b,15,30
19:51:52,25u,adservice-574bff445c-6mj7s,79,285
19:51:52,25u,cartservice-7c84fdfb6-m5m6d,89,161
19:51:52,25u,checkoutservice-5b6d96c9b7-45rkr,22,34
19:51:52,25u,currencyservice-7c8fc8fc9c-4hm9g,160,113
19:51:52,25u,emailservice-66944ff59-2lcjl,11,94
19:51:52,25u,frontend-7bd6f45654-s2s7z,193,44
19:51:52,25u,paymentservice-9bfb7bf5-kgd56,13,113
19:51:52,25u,productcatalogservice-65bbf699df-j2fmg,93,42
19:51:52,25u,recommendationservice-7444754ff5-n8cbh,146,80
19:51:52,25u,redis-cart-c8ff86559-kcf44,7,36
19:51:52,25u,shippingservice-f956b6d9f-w7n4b,16,30
19:52:02,25u,adservice-574bff445c-6mj7s,136,291
19:52:02,25u,cartservice-7c84fdfb6-m5m6d,77,161
19:52:02,25u,checkoutservice-5b6d96c9b7-45rkr,15,34
19:52:02,25u,currencyservice-7c8fc8fc9c-4hm9g,138,113
19:52:02,25u,emailservice-66944ff59-2lcjl,8,94
19:52:02,25u,frontend-7bd6f45654-s2s7z,180,44
19:52:02,25u,paymentservice-9bfb7bf5-kgd56,7,113
19:52:02,25u,productcatalogservice-65bbf699df-j2fmg,86,42
19:52:02,25u,recommendationservice-7444754ff5-n8cbh,134,80
19:52:02,25u,redis-cart-c8ff86559-kcf44,6,36
