NAME                    READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS   IMAGES                  SELECTOR
adservice               1/1     1            1           5m41s   server       adservice               app=adservice
cartservice             1/1     1            1           5m41s   server       cartservice             app=cartservice
checkoutservice         1/1     1            1           5m41s   server       checkoutservice         app=checkoutservice
currencyservice         1/1     1            1           5m41s   server       currencyservice         app=currencyservice
emailservice            1/1     1            1           5m41s   server       emailservice            app=emailservice
frontend                1/1     1            1           5m41s   server       frontend                app=frontend
loadgenerator           0/0     0            0           5m41s   main         loadgenerator           app=loadgenerator
paymentservice          1/1     1            1           5m40s   server       paymentservice          app=paymentservice
productcatalogservice   1/1     1            1           5m40s   server       productcatalogservice   app=productcatalogservice
recommendationservice   1/1     1            1           5m40s   server       recommendationservice   app=recommendationservice
redis-cart              1/1     1            1           5m41s   redis        redis:alpine            app=redis-cart
shippingservice         1/1     1            1           5m40s   server       shippingservice         app=shippingservice
