timestamp,snapshot,pod,cpu,ram
17:55:14,0,frontend-7bd6f45654-dnhzb,11m,40Mi
17:55:14,0,recommendationservice-7444754ff5-kk4vc,11m,80Mi
17:55:14,0,currencyservice-7c8fc8fc9c-rtbz4,9m,122Mi
17:55:14,0,cartservice-db96d6fcc-tsdhc,6m,145Mi
17:55:14,0,productcatalogservice-65bbf699df-d9cxl,5m,42Mi
17:55:14,0,emailservice-66944ff59-zvg4w,4m,56Mi
17:55:14,0,adservice-574bff445c-k5l76,3m,274Mi
17:55:14,0,redis-cart-c8ff86559-gpcc7,3m,36Mi
17:55:14,0,checkoutservice-5b6d96c9b7-fwtng,1m,37Mi
17:55:14,0,paymentservice-9bfb7bf5-9mdwz,1m,125Mi
17:55:14,0,shippingservice-f956b6d9f-ml5cg,1m,31Mi
17:55:14,0,frontend-7bd6f45654-dnhzb,11m,40Mi
17:55:14,0,recommendationservice-7444754ff5-kk4vc,11m,80Mi
17:55:14,0,currencyservice-7c8fc8fc9c-rtbz4,9m,122Mi
17:55:14,0,cartservice-db96d6fcc-tsdhc,6m,145Mi
17:55:14,0,productcatalogservice-65bbf699df-d9cxl,5m,42Mi
17:55:14,0,emailservice-66944ff59-zvg4w,4m,56Mi
17:55:14,0,adservice-574bff445c-k5l76,3m,274Mi
17:55:14,0,redis-cart-c8ff86559-gpcc7,3m,36Mi
17:55:14,0,checkoutservice-5b6d96c9b7-fwtng,1m,37Mi
17:55:14,0,paymentservice-9bfb7bf5-9mdwz,1m,125Mi
17:55:14,0,shippingservice-f956b6d9f-ml5cg,1m,31Mi
17:55:24,1,recommendationservice-7444754ff5-kk4vc,9m,80Mi
17:55:24,1,currencyservice-7c8fc8fc9c-rtbz4,7m,122Mi
17:55:24,1,frontend-7bd6f45654-dnhzb,7m,40Mi
17:55:24,1,redis-cart-c8ff86559-gpcc7,6m,36Mi
17:55:24,1,cartservice-db96d6fcc-tsdhc,5m,145Mi
17:55:24,1,emailservice-66944ff59-zvg4w,4m,56Mi
17:55:24,1,productcatalogservice-65bbf699df-d9cxl,4m,42Mi
17:55:24,1,adservice-574bff445c-k5l76,3m,274Mi
17:55:24,1,checkoutservice-5b6d96c9b7-fwtng,1m,37Mi
17:55:24,1,paymentservice-9bfb7bf5-9mdwz,1m,125Mi
17:55:24,1,shippingservice-f956b6d9f-ml5cg,1m,31Mi
17:55:24,1,recommendationservice-7444754ff5-kk4vc,9m,80Mi
17:55:24,1,currencyservice-7c8fc8fc9c-rtbz4,7m,122Mi
17:55:24,1,frontend-7bd6f45654-dnhzb,7m,40Mi
17:55:24,1,redis-cart-c8ff86559-gpcc7,6m,36Mi
17:55:24,1,cartservice-db96d6fcc-tsdhc,5m,145Mi
17:55:24,1,emailservice-66944ff59-zvg4w,4m,56Mi
17:55:24,1,productcatalogservice-65bbf699df-d9cxl,4m,42Mi
17:55:24,1,adservice-574bff445c-k5l76,3m,274Mi
17:55:24,1,checkoutservice-5b6d96c9b7-fwtng,1m,37Mi
17:55:24,1,paymentservice-9bfb7bf5-9mdwz,1m,125Mi
17:55:24,1,shippingservice-f956b6d9f-ml5cg,1m,31Mi
17:55:34,2,frontend-7bd6f45654-dnhzb,43m,41Mi
17:55:34,2,recommendationservice-7444754ff5-kk4vc,34m,80Mi
17:55:34,2,currencyservice-7c8fc8fc9c-rtbz4,33m,122Mi
17:55:34,2,cartservice-db96d6fcc-tsdhc,22m,145Mi
17:55:34,2,productcatalogservice-65bbf699df-d9cxl,19m,42Mi
17:55:34,2,adservice-574bff445c-k5l76,9m,274Mi
17:55:34,2,emailservice-66944ff59-zvg4w,5m,56Mi
17:55:34,2,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:55:34,2,paymentservice-9bfb7bf5-9mdwz,3m,125Mi
17:55:34,2,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:55:34,2,shippingservice-f956b6d9f-ml5cg,3m,31Mi
17:55:34,2,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:55:34,2,productcatalogservice-65bbf699df-8ztwv,1m,15Mi
17:55:34,2,frontend-7bd6f45654-dnhzb,43m,41Mi
17:55:34,2,recommendationservice-7444754ff5-kk4vc,34m,80Mi
17:55:34,2,currencyservice-7c8fc8fc9c-rtbz4,33m,122Mi
