NAME                                     READY   STATUS             RESTARTS      AGE     IP          NODE             NOMINATED NODE   READINESS GATES
adservice-574bff445c-zmjkn               1/1     Running            4 (32m ago)   3d1h    10.1.3.41   docker-desktop   <none>           <none>
cartservice-67865899cb-z86bs             1/1     Running            0             2m22s   10.1.3.57   docker-desktop   <none>           <none>
checkoutservice-5b6d96c9b7-5xtnx         1/1     Running            0             25s     10.1.3.63   docker-desktop   <none>           <none>
currencyservice-54cc976b5d-5stmj         1/1     Running            0             18m     10.1.3.51   docker-desktop   <none>           <none>
emailservice-66944ff59-924vd             1/1     Running            4 (32m ago)   3d1h    10.1.3.34   docker-desktop   <none>           <none>
frontend-57589bfdf5-699vx                1/1     Running            0             2m22s   10.1.3.58   docker-desktop   <none>           <none>
loadgenerator-57fc5754d-z94cd            0/1     Error              0             5m20s   10.1.3.56   docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-mpf2j            1/1     Running            4 (32m ago)   3d1h    10.1.3.17   docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-gsmjq   1/1     Running            0             25m     10.1.3.48   docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-hxlb4   1/1     Running            0             25m     10.1.3.49   docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-t64z2   1/1     Running            4 (32m ago)   3d1h    10.1.3.42   docker-desktop   <none>           <none>
recommendationservice-7d7f9f7777-pdnlv   1/1     Running            4 (32m ago)   3d1h    10.1.3.21   docker-desktop   <none>           <none>
recommendationservice-7fcb95df56-fjl77   0/1     ImagePullBackOff   0             3d1h    10.1.3.14   docker-desktop   <none>           <none>
redis-cart-6497849db7-zllx7              1/1     Running            0             2m22s   10.1.3.59   docker-desktop   <none>           <none>
shippingservice-f956b6d9f-g9wg4          1/1     Running            4 (32m ago)   3d1h    10.1.3.23   docker-desktop   <none>           <none>
