timestamp,load_label,pod,cpu_m,ram_mi
16:10:45,idle,adservice-574bff445c-zmjkn,6,244
16:10:45,idle,cartservice-67865899cb-z86bs,16,129
16:10:45,idle,checkoutservice-5b6d96c9b7-5xtnx,5,17
16:10:45,idle,currencyservice-54cc976b5d-5stmj,13,113
16:10:45,idle,emailservice-66944ff59-924vd,4,56
16:10:45,idle,frontend-57589bfdf5-699vx,11,20
16:10:45,idle,paymentservice-9bfb7bf5-mpf2j,5,101
16:10:45,idle,productcatalogservice-65bbf699df-gsmjq,1,18
16:10:45,idle,productcatalogservice-65bbf699df-hxlb4,3,18
16:10:45,idle,productcatalogservice-65bbf699df-t64z2,1,22
16:10:45,idle,recommendationservice-7d7f9f7777-pdnlv,10,65
16:10:45,idle,redis-cart-6497849db7-zllx7,3,10
16:10:45,idle,shippingservice-f956b6d9f-g9wg4,2,18
16:10:55,25u,adservice-574bff445c-zmjkn,6,244
16:10:55,25u,cartservice-67865899cb-z86bs,16,129
16:10:55,25u,checkoutservice-5b6d96c9b7-5xtnx,5,17
16:10:55,25u,currencyservice-54cc976b5d-5stmj,13,113
16:10:55,25u,emailservice-66944ff59-924vd,4,56
16:10:55,25u,frontend-57589bfdf5-699vx,11,20
16:10:55,25u,paymentservice-9bfb7bf5-mpf2j,5,101
16:10:55,25u,productcatalogservice-65bbf699df-gsmjq,1,18
16:10:55,25u,productcatalogservice-65bbf699df-hxlb4,3,18
16:10:55,25u,productcatalogservice-65bbf699df-t64z2,1,22
16:10:55,25u,recommendationservice-7d7f9f7777-pdnlv,10,65
16:10:55,25u,redis-cart-6497849db7-zllx7,3,10
16:10:55,25u,shippingservice-f956b6d9f-g9wg4,2,18
16:11:05,25u,adservice-574bff445c-zmjkn,21,244
16:11:05,25u,cartservice-67865899cb-z86bs,56,130
16:11:05,25u,checkoutservice-5b6d96c9b7-5xtnx,9,18
16:11:05,25u,currencyservice-54cc976b5d-5stmj,78,114
16:11:05,25u,emailservice-66944ff59-924vd,8,56
16:11:05,25u,frontend-57589bfdf5-699vx,76,21
16:11:05,25u,paymentservice-9bfb7bf5-mpf2j,7,101
16:11:05,25u,productcatalogservice-65bbf699df-gsmjq,3,18
16:11:05,25u,productcatalogservice-65bbf699df-hxlb4,21,18
16:11:05,25u,productcatalogservice-65bbf699df-t64z2,1,22
16:11:05,25u,recommendationservice-7d7f9f7777-pdnlv,43,65
16:11:05,25u,redis-cart-6497849db7-zllx7,5,10
16:11:05,25u,shippingservice-f956b6d9f-g9wg4,8,18
16:11:15,25u,adservice-574bff445c-zmjkn,41,245
16:11:15,25u,cartservice-67865899cb-z86bs,85,131
16:11:15,25u,checkoutservice-5b6d96c9b7-5xtnx,14,18
16:11:15,25u,currencyservice-54cc976b5d-5stmj,131,116
16:11:15,25u,emailservice-66944ff59-924vd,9,57
16:11:15,25u,frontend-57589bfdf5-699vx,139,22
16:11:15,25u,paymentservice-9bfb7bf5-mpf2j,9,101
16:11:15,25u,productcatalogservice-65bbf699df-gsmjq,4,19
16:11:15,25u,productcatalogservice-65bbf699df-hxlb4,33,18
16:11:15,25u,productcatalogservice-65bbf699df-t64z2,1,22
16:11:15,25u,recommendationservice-7d7f9f7777-pdnlv,85,65
16:11:15,25u,redis-cart-6497849db7-zllx7,6,10
16:11:15,25u,shippingservice-f956b6d9f-g9wg4,14,17
16:11:25,25u,adservice-574bff445c-zmjkn,41,245
16:11:25,25u,cartservice-67865899cb-z86bs,85,131
16:11:25,25u,checkoutservice-5b6d96c9b7-5xtnx,14,18
16:11:25,25u,currencyservice-54cc976b5d-5stmj,131,116
16:11:25,25u,emailservice-66944ff59-924vd,9,57
16:11:25,25u,frontend-57589bfdf5-699vx,139,22
16:11:25,25u,paymentservice-9bfb7bf5-mpf2j,9,101
16:11:25,25u,productcatalogservice-65bbf699df-gsmjq,4,19
16:11:25,25u,productcatalogservice-65bbf699df-hxlb4,33,18
16:11:25,25u,productcatalogservice-65bbf699df-t64z2,1,22
16:11:25,25u,recommendationservice-7d7f9f7777-pdnlv,85,65
16:11:25,25u,redis-cart-6497849db7-zllx7,6,10
16:11:25,25u,shippingservice-f956b6d9f-g9wg4,14,17
16:11:35,25u,adservice-574bff445c-zmjkn,26,245
16:11:35,25u,cartservice-67865899cb-z86bs,67,133
16:11:35,25u,checkoutservice-5b6d96c9b7-5xtnx,10,18
16:11:35,25u,currencyservice-54cc976b5d-5stmj,90,116
16:11:35,25u,emailservice-66944ff59-924vd,7,56
16:11:35,25u,frontend-57589bfdf5-699vx,94,22
16:11:35,25u,paymentservice-9bfb7bf5-mpf2j,6,101
