timestamp,load_label,pod,cpu_m,ram_mi
20:35:53,idle,adservice-574bff445c-6mj7s,4,288
20:35:53,idle,cartservice-7c84fdfb6-m5m6d,7,177
20:35:53,idle,checkoutservice-5b6d96c9b7-45rkr,1,38
20:35:53,idle,currencyservice-7c8fc8fc9c-4hm9g,15,122
20:35:53,idle,emailservice-66944ff59-2lcjl,4,94
20:35:53,idle,frontend-7bd6f45654-s2s7z,14,52
20:35:53,idle,paymentservice-9bfb7bf5-kgd56,1,107
20:35:53,idle,productcatalogservice-65bbf699df-7w28t,1,20
20:35:53,idle,productcatalogservice-65bbf699df-j2fmg,6,43
20:35:53,idle,productcatalogservice-65bbf699df-qntf5,1,19
20:35:53,idle,recommendationservice-7444754ff5-n8cbh,11,81
20:35:53,idle,redis-cart-c8ff86559-kcf44,3,36
20:35:53,idle,shippingservice-f956b6d9f-w7n4b,1,32
20:36:03,25u,adservice-574bff445c-6mj7s,6,288
20:36:03,25u,cartservice-7c84fdfb6-m5m6d,10,177
20:36:03,25u,checkoutservice-5b6d96c9b7-45rkr,1,38
20:36:03,25u,currencyservice-7c8fc8fc9c-4hm9g,24,122
20:36:03,25u,emailservice-66944ff59-2lcjl,4,94
20:36:03,25u,frontend-7bd6f45654-s2s7z,22,52
20:36:03,25u,paymentservice-9bfb7bf5-kgd56,3,107
20:36:03,25u,productcatalogservice-65bbf699df-7w28t,1,20
20:36:03,25u,productcatalogservice-65bbf699df-j2fmg,10,43
20:36:03,25u,productcatalogservice-65bbf699df-qntf5,1,19
20:36:03,25u,recommendationservice-7444754ff5-n8cbh,16,81
20:36:03,25u,redis-cart-c8ff86559-kcf44,4,36
20:36:03,25u,shippingservice-f956b6d9f-w7n4b,2,32
20:36:13,25u,adservice-574bff445c-6mj7s,26,288
20:36:13,25u,cartservice-7c84fdfb6-m5m6d,53,177
20:36:13,25u,checkoutservice-5b6d96c9b7-45rkr,11,38
20:36:13,25u,currencyservice-7c8fc8fc9c-4hm9g,101,123
20:36:13,25u,emailservice-66944ff59-2lcjl,7,94
20:36:13,25u,frontend-7bd6f45654-s2s7z,125,53
