adservice-574bff445c-6mj7s               35m    287Mi   
cartservice-7c84fdfb6-m5m6d              71m    176Mi   
checkoutservice-5b6d96c9b7-45rkr         14m    38Mi    
currencyservice-7c8fc8fc9c-4hm9g         138m   125Mi   
emailservice-66944ff59-2lcjl             9m     94Mi    
frontend-7bd6f45654-s2s7z                163m   53Mi    
paymentservice-9bfb7bf5-kgd56            8m     125Mi   
productcatalogservice-65bbf699df-7w28t   1m     17Mi    
productcatalogservice-65bbf699df-j2fmg   75m    43Mi    
productcatalogservice-65bbf699df-qntf5   1m     17Mi    
recommendationservice-7444754ff5-n8cbh   122m   81Mi    
redis-cart-c8ff86559-kcf44               6m     36Mi    
shippingservice-f956b6d9f-w7n4b          14m    31Mi    
