Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777194011,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777194012,2,,Aggregated,0.000000,0.000000,24,26,28,30,30,30,30,30,30,30,30,10,0,24,23.850987600000042,16.982625000000027,30.016042000000077,11075.1
1777194013,4,,Aggregated,0.000000,0.000000,21,24,26,28,29,30,30,30,30,30,30,27,0,21,21.360720740740767,9.950292000000083,30.016042000000077,10801.481481481482
1777194014,6,,Aggregated,3.000000,0.000000,17,19,23,24,28,29,30,30,30,30,30,49,0,17,17.570045040816336,7.512415999999966,30.016042000000077,10761.142857142857
1777194015,8,,Aggregated,8.500000,0.000000,15,17,18,21,27,29,30,30,30,30,30,80,0,15,16.246216137500028,7.512415999999966,30.016042000000077,10346.0
1777194016,10,,Aggregated,10.666667,0.000000,16,18,23,24,33,170,230,240,280,280,280,110,0,16,29.54795075454551,7.512415999999966,276.49770900000004,10421.309090909092
1777194017,12,,Aggregated,15.500000,0.000000,15,17,21,24,33,170,240,280,400,400,400,132,0,15,30.095764810606106,7.512415999999966,403.1229999999999,10255.39393939394
1777194018,14,,Aggregated,18.000000,0.000000,15,19,25,30,270,600,760,870,1000,1000,1000,169,0,15,81.72060031952665,7.512415999999966,1023.0779160000001,10408.01775147929
1777194019,16,,Aggregated,20.833333,0.000000,14,17,23,26,170,490,640,840,1000,1000,1000,227,0,14,64.61756974889866,7.512415999999966,1023.0779160000001,10450.647577092512
1777194020,18,,Aggregated,19.714286,0.000000,15,19,28,39,63,300,620,840,1000,1000,1000,287,0,15,57.749003055749114,7.512415999999966,1023.0779160000001,10717.982578397212
1777194021,20,,Aggregated,23.375000,0.000000,16,24,33,42,68,240,600,760,1000,1000,1000,353,0,16,53.113131968838466,6.751875000000851,1023.0779160000001,10668.739376770538
1777194022,22,,Aggregated,27.333333,0.000000,17,30,47,58,110,240,600,640,1000,1000,1000,416,0,17,58.51244260817301,6.751875000000851,1023.0779160000001,10724.32451923077
1777194023,24,,Aggregated,30.200000,0.000000,18,33,48,58,110,240,600,640,1000,1000,1000,440,0,17,57.517838072727216,6.751875000000851,1023.0779160000001,10714.25
1777194024,26,,Aggregated,36.500000,0.000000,18,36,50,63,160,490,1400,1500,1600,1600,1600,451,0,18,92.00568339467843,6.751875000000851,1624.0374160000001,10645.022172949002
1777194025,28,,Aggregated,42.200000,0.000000,18,39,52,74,220,870,1500,1800,2600,2600,2600,462,0,18,130.37260111255404,6.751875000000851,2607.1835839999994,10682.37012987013
1777194026,30,,Aggregated,40.800000,0.000000,18,40,55,77,240,1400,1700,2000,2800,2800,2800,466,0,18,148.88743921459223,6.751875000000851,2763.3533340000013,10706.118025751073
1777194027,32,,Aggregated,39.400000,0.000000,19,43,63,98,620,1500,2000,2300,2800,2800,2800,483,0,19,204.44330126086953,6.751875000000851,2763.3533340000013,10662.39751552795
1777194028,34,,Aggregated,37.400000,0.000000,21,45,74,110,1200,1600,2200,2700,5300,5300,5300,494,0,21,252.48295227732788,6.751875000000851,5323.933499999999,10618.716599190284
1777194029,36,,Aggregated,35.500000,0.000000,23,49,80,160,1400,1800,2200,2700,5300,5300,5300,505,0,23,289.7764297188118,6.751875000000851,5323.933499999999,10628.679207920792
1777194030,38,,Aggregated,34.500000,0.000000,24,50,96,190,1500,1900,2600,3000,5300,5300,5300,514,0,24,326.8382766050583,6.751875000000851,5323.933499999999,10646.001945525291
1777194031,40,,Aggregated,30.700000,0.000000,24,51,100,230,1600,2000,2600,3100,5300,5300,5300,522,0,24,356.8810930095784,6.751875000000851,5323.933499999999,10691.60153256705
1777194032,42,,Aggregated,25.900000,0.000000,26,59,150,580,1700,2200,3000,4700,7500,7500,7500,538,0,26,439.9656583197024,6.751875000000851,7519.030457999999,10654.39219330855
1777194033,44,,Aggregated,21.500000,0.000000,26,60,160,600,1700,2200,3500,4700,7500,7500,7500,541,0,26,454.1387417005543,6.751875000000851,7519.030457999999,10671.018484288355
1777194034,46,,Aggregated,15.400000,0.000000,28,67,210,1100,1800,2600,3600,5200,7900,7900,7900,551,0,28,513.594716290381,6.751875000000851,7878.547958,10675.359346642468
1777194035,48,,Aggregated,10.000000,0.000000,30,79,440,1400,2200,2800,4700,7900,8500,8500,8500,570,0,30,621.5345642719299,6.751875000000851,8452.119666999997,10616.67543859649
1777194036,50,,Aggregated,10.800000,0.000000,30,80,580,1400,2200,2800,4700,7900,8500,8500,8500,574,0,30,637.3579722874564,6.751875000000851,8452.119666999997,10611.128919860626
1777194037,50,,Aggregated,9.500000,0.000000,32,82,620,1500,2300,3000,5200,7900,9500,9500,9500,579,0,32,670.79028671848,6.751875000000851,9525.193333000001,10590.72366148532
1777194038,50,,Aggregated,10.600000,0.000000,36,100,1200,1600,2400,3200,5300,8000,9500,9500,9500,592,0,36,738.0164077449323,6.751875000000851,9525.193333000001,10544.391891891892
1777194039,50,,Aggregated,9.400000,0.000000,39,140,1400,1800,2900,3600,5300,8000,10000,10000,10000,609,0,39,827.1595104860424,6.751875000000851,10180.248709000001,10556.807881773399
1777194040,50,,Aggregated,10.100000,0.000000,40,160,1500,1800,2900,3600,7300,8200,11000,11000,11000,615,0,40,870.2490916845525,6.751875000000851,10699.259958999999,10539.780487804877
1777194041,50,,Aggregated,9.800000,0.000000,41,170,1500,1800,3000,3600,7300,8200,11000,11000,11000,619,0,41,889.8387728384487,6.751875000000851,10699.259958999999,10539.271405492731
1777194042,50,,Aggregated,10.400000,0.000000,41,180,1500,1900,3100,3600,7300,8200,11000,11000,11000,622,0,41,901.8622117009642,6.751875000000851,10699.259958999999,10526.723472668811
1777194043,50,,Aggregated,9.800000,0.000000,45,300,1700,2200,3200,3900,7500,8400,13000,13000,13000,644,0,44,1012.5891893959623,6.751875000000851,12723.933583,10483.408385093167
1777194044,50,,Aggregated,9.700000,0.000000,45,400,1700,2200,3200,3900,7500,8400,13000,13000,13000,646,0,45,1021.4059877647056,6.751875000000851,12723.933583,10473.75386996904
1777194045,50,,Aggregated,8.300000,0.000000,45,490,1800,2300,3300,4100,7500,8500,13000,13000,13000,651,0,45,1060.7980663917049,6.751875000000851,13416.661292,10484.402457757296
1777194046,50,,Aggregated,9.600000,0.000000,47,600,1800,2300,3300,4100,7500,8500,13000,13000,13000,655,0,47,1075.593544928244,6.751875000000851,13416.661292,10468.963358778627
1777194047,50,,Aggregated,9.500000,0.000000,51,1400,2200,2800,3700,5300,10000,13000,14000,14000,14000,732,72,51,1361.0684016571033,1.5854589999975133,14467.431332999997,9936.827868852459
1777194048,50,,Aggregated,8.400000,0.000000,28,120,1600,2200,3500,4400,8700,12000,14000,14000,14000,915,255,28,1091.1648253868852,1.5384579999988546,14467.431332999997,8970.378142076503
1777194049,50,,Aggregated,8.600000,0.000000,17,52,580,1700,3200,4000,8500,12000,14000,14000,14000,1098,438,17,910.2565620282332,1.1675829999973075,14467.431332999997,8326.12932604736
1777194050,50,,Aggregated,19.000000,11.400000,13,37,100,1300,3100,3700,8100,11000,14000,14000,14000,1273,613,13,785.7895161861742,1.1675829999973075,14467.431332999997,7883.297721916732
1777194051,50,,Aggregated,35.700000,28.900000,11,25,60,270,2800,3700,7900,10000,14000,14000,14000,1445,785,11,693.1258255058818,1.1675829999973075,14467.431332999997,7552.586851211073
1777194052,50,,Aggregated,51.500000,46.400000,9,18,45,83,2400,3600,6000,8800,14000,14000,14000,1634,974,9,613.4523094320682,1.1675829999973075,14467.431332999997,7269.419828641371
1777194053,50,,Aggregated,69.200000,64.700000,9,18,40,62,2200,3500,5300,8700,14000,14000,14000,1810,1150,9,555.5632868922645,1.1675829999973075,14467.431332999997,7058.9082872928175
1777194054,50,,Aggregated,86.500000,82.400000,8,17,36,51,2000,3400,5200,8600,14000,14000,14000,1977,1317,8,509.52203381739923,1.1675829999973075,14467.431332999997,6893.843196762772
1777194055,50,,Aggregated,104.500000,100.700000,7,15,29,45,1700,3300,4500,8500,14000,14000,14000,2154,1494,7,468.18824065134584,1.1675829999973075,14467.431332999997,6746.826369545032
1777194056,50,,Aggregated,119.400000,117.800000,6,13,24,40,1500,3200,4400,8200,14000,14000,14000,2339,1679,6,431.52479028901166,1.1675829999973075,14467.431332999997,6616.955536554083
1777194057,50,,Aggregated,135.900000,134.500000,6,11,20,36,1400,3100,4200,8100,14000,14000,14000,2513,1853,6,401.92766071149947,1.1675829999973075,14467.431332999997,6512.244329486669
1777194058,50,,Aggregated,153.500000,152.900000,5,10,17,29,640,3000,4000,8000,14000,14000,14000,2697,2037,5,374.7663768031138,1.1675829999973075,14467.431332999997,6416.232109751576
1777194059,50,,Aggregated,170.600000,170.600000,5,9,16,25,270,2800,3900,7900,14000,14000,14000,2881,2221,5,351.1442856758066,1.1675829999973075,14467.431332999997,6332.480041652204
1777194060,50,,Aggregated,177.100000,177.100000,5,10,16,26,170,2700,3800,7300,14000,14000,14000,3031,2371,5,334.80417462190684,1.1675829999973075,14467.431332999997,6271.725503134279
1777194061,50,,Aggregated,177.800000,177.800000,5,10,17,29,140,2600,3700,6100,14000,14000,14000,3162,2502,5,322.54730651265027,1.1675829999973075,14467.431332999997,6223.384250474383
1777194062,50,,Aggregated,178.000000,178.000000,5,11,19,32,220,2500,3700,6100,14000,14000,14000,3193,2533,5,324.5604522348889,1.1675829999973075,14467.431332999997,6212.525211399938
1777194063,50,,Aggregated,178.000000,178.000000,5,11,19,32,220,2500,3700,6100,14000,14000,14000,3193,2533,5,324.5604522348889,1.1675829999973075,14467.431332999997,6212.525211399938
1777194064,50,,Aggregated,178.000000,178.000000,5,11,19,32,220,2500,3700,6100,14000,14000,14000,3193,2533,5,324.5604522348889,1.1675829999973075,14467.431332999997,6212.525211399938
1777194065,50,,Aggregated,152.600000,152.600000,6,11,19,35,330,2800,3700,6000,14000,14000,14000,3215,2533,6,342.9552706413687,1.1675829999973075,14467.431332999997,6224.590357698289
1777194066,50,,Aggregated,135.500000,135.500000,6,11,21,36,570,2900,3900,6000,14000,14000,14000,3236,2533,6,355.6010757586527,1.1675829999973075,14467.431332999997,6270.30716934487
1777194067,50,,Aggregated,118.800000,118.800000,6,11,23,40,870,3100,4500,6000,14000,14000,14000,3276,2533,6,384.9379193730161,1.1675829999973075,14467.431332999997,6383.189255189255
1777194068,50,,Aggregated,102.600000,100.400000,6,12,24,41,930,3100,4500,6000,14000,14000,14000,3291,2533,6,387.95221548313594,1.1675829999973075,14467.431332999997,6397.35065329687
1777194069,50,,Aggregated,87.200000,82.700000,6,12,25,43,1200,3100,4500,5800,14000,14000,14000,3314,2533,6,394.8091320875078,1.1675829999973075,14467.431332999997,6416.36904043452
1777194070,50,,Aggregated,73.100000,64.800000,6,12,27,45,1400,3100,4500,5800,14000,14000,14000,3339,2533,6,407.55460385744277,1.1675829999973075,14467.431332999997,6473.437256663672
1777194071,50,,Aggregated,56.400000,46.600000,6,14,33,53,1400,3100,4400,5800,14000,14000,14000,3411,2533,6,420.17316502638556,1.1675829999973075,14467.431332999997,6605.307827616535
1777194072,50,,Aggregated,41.100000,28.900000,6,15,39,72,1400,3100,4400,5800,14000,14000,14000,3486,2533,6,421.212439803787,1.1675829999973075,14467.431332999997,6729.964716006884
1777194073,50,,Aggregated,28.000000,12.400000,7,17,45,120,1300,3100,4300,5600,14000,14000,14000,3554,2533,7,419.9614086100174,1.1675829999973075,14467.431332999997,6814.988745075971
1777194074,50,,Aggregated,24.600000,2.200000,7,19,53,190,1300,3100,4300,5400,14000,14000,14000,3639,2533,7,417.9517022272605,1.1675829999973075,14467.431332999997,6929.621874141248
1777194075,50,,Aggregated,29.400000,0.000000,7,22,68,220,1200,3000,4200,5300,14000,14000,14000,3702,2533,7,418.57590917855237,1.1675829999973075,14467.431332999997,7005.436790923825
1777194076,50,,Aggregated,37.700000,0.000000,8,26,110,240,1100,3000,4200,5300,14000,14000,14000,3786,2533,8,414.3564045464872,1.1675829999973075,14467.431332999997,7112.739830956154
1777194077,50,,Aggregated,45.500000,0.000000,8,28,130,250,1100,3000,4100,5300,14000,14000,14000,3819,2533,8,415.3013573003406,1.1675829999973075,14467.431332999997,7149.694160775072
1777194078,50,,Aggregated,49.000000,0.000000,8,34,170,290,1100,2900,4100,5300,14000,14000,14000,3886,2533,8,420.758174673958,1.1675829999973075,14467.431332999997,7249.762480699948
1777194079,50,,Aggregated,55.500000,0.000000,9,40,190,310,1100,2900,4000,5300,14000,14000,14000,3980,2533,9,417.55646696758805,1.1675829999973075,14467.431332999997,7341.611809045226
1777194080,50,,Aggregated,54.800000,0.000000,10,47,210,320,1000,2800,4000,5200,13000,14000,14000,4065,2533,10,414.59637735448996,1.1675829999973075,14467.431332999997,7422.456580565806
1777194081,50,,Aggregated,60.200000,0.000000,10,56,230,320,970,2800,3900,5200,13000,14000,14000,4147,2533,10,411.76239223824496,1.1675829999973075,14467.431332999997,7469.184711839885
1777194082,50,,Aggregated,66.800000,0.000000,11,79,240,320,920,2800,3900,5200,13000,14000,14000,4251,2533,11,407.4202799616565,1.1675829999973075,14467.431332999997,7578.116678428605
1777194083,50,,Aggregated,72.400000,0.000000,12,110,240,320,890,2700,3800,5200,13000,14000,14000,4338,2533,12,404.6462443785158,1.1675829999973075,14467.431332999997,7638.308206546796
1777194084,50,,Aggregated,74.600000,0.000000,13,140,250,310,860,2700,3800,5200,13000,14000,14000,4438,2533,13,400.72598601802645,1.1675829999973075,14467.431332999997,7714.702343397927
1777194085,50,,Aggregated,77.100000,0.000000,14,150,250,310,820,2600,3700,5200,13000,14000,14000,4534,2533,14,396.492782879136,1.1675829999973075,14467.431332999997,7763.145787384208
1777194086,50,,Aggregated,77.300000,0.000000,15,160,250,320,790,2600,3700,5100,13000,14000,14000,4616,2533,15,394.57951666096227,1.1675829999973075,14467.431332999997,7809.048310225303
1777194087,50,,Aggregated,79.700000,0.000000,17,170,250,310,760,2500,3700,5100,13000,14000,14000,4724,2533,17,390.4040861534718,1.1675829999973075,14467.431332999997,7868.86282811177
1777194088,50,,Aggregated,83.000000,0.000000,20,180,250,300,730,2400,3700,5100,13000,14000,14000,4824,2533,19,386.60004698528223,1.1675829999973075,14467.431332999997,7929.354063018242
1777194089,50,,Aggregated,83.900000,0.000000,24,190,250,300,710,2300,3700,5000,13000,14000,14000,4926,2533,24,383.045418034714,1.1675829999973075,14467.431332999997,7988.853227771011
1777194090,50,,Aggregated,91.100000,0.000000,28,190,250,300,690,2300,3700,5000,13000,14000,14000,5028,2533,28,378.7514007366748,1.1675829999973075,14467.431332999997,8026.216189339698
1777194091,50,,Aggregated,93.700000,0.000000,33,190,250,300,670,2200,3700,5000,13000,14000,14000,5128,2533,33,376.2713912960219,1.1675829999973075,14467.431332999997,8077.436037441497
1777194092,50,,Aggregated,95.300000,0.000000,39,190,250,300,640,2200,3700,5000,13000,14000,14000,5224,2533,39,372.82923246439515,1.1675829999973075,14467.431332999997,8120.331355283308
1777194093,50,,Aggregated,96.200000,0.000000,43,200,260,290,620,2200,3600,5000,13000,14000,14000,5321,2533,43,370.36779632230775,1.1675829999973075,14467.431332999997,8178.492952452547
1777194094,50,,Aggregated,97.400000,0.000000,49,200,260,290,600,2100,3600,4900,13000,14000,14000,5416,2533,49,367.62700345107095,1.1675829999973075,14467.431332999997,8241.107274741507
1777194095,50,,Aggregated,97.000000,0.000000,60,200,260,290,590,2000,3600,4800,13000,14000,14000,5526,2533,59,364.73835927705414,1.1675829999973075,14467.431332999997,8283.150199058993
1777194097,50,,Aggregated,98.700000,0.000000,72,200,260,290,580,2000,3600,4700,13000,14000,14000,5630,2533,72,361.41279604653664,1.1675829999973075,14467.431332999997,8343.084014209591
1777194098,50,,Aggregated,97.200000,0.000000,89,200,250,290,570,1900,3600,4700,13000,14000,14000,5723,2533,89,358.3208379112356,1.1675829999973075,14467.431332999997,8381.151668705224
1777194099,50,,Aggregated,99.100000,0.000000,100,200,260,290,560,1800,3600,4700,13000,14000,14000,5832,2533,100.0,356.0000856478055,1.1675829999973075,14467.431332999997,8426.72342249657
1777194100,50,,Aggregated,99.800000,0.000000,110,200,260,290,540,1800,3500,4700,13000,14000,14000,5925,2533,110.0,354.03449103932513,1.1675829999973075,14467.431332999997,8471.068691983122
1777194101,50,,Aggregated,98.800000,0.000000,110,210,260,290,540,1700,3500,4600,13000,14000,14000,6012,2533,110.0,352.3559775442451,1.1675829999973075,14467.431332999997,8509.363938789089
1777194102,50,,Aggregated,100.200000,0.000000,120,210,260,290,530,1700,3500,4600,13000,14000,14000,6097,2533,120.0,351.5244525855343,1.1675829999973075,14467.431332999997,8529.744628505823
1777194103,50,,Aggregated,98.900000,0.000000,120,210,260,290,520,1700,3500,4600,13000,14000,14000,6189,2533,120.0,349.79035030570407,1.1675829999973075,14467.431332999997,8571.377767005979
1777194104,50,,Aggregated,97.700000,0.000000,130,210,260,300,520,1600,3500,4500,13000,14000,14000,6284,2533,130.0,348.63359758227284,1.1675829999973075,14467.431332999997,8604.238542329726
1777194105,50,,Aggregated,96.000000,0.000000,130,210,260,300,510,1600,3500,4500,13000,14000,14000,6381,2533,130.0,346.57273831108034,1.1675829999973075,14467.431332999997,8637.485660554772
1777194106,50,,Aggregated,96.100000,0.000000,130,210,260,290,500,1500,3500,4500,13000,14000,14000,6483,2533,130.0,344.41313671016576,1.1675829999973075,14467.431332999997,8671.367268240012
1777194107,50,,Aggregated,95.400000,0.000000,140,210,260,290,500,1500,3500,4500,13000,14000,14000,6586,2533,140.0,341.95412184345696,1.1675829999973075,14467.431332999997,8705.0
1777194108,50,,Aggregated,95.700000,0.000000,140,220,260,290,490,1400,3400,4500,13000,14000,14000,6687,2533,140.0,340.0469558037997,1.1675829999973075,14467.431332999997,8742.018094810826
1777194109,50,,Aggregated,95.700000,0.000000,140,210,260,290,480,1400,3400,4400,13000,14000,14000,6797,2533,140.0,337.56606025996916,1.1675829999973075,14467.431332999997,8768.174341621303
1777194110,50,,Aggregated,96.300000,0.000000,150,210,260,290,480,1400,3400,4400,13000,14000,14000,6910,2533,150.0,334.7909412696107,1.1675829999973075,14467.431332999997,8803.015774240232
1777194111,50,,Aggregated,96.500000,0.000000,150,210,260,290,470,1400,3400,4400,13000,14000,14000,6988,2533,150.0,333.16850942830695,1.1675829999973075,14467.431332999997,8825.516027475673
1777194112,50,,Aggregated,98.200000,0.000000,150,220,260,290,490,1400,3400,4300,13000,14000,14000,7068,2533,150.0,334.7603696305897,1.1675829999973075,14467.431332999997,8844.254244482174
1777194113,50,,Aggregated,97.100000,0.000000,150,220,260,290,490,1300,3300,4300,13000,14000,14000,7169,2533,150.0,332.70096335611777,1.1675829999973075,14467.431332999997,8867.289998605105
1777194114,50,,Aggregated,96.100000,0.000000,150,220,260,290,480,1300,3300,4300,13000,14000,14000,7277,2533,150.0,330.6898583162025,1.1675829999973075,14467.431332999997,8891.173972790984
1777194115,50,,Aggregated,97.800000,0.000000,150,220,260,290,470,1300,3300,4300,13000,14000,14000,7381,2533,150.0,328.9845856477451,1.1675829999973075,14467.431332999997,8910.822517274082
1777194116,50,,Aggregated,98.400000,0.000000,150,220,260,290,470,1200,3200,4200,13000,14000,14000,7490,2533,150.0,326.6310899750343,1.1675829999973075,14467.431332999997,8929.088117489986
1777194117,50,,Aggregated,99.000000,0.000000,160,220,260,290,460,1200,3200,4200,13000,14000,14000,7576,2533,160.0,326.0342579622502,1.1675829999973075,14467.431332999997,8936.970828933474
1777194118,50,,Aggregated,99.900000,0.000000,160,220,260,290,450,1200,3200,4100,13000,14000,14000,7680,2533,160.0,324.622151740626,1.1675829999973075,14467.431332999997,8955.5125
