Servico                            Replicas  CPU_req     CPU_lim     Mem_req     Mem_lim
-----------------------------------------------------------------------------------------------
adservice                          1         200m        300m        180Mi       300Mi
cartservice                        1         200m        300m        64Mi        512Mi
checkoutservice                    1         100m        200m        64Mi        128Mi
currencyservice                    1         100m        200m        64Mi        128Mi
emailservice                       1         100m        200m        64Mi        128Mi
frontend                           1         100m        200m        64Mi        128Mi
loadgenerator                      0         300m        500m        256Mi       512Mi
paymentservice                     1         100m        200m        64Mi        128Mi
productcatalogservice              3         100m        200m        64Mi        128Mi
recommendationservice              1         100m        200m        220Mi       450Mi
redis-cart                         1         70m         125m        200Mi       256Mi
shippingservice                    1         100m        200m        64Mi        128Mi
