timestamp,load_label,pod,cpu_m,ram_mi
20:25:42,idle,adservice-574bff445c-6mj7s,3,287
20:25:42,idle,cartservice-7c84fdfb6-m5m6d,6,176
20:25:42,idle,checkoutservice-5b6d96c9b7-45rkr,2,38
20:25:42,idle,currencyservice-7c8fc8fc9c-4hm9g,11,114
20:25:42,idle,emailservice-66944ff59-2lcjl,5,94
20:25:42,idle,frontend-7bd6f45654-s2s7z,10,52
20:25:42,idle,paymentservice-9bfb7bf5-kgd56,2,126
20:25:42,idle,productcatalogservice-65bbf699df-j2fmg,5,44
20:25:42,idle,recommendationservice-7444754ff5-n8cbh,10,81
20:25:42,idle,redis-cart-c8ff86559-kcf44,3,36
20:25:42,idle,shippingservice-f956b6d9f-w7n4b,2,31
20:25:52,25u,adservice-574bff445c-6mj7s,3,287
20:25:52,25u,cartservice-7c84fdfb6-m5m6d,6,176
20:25:52,25u,checkoutservice-5b6d96c9b7-45rkr,2,38
20:25:52,25u,currencyservice-7c8fc8fc9c-4hm9g,11,114
20:25:52,25u,emailservice-66944ff59-2lcjl,5,94
20:25:52,25u,frontend-7bd6f45654-s2s7z,10,52
20:25:52,25u,paymentservice-9bfb7bf5-kgd56,2,126
20:25:52,25u,productcatalogservice-65bbf699df-j2fmg,5,44
20:25:52,25u,recommendationservice-7444754ff5-n8cbh,10,81
20:25:52,25u,redis-cart-c8ff86559-kcf44,3,36
20:25:52,25u,shippingservice-f956b6d9f-w7n4b,2,31
20:26:02,25u,adservice-574bff445c-6mj7s,26,287
20:26:02,25u,cartservice-7c84fdfb6-m5m6d,53,176
20:26:02,25u,checkoutservice-5b6d96c9b7-45rkr,9,38
20:26:02,25u,currencyservice-7c8fc8fc9c-4hm9g,93,116
20:26:02,25u,emailservice-66944ff59-2lcjl,7,94
20:26:02,25u,frontend-7bd6f45654-s2s7z,111,52
20:26:02,25u,paymentservice-9bfb7bf5-kgd56,5,126
20:26:02,25u,productcatalogservice-65bbf699df-7w28t,1,16
20:26:02,25u,productcatalogservice-65bbf699df-j2fmg,48,43
20:26:02,25u,productcatalogservice-65bbf699df-qntf5,1,17
20:26:02,25u,recommendationservice-7444754ff5-n8cbh,78,81
20:26:02,25u,redis-cart-c8ff86559-kcf44,6,36
20:26:02,25u,shippingservice-f956b6d9f-w7n4b,9,31
20:26:13,25u,adservice-574bff445c-6mj7s,34,287
20:26:13,25u,cartservice-7c84fdfb6-m5m6d,72,176
20:26:13,25u,checkoutservice-5b6d96c9b7-45rkr,14,38
20:26:13,25u,currencyservice-7c8fc8fc9c-4hm9g,134,116
20:26:13,25u,emailservice-66944ff59-2lcjl,9,94
20:26:13,25u,frontend-7bd6f45654-s2s7z,162,52
20:26:13,25u,paymentservice-9bfb7bf5-kgd56,7,126
20:26:13,25u,productcatalogservice-65bbf699df-7w28t,1,16
20:26:13,25u,productcatalogservice-65bbf699df-j2fmg,73,43
20:26:13,25u,productcatalogservice-65bbf699df-qntf5,1,17
20:26:13,25u,recommendationservice-7444754ff5-n8cbh,119,81
20:26:13,25u,redis-cart-c8ff86559-kcf44,6,36
20:26:13,25u,shippingservice-f956b6d9f-w7n4b,14,31
20:26:23,25u,adservice-574bff445c-6mj7s,34,287
