NAME                                     CPU(cores)   MEMORY(bytes)   
adservice-574bff445c-2zzqg               218m         144Mi           
adservice-574bff445c-4w7zh               208m         162Mi           
cartservice-db96d6fcc-x6v6f              76m          82Mi            
cartservice-db96d6fcc-6kndn              70m          82Mi            
emailservice-66944ff59-xh284             65m          56Mi            
emailservice-66944ff59-62x8j             65m          56Mi            
recommendationservice-7444754ff5-w69fs   63m          51Mi            
recommendationservice-7444754ff5-w769g   61m          51Mi            
currencyservice-7c8fc8fc9c-s92sq         22m          70Mi            
currencyservice-7c8fc8fc9c-6tsnv         21m          89Mi            
paymentservice-9bfb7bf5-w2dt7            20m          65Mi            
paymentservice-9bfb7bf5-x4kz9            20m          63Mi            
emailservice-66944ff59-zvg4w             3m           56Mi            
recommendationservice-7444754ff5-kk4vc   3m           80Mi            
redis-cart-c8ff86559-gpcc7               2m           36Mi            
cartservice-db96d6fcc-tsdhc              2m           145Mi           
adservice-574bff445c-k5l76               2m           275Mi           
frontend-7bd6f45654-jwp2b                2m           13Mi            
frontend-7bd6f45654-xmsf8                2m           11Mi            
checkoutservice-5b6d96c9b7-lwnbx         1m           12Mi            
paymentservice-9bfb7bf5-9mdwz            1m           126Mi           
productcatalogservice-65bbf699df-2hv25   1m           18Mi            
productcatalogservice-65bbf699df-8ztwv   1m           19Mi            
productcatalogservice-65bbf699df-d9cxl   1m           42Mi            
frontend-7bd6f45654-dnhzb                1m           43Mi            
currencyservice-7c8fc8fc9c-rtbz4         1m           124Mi           
checkoutservice-5b6d96c9b7-tvvwl         1m           12Mi            
checkoutservice-5b6d96c9b7-fwtng         1m           37Mi            
shippingservice-f956b6d9f-g5j6b          1m           12Mi            
shippingservice-f956b6d9f-m2h7g          1m           12Mi            
shippingservice-f956b6d9f-ml5cg          1m           31Mi            
