NAME                    READY   UP-TO-DATE   AVAILABLE   AGE   CONTAINERS   IMAGES                  SELECTOR
adservice               3/3     3            3           16h   server       adservice               app=adservice
cartservice             3/3     3            3           16h   server       cartservice             app=cartservice
checkoutservice         3/3     3            3           16h   server       checkoutservice         app=checkoutservice
currencyservice         3/3     3            3           16h   server       currencyservice         app=currencyservice
emailservice            3/3     3            3           16h   server       emailservice            app=emailservice
frontend                3/3     3            3           16h   server       frontend                app=frontend
loadgenerator           0/0     0            0           16h   main         loadgenerator           app=loadgenerator
paymentservice          3/3     3            3           16h   server       paymentservice          app=paymentservice
productcatalogservice   3/3     3            3           16h   server       productcatalogservice   app=productcatalogservice
recommendationservice   3/3     3            3           16h   server       recommendationservice   app=recommendationservice
redis-cart              1/1     1            1           16h   redis        redis:alpine            app=redis-cart
shippingservice         3/3     3            3           16h   server       shippingservice         app=shippingservice
