adservice-574bff445c-6mj7s               4m     195Mi   
adservice-574bff445c-dwnqt               64m    252Mi   
adservice-574bff445c-qb9cj               30m    267Mi   
cartservice-7c84fdfb6-gvdl7              2m     110Mi   
cartservice-7c84fdfb6-m5m6d              94m    187Mi   
cartservice-7c84fdfb6-rrqpp              1m     115Mi   
checkoutservice-5b6d96c9b7-45rkr         23m    38Mi    
checkoutservice-5b6d96c9b7-jbfvs         1m     16Mi    
checkoutservice-5b6d96c9b7-zvd4c         19m    21Mi    
currencyservice-7c8fc8fc9c-4hm9g         191m   117Mi   
currencyservice-7c8fc8fc9c-5frj9         2m     86Mi    
currencyservice-7c8fc8fc9c-mgwx9         85m    66Mi    
emailservice-66944ff59-2lcjl             13m    95Mi    
emailservice-66944ff59-c4g5x             10m    56Mi    
emailservice-66944ff59-hrmjl             3m     56Mi    
frontend-7bd6f45654-przgb                140m   34Mi    
frontend-7bd6f45654-s2s7z                116m   56Mi    
frontend-7bd6f45654-vfxkp                133m   35Mi    
paymentservice-9bfb7bf5-6hckw            1m     67Mi    
paymentservice-9bfb7bf5-75nf7            1m     101Mi   
paymentservice-9bfb7bf5-kgd56            13m    112Mi   
productcatalogservice-65bbf699df-7w28t   1m     21Mi    
productcatalogservice-65bbf699df-j2fmg   119m   44Mi    
productcatalogservice-65bbf699df-qntf5   56m    22Mi    
recommendationservice-7444754ff5-d8g8j   3m     51Mi    
recommendationservice-7444754ff5-n8cbh   169m   82Mi    
recommendationservice-7444754ff5-pwgrt   122m   55Mi    
redis-cart-c8ff86559-kcf44               9m     37Mi    
shippingservice-f956b6d9f-nvkxm          1m     15Mi    
shippingservice-f956b6d9f-pkw7l          7m     16Mi    
shippingservice-f956b6d9f-w7n4b          20m    32Mi    
