NAME                    READY   UP-TO-DATE   AVAILABLE   AGE   CONTAINERS   IMAGES                  SELECTOR
adservice               1/3     3            1           15h   server       adservice               app=adservice
cartservice             1/3     3            1           15h   server       cartservice             app=cartservice
checkoutservice         3/3     3            3           15h   server       checkoutservice         app=checkoutservice
currencyservice         3/3     3            3           15h   server       currencyservice         app=currencyservice
emailservice            1/3     3            1           15h   server       emailservice            app=emailservice
frontend                3/3     3            3           15h   server       frontend                app=frontend
loadgenerator           0/0     0            0           15h   main         loadgenerator           app=loadgenerator
paymentservice          3/3     3            3           15h   server       paymentservice          app=paymentservice
productcatalogservice   3/3     3            3           15h   server       productcatalogservice   app=productcatalogservice
recommendationservice   1/3     3            1           15h   server       recommendationservice   app=recommendationservice
redis-cart              1/1     1            1           15h   redis        redis:alpine            app=redis-cart
shippingservice         3/3     3            3           15h   server       shippingservice         app=shippingservice
