adservice-574bff445c-dq4dw               84m    281Mi   
adservice-574bff445c-jc7m4               3m     161Mi   
adservice-574bff445c-tbr78               3m     171Mi   
cartservice-765b6959c9-bcmfz             147m   161Mi   
cartservice-765b6959c9-n6fwn             2m     112Mi   
cartservice-765b6959c9-qnq65             2m     110Mi   
checkoutservice-5b6d96c9b7-6fth9         8m     19Mi    
checkoutservice-5b6d96c9b7-9bqv8         27m    37Mi    
checkoutservice-5b6d96c9b7-j6swl         1m     16Mi    
currencyservice-7c8fc8fc9c-9dtdc         158m   127Mi   
currencyservice-7c8fc8fc9c-fknl8         199m   118Mi   
currencyservice-7c8fc8fc9c-vt2gd         2m     81Mi    
emailservice-66944ff59-8jhrl             3m     56Mi    
emailservice-66944ff59-xd6ch             16m    57Mi    
emailservice-66944ff59-xhss4             3m     56Mi    
frontend-7bd6f45654-8lrp5                167m   55Mi    
frontend-7bd6f45654-kpk99                188m   25Mi    
frontend-7bd6f45654-zl99v                142m   27Mi    
paymentservice-9bfb7bf5-gfxs2            10m    125Mi   
paymentservice-9bfb7bf5-s8hj7            5m     73Mi    
paymentservice-9bfb7bf5-t6d8q            2m     77Mi    
productcatalogservice-65bbf699df-cv7w7   2m     18Mi    
productcatalogservice-65bbf699df-jvkg4   73m    22Mi    
productcatalogservice-65bbf699df-vsc98   141m   44Mi    
recommendationservice-7444754ff5-9t2qj   141m   54Mi    
recommendationservice-7444754ff5-fthxq   199m   82Mi    
recommendationservice-7444754ff5-sg55v   3m     51Mi    
redis-cart-c8ff86559-lhjtw               11m    36Mi    
shippingservice-f956b6d9f-cdqmk          16m    17Mi    
shippingservice-f956b6d9f-scpqb          1m     16Mi    
shippingservice-f956b6d9f-z5rrl          15m    33Mi    
