adservice-574bff445c-grt9z               4m     140Mi   
adservice-574bff445c-h47zv               5m     142Mi   
adservice-574bff445c-wppcl               111m   274Mi   
cartservice-7c84fdfb6-hsn24              5m     97Mi    
cartservice-7c84fdfb6-s4cp2              113m   161Mi   
cartservice-7c84fdfb6-sf94w              12m    129Mi   
checkoutservice-5b6d96c9b7-cfmrc         7m     34Mi    
checkoutservice-5b6d96c9b7-h4wfv         11m    18Mi    
checkoutservice-5b6d96c9b7-jdqn7         10m    19Mi    
currencyservice-7c8fc8fc9c-dlzht         73m    103Mi   
currencyservice-7c8fc8fc9c-mvsgf         150m   97Mi    
currencyservice-7c8fc8fc9c-wqrfs         9m     82Mi    
emailservice-66944ff59-478c4             2m     56Mi    
emailservice-66944ff59-4fvm9             9m     94Mi    
emailservice-66944ff59-txwj8             7m     58Mi    
frontend-7bd6f45654-7bcq6                101m   23Mi    
frontend-7bd6f45654-7gwtd                92m    40Mi    
frontend-7bd6f45654-xm79g                133m   24Mi    
paymentservice-9bfb7bf5-46sq4            7m     68Mi    
paymentservice-9bfb7bf5-pktv4            1m     63Mi    
paymentservice-9bfb7bf5-snj4k            15m    111Mi   
productcatalogservice-65bbf699df-8zzd2   87m    41Mi    
productcatalogservice-65bbf699df-qmltb   1m     18Mi    
productcatalogservice-65bbf699df-rh24h   55m    20Mi    
recommendationservice-7444754ff5-b7pgl   115m   80Mi    
recommendationservice-7444754ff5-hsxb8   2m     51Mi    
recommendationservice-7444754ff5-xm2x5   88m    54Mi    
redis-cart-c8ff86559-jrlvk               9m     36Mi    
shippingservice-f956b6d9f-2g46p          16m    30Mi    
shippingservice-f956b6d9f-4kzvq          3m     15Mi    
shippingservice-f956b6d9f-nmnfn          3m     15Mi    
