adservice-574bff445c-grt9z               286m   83Mi    
adservice-574bff445c-h47zv               282m   84Mi    
adservice-574bff445c-wppcl               3m     227Mi   
cartservice-7c84fdfb6-hsn24              249m   58Mi    
cartservice-7c84fdfb6-s4cp2              6m     153Mi   
cartservice-7c84fdfb6-sf94w              238m   57Mi    
checkoutservice-5b6d96c9b7-cfmrc         1m     33Mi    
checkoutservice-5b6d96c9b7-h4wfv         17m    11Mi    
checkoutservice-5b6d96c9b7-jdqn7         16m    12Mi    
currencyservice-7c8fc8fc9c-dlzht         2m     106Mi   
currencyservice-7c8fc8fc9c-mvsgf         184m   69Mi    
currencyservice-7c8fc8fc9c-wqrfs         187m   74Mi    
emailservice-66944ff59-478c4             183m   37Mi    
emailservice-66944ff59-4fvm9             3m     94Mi    
emailservice-66944ff59-txwj8             193m   38Mi    
frontend-7bd6f45654-7bcq6                20m    12Mi    
frontend-7bd6f45654-7gwtd                1m     39Mi    
frontend-7bd6f45654-xm79g                20m    12Mi    
paymentservice-9bfb7bf5-46sq4            168m   57Mi    
paymentservice-9bfb7bf5-pktv4            175m   57Mi    
paymentservice-9bfb7bf5-snj4k            2m     114Mi   
productcatalogservice-65bbf699df-8zzd2   1m     41Mi    
productcatalogservice-65bbf699df-qmltb   25m    17Mi    
productcatalogservice-65bbf699df-rh24h   25m    17Mi    
recommendationservice-7444754ff5-b7pgl   3m     79Mi    
recommendationservice-7444754ff5-hsxb8   192m   31Mi    
recommendationservice-7444754ff5-xm2x5   192m   34Mi    
redis-cart-c8ff86559-jrlvk               2m     35Mi    
shippingservice-f956b6d9f-2g46p          1m     29Mi    
shippingservice-f956b6d9f-4kzvq          22m    11Mi    
shippingservice-f956b6d9f-nmnfn          19m    11Mi    
