NAME                                     READY   STATUS        RESTARTS      AGE   IP           NODE             NOMINATED NODE   READINESS GATES
adservice-574bff445c-grt9z               1/1     Running       0             13m   10.1.2.14    docker-desktop   <none>           <none>
adservice-574bff445c-h47zv               1/1     Running       0             13m   10.1.2.15    docker-desktop   <none>           <none>
adservice-574bff445c-wppcl               1/1     Running       0             15m   10.1.2.3     docker-desktop   <none>           <none>
cartservice-7c84fdfb6-hsn24              1/1     Running       1 (12m ago)   13m   10.1.2.16    docker-desktop   <none>           <none>
cartservice-7c84fdfb6-s4cp2              1/1     Running       0             15m   10.1.2.4     docker-desktop   <none>           <none>
cartservice-7c84fdfb6-sf94w              1/1     Running       0             13m   10.1.2.21    docker-desktop   <none>           <none>
checkoutservice-5b6d96c9b7-cfmrc         1/1     Running       0             15m   10.1.2.5     docker-desktop   <none>           <none>
checkoutservice-5b6d96c9b7-h4wfv         1/1     Running       0             13m   10.1.2.18    docker-desktop   <none>           <none>
checkoutservice-5b6d96c9b7-jdqn7         1/1     Running       0             13m   10.1.2.17    docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-dlzht         1/1     Running       0             15m   10.1.2.6     docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-mvsgf         1/1     Running       0             13m   10.1.2.23    docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-wqrfs         1/1     Running       0             13m   10.1.2.22    docker-desktop   <none>           <none>
emailservice-66944ff59-478c4             1/1     Running       0             13m   10.1.2.19    docker-desktop   <none>           <none>
emailservice-66944ff59-4fvm9             1/1     Running       0             15m   10.1.2.9     docker-desktop   <none>           <none>
emailservice-66944ff59-txwj8             1/1     Running       0             13m   10.1.2.20    docker-desktop   <none>           <none>
frontend-7bd6f45654-7bcq6                1/1     Running       0             13m   10.1.2.24    docker-desktop   <none>           <none>
frontend-7bd6f45654-7gwtd                1/1     Running       0             15m   10.1.2.7     docker-desktop   <none>           <none>
frontend-7bd6f45654-xm79g                1/1     Running       0             13m   10.1.2.26    docker-desktop   <none>           <none>
loadgenerator-57fc5754d-95s7f            1/1     Terminating   0             7s    10.1.2.34    docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-46sq4            1/1     Running       0             13m   10.1.2.27    docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-pktv4            1/1     Running       0             13m   10.1.2.25    docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-snj4k            1/1     Running       0             15m   10.1.2.10    docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-8zzd2   1/1     Running       0             15m   10.1.2.11    docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-qmltb   1/1     Running       0             13m   10.1.2.29    docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-rh24h   1/1     Running       0             13m   10.1.2.28    docker-desktop   <none>           <none>
recommendationservice-7444754ff5-b7pgl   1/1     Running       0             15m   10.1.2.12    docker-desktop   <none>           <none>
recommendationservice-7444754ff5-hsxb8   1/1     Running       0             13m   10.1.2.31    docker-desktop   <none>           <none>
recommendationservice-7444754ff5-xm2x5   1/1     Running       0             13m   10.1.2.30    docker-desktop   <none>           <none>
redis-cart-c8ff86559-jrlvk               1/1     Running       0             15m   10.1.1.250   docker-desktop   <none>           <none>
shippingservice-f956b6d9f-2g46p          1/1     Running       0             15m   10.1.2.13    docker-desktop   <none>           <none>
shippingservice-f956b6d9f-4kzvq          1/1     Running       0             13m   10.1.2.33    docker-desktop   <none>           <none>
shippingservice-f956b6d9f-nmnfn          1/1     Running       0             13m   10.1.2.32    docker-desktop   <none>           <none>
