NAME                                     CPU(cores)   MEMORY(bytes)   
recommendationservice-7444754ff5-b7pgl   184m         80Mi            
frontend-7bd6f45654-xm79g                177m         30Mi            
currencyservice-7c8fc8fc9c-mvsgf         177m         120Mi           
recommendationservice-7444754ff5-xm2x5   171m         55Mi            
frontend-7bd6f45654-7gwtd                161m         46Mi            
cartservice-7c84fdfb6-s4cp2              151m         167Mi           
currencyservice-7c8fc8fc9c-dlzht         125m         118Mi           
productcatalogservice-65bbf699df-8zzd2   124m         42Mi            
frontend-7bd6f45654-7bcq6                121m         28Mi            
adservice-574bff445c-wppcl               92m          276Mi           
productcatalogservice-65bbf699df-rh24h   70m          22Mi            
shippingservice-f956b6d9f-2g46p          23m          30Mi            
checkoutservice-5b6d96c9b7-h4wfv         21m          19Mi            
paymentservice-9bfb7bf5-snj4k            12m          119Mi           
redis-cart-c8ff86559-jrlvk               12m          36Mi            
checkoutservice-5b6d96c9b7-cfmrc         12m          35Mi            
emailservice-66944ff59-txwj8             11m          58Mi            
emailservice-66944ff59-4fvm9             11m          94Mi            
checkoutservice-5b6d96c9b7-jdqn7         9m           22Mi            
currencyservice-7c8fc8fc9c-wqrfs         8m           93Mi            
cartservice-7c84fdfb6-sf94w              6m           135Mi           
shippingservice-f956b6d9f-4kzvq          6m           15Mi            
paymentservice-9bfb7bf5-46sq4            4m           76Mi            
shippingservice-f956b6d9f-nmnfn          3m           16Mi            
adservice-574bff445c-grt9z               2m           156Mi           
recommendationservice-7444754ff5-hsxb8   2m           51Mi            
adservice-574bff445c-h47zv               2m           156Mi           
emailservice-66944ff59-478c4             2m           56Mi            
cartservice-7c84fdfb6-hsn24              1m           111Mi           
productcatalogservice-65bbf699df-qmltb   1m           18Mi            
paymentservice-9bfb7bf5-pktv4            1m           66Mi            
