timestamp,load_label,pod,cpu_m,ram_mi
09:32:25,idle,adservice-574bff445c-grt9z,2,156
09:32:25,idle,adservice-574bff445c-h47zv,2,156
09:32:25,idle,adservice-574bff445c-wppcl,92,276
09:32:25,idle,cartservice-7c84fdfb6-hsn24,1,111
09:32:25,idle,cartservice-7c84fdfb6-s4cp2,151,167
09:32:25,idle,cartservice-7c84fdfb6-sf94w,6,135
09:32:25,idle,checkoutservice-5b6d96c9b7-cfmrc,12,35
09:32:25,idle,checkoutservice-5b6d96c9b7-h4wfv,21,19
09:32:25,idle,checkoutservice-5b6d96c9b7-jdqn7,9,22
09:32:25,idle,currencyservice-7c8fc8fc9c-dlzht,125,118
09:32:25,idle,currencyservice-7c8fc8fc9c-mvsgf,177,120
09:32:25,idle,currencyservice-7c8fc8fc9c-wqrfs,8,93
09:32:25,idle,emailservice-66944ff59-478c4,2,56
09:32:25,idle,emailservice-66944ff59-4fvm9,11,94
09:32:25,idle,emailservice-66944ff59-txwj8,11,58
09:32:25,idle,frontend-7bd6f45654-7bcq6,121,28
09:32:25,idle,frontend-7bd6f45654-7gwtd,161,46
09:32:25,idle,frontend-7bd6f45654-xm79g,177,30
09:32:25,idle,paymentservice-9bfb7bf5-46sq4,4,76
09:32:25,idle,paymentservice-9bfb7bf5-pktv4,1,66
09:32:25,idle,paymentservice-9bfb7bf5-snj4k,12,119
09:32:25,idle,productcatalogservice-65bbf699df-8zzd2,124,42
09:32:25,idle,productcatalogservice-65bbf699df-qmltb,1,18
09:32:25,idle,productcatalogservice-65bbf699df-rh24h,70,22
09:32:25,idle,recommendationservice-7444754ff5-b7pgl,184,80
09:32:25,idle,recommendationservice-7444754ff5-hsxb8,2,51
09:32:25,idle,recommendationservice-7444754ff5-xm2x5,171,55
09:32:25,idle,redis-cart-c8ff86559-jrlvk,12,36
09:32:25,idle,shippingservice-f956b6d9f-2g46p,23,30
09:32:25,idle,shippingservice-f956b6d9f-4kzvq,6,15
09:32:25,idle,shippingservice-f956b6d9f-nmnfn,3,16
09:32:35,25u,adservice-574bff445c-grt9z,3,156
09:32:35,25u,adservice-574bff445c-h47zv,3,156
09:32:35,25u,adservice-574bff445c-wppcl,15,277
09:32:35,25u,cartservice-7c84fdfb6-hsn24,1,111
09:32:35,25u,cartservice-7c84fdfb6-s4cp2,29,167
09:32:35,25u,cartservice-7c84fdfb6-sf94w,3,135
09:32:35,25u,checkoutservice-5b6d96c9b7-cfmrc,4,35
09:32:35,25u,checkoutservice-5b6d96c9b7-h4wfv,2,19
09:32:35,25u,checkoutservice-5b6d96c9b7-jdqn7,2,22
09:32:35,25u,currencyservice-7c8fc8fc9c-dlzht,27,117
09:32:35,25u,currencyservice-7c8fc8fc9c-mvsgf,27,120
09:32:35,25u,currencyservice-7c8fc8fc9c-wqrfs,2,93
09:32:35,25u,emailservice-66944ff59-478c4,3,56
