NAME                    READY   UP-TO-DATE   AVAILABLE   AGE    CONTAINERS   IMAGES                  SELECTOR
adservice               3/3     3            3           130m   server       adservice               app=adservice
cartservice             3/3     3            3           130m   server       cartservice             app=cartservice
checkoutservice         3/3     3            3           130m   server       checkoutservice         app=checkoutservice
currencyservice         3/3     3            3           130m   server       currencyservice         app=currencyservice
emailservice            3/3     3            3           130m   server       emailservice            app=emailservice
frontend                3/3     3            3           130m   server       frontend                app=frontend
loadgenerator           0/0     0            0           130m   main         loadgenerator           app=loadgenerator
paymentservice          3/3     3            3           130m   server       paymentservice          app=paymentservice
productcatalogservice   3/3     3            3           130m   server       productcatalogservice   app=productcatalogservice
recommendationservice   3/3     3            3           130m   server       recommendationservice   app=recommendationservice
redis-cart              1/1     1            1           130m   redis        redis:alpine            app=redis-cart
shippingservice         3/3     3            3           130m   server       shippingservice         app=shippingservice
