NAME                                     READY   STATUS      RESTARTS        AGE     IP           NODE             NOMINATED NODE   READINESS GATES
adservice-574bff445c-6mj7s               1/1     Running     1 (8m3s ago)    128m    10.1.1.169   docker-desktop   <none>           <none>
adservice-574bff445c-dwnqt               1/1     Running     0               19m     10.1.1.194   docker-desktop   <none>           <none>
adservice-574bff445c-qb9cj               1/1     Running     0               19m     10.1.1.187   docker-desktop   <none>           <none>
cartservice-7c84fdfb6-gvdl7              1/1     Running     0               19m     10.1.1.189   docker-desktop   <none>           <none>
cartservice-7c84fdfb6-m5m6d              1/1     Running     0               128m    10.1.1.170   docker-desktop   <none>           <none>
cartservice-7c84fdfb6-rrqpp              1/1     Running     0               19m     10.1.1.188   docker-desktop   <none>           <none>
checkoutservice-5b6d96c9b7-45rkr         1/1     Running     0               128m    10.1.1.171   docker-desktop   <none>           <none>
checkoutservice-5b6d96c9b7-jbfvs         1/1     Running     0               19m     10.1.1.190   docker-desktop   <none>           <none>
checkoutservice-5b6d96c9b7-zvd4c         1/1     Running     0               19m     10.1.1.191   docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-4hm9g         1/1     Running     7 (14m ago)     128m    10.1.1.172   docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-5frj9         1/1     Running     1 (6m20s ago)   19m     10.1.1.193   docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-mgwx9         1/1     Running     0               19m     10.1.1.192   docker-desktop   <none>           <none>
emailservice-66944ff59-2lcjl             1/1     Running     0               128m    10.1.1.173   docker-desktop   <none>           <none>
emailservice-66944ff59-c4g5x             1/1     Running     0               19m     10.1.1.195   docker-desktop   <none>           <none>
emailservice-66944ff59-hrmjl             1/1     Running     0               19m     10.1.1.198   docker-desktop   <none>           <none>
frontend-7bd6f45654-przgb                1/1     Running     0               19m     10.1.1.199   docker-desktop   <none>           <none>
frontend-7bd6f45654-s2s7z                1/1     Running     0               128m    10.1.1.174   docker-desktop   <none>           <none>
frontend-7bd6f45654-vfxkp                1/1     Running     0               19m     10.1.1.196   docker-desktop   <none>           <none>
loadgenerator-57fc5754d-dbt4n            0/1     Completed   0               2m24s   10.1.1.205   docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-6hckw            1/1     Running     0               19m     10.1.1.201   docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-75nf7            1/1     Running     0               19m     10.1.1.197   docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-kgd56            1/1     Running     0               128m    10.1.1.176   docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-7w28t   1/1     Running     0               88m     10.1.1.184   docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-j2fmg   1/1     Running     0               128m    10.1.1.177   docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-qntf5   1/1     Running     0               88m     10.1.1.183   docker-desktop   <none>           <none>
recommendationservice-7444754ff5-d8g8j   1/1     Running     0               19m     10.1.1.200   docker-desktop   <none>           <none>
recommendationservice-7444754ff5-n8cbh   1/1     Running     0               128m    10.1.1.178   docker-desktop   <none>           <none>
recommendationservice-7444754ff5-pwgrt   1/1     Running     0               19m     10.1.1.202   docker-desktop   <none>           <none>
redis-cart-c8ff86559-kcf44               1/1     Running     0               130m    10.1.1.160   docker-desktop   <none>           <none>
shippingservice-f956b6d9f-nvkxm          1/1     Running     0               19m     10.1.1.203   docker-desktop   <none>           <none>
shippingservice-f956b6d9f-pkw7l          1/1     Running     0               19m     10.1.1.204   docker-desktop   <none>           <none>
shippingservice-f956b6d9f-w7n4b          1/1     Running     0               128m    10.1.1.179   docker-desktop   <none>           <none>
