NAME                                     CPU(cores)   MEMORY(bytes)   
currencyservice-7c8fc8fc9c-4hm9g         9m           120Mi           
cartservice-7c84fdfb6-m5m6d              8m           186Mi           
recommendationservice-7444754ff5-pwgrt   8m           55Mi            
loadgenerator-57fc5754d-dbt4n            7m           64Mi            
frontend-7bd6f45654-przgb                7m           32Mi            
recommendationservice-7444754ff5-n8cbh   7m           81Mi            
productcatalogservice-65bbf699df-j2fmg   6m           42Mi            
adservice-574bff445c-qb9cj               6m           266Mi           
adservice-574bff445c-6mj7s               4m           181Mi           
recommendationservice-7444754ff5-d8g8j   4m           51Mi            
currencyservice-7c8fc8fc9c-mgwx9         4m           122Mi           
emailservice-66944ff59-2lcjl             4m           94Mi            
emailservice-66944ff59-c4g5x             4m           56Mi            
emailservice-66944ff59-hrmjl             4m           56Mi            
frontend-7bd6f45654-s2s7z                4m           52Mi            
adservice-574bff445c-dwnqt               4m           248Mi           
currencyservice-7c8fc8fc9c-5frj9         3m           85Mi            
redis-cart-c8ff86559-kcf44               3m           37Mi            
frontend-7bd6f45654-vfxkp                3m           27Mi            
productcatalogservice-65bbf699df-qntf5   2m           22Mi            
paymentservice-9bfb7bf5-kgd56            2m           113Mi           
cartservice-7c84fdfb6-rrqpp              2m           115Mi           
cartservice-7c84fdfb6-gvdl7              2m           109Mi           
paymentservice-9bfb7bf5-75nf7            1m           100Mi           
productcatalogservice-65bbf699df-7w28t   1m           21Mi            
paymentservice-9bfb7bf5-6hckw            1m           66Mi            
checkoutservice-5b6d96c9b7-zvd4c         1m           21Mi            
checkoutservice-5b6d96c9b7-jbfvs         1m           16Mi            
checkoutservice-5b6d96c9b7-45rkr         1m           38Mi            
shippingservice-f956b6d9f-nvkxm          1m           15Mi            
shippingservice-f956b6d9f-pkw7l          1m           16Mi            
shippingservice-f956b6d9f-w7n4b          1m           33Mi            
