Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779310705,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779310706,2,,Aggregated,0.000000,0.000000,18,24,34,48,60,60,60,60,60,60,60,9,0,18,25.98892111111111,11.045082999999956,59.981708999999995,11973.333333333334
1779310707,4,,Aggregated,0.000000,0.000000,15,21,24,25,34,48,60,60,60,60,60,23,0,15,20.13990400000002,8.635958999999804,59.981708999999995,12341.826086956522
1779310708,6,,Aggregated,0.000000,0.000000,15,17,18,21,25,34,60,60,60,60,60,45,0,15,17.064161111111165,7.183584000000298,59.981708999999995,12099.6
1779310709,8,,Aggregated,11.000000,0.000000,13,15,16,18,23,30,48,60,60,60,60,74,0,13,15.029460581081123,7.129291999999232,59.981708999999995,11668.027027027027
1779310710,10,,Aggregated,15.000000,0.000000,12,14,15,16,20,24,34,48,60,60,60,113,0,12,13.982152274336329,7.129291999999232,59.981708999999995,11545.451327433628
1779310711,12,,Aggregated,18.000000,0.000000,12,14,15,16,20,24,30,48,60,60,60,162,0,12,13.22909566049388,6.3728749999993894,59.981708999999995,11486.58024691358
1779310712,14,,Aggregated,21.400000,0.000000,11,13,14,15,18,23,25,34,60,60,60,216,0,11,12.60033946759262,5.374332999999787,59.981708999999995,11479.62037037037
1779310713,16,,Aggregated,26.500000,0.000000,11,13,14,15,17,23,25,34,60,60,60,274,0,11,12.170440967153299,5.374332999999787,59.981708999999995,11327.065693430657
1779310714,18,,Aggregated,30.428571,0.000000,11,13,14,15,17,21,24,30,60,60,60,339,0,11,11.930899796460178,5.374332999999787,59.981708999999995,11338.74041297935
1779310715,20,,Aggregated,33.750000,0.000000,11,12,14,14,17,22,30,34,96,96,96,414,0,11,12.17584950724635,5.374332999999787,95.67791699999972,11420.840579710144
1779310716,22,,Aggregated,37.111111,0.000000,10,12,13,14,16,20,28,34,96,96,96,495,0,10,11.764511262626216,5.374332999999787,95.67791699999972,11337.30303030303
1779310717,24,,Aggregated,40.900000,0.000000,10,12,13,14,16,21,30,60,160,160,160,585,0,10,12.236471844444406,5.321249999999722,155.20395799999955,11206.924786324786
1779310718,26,,Aggregated,48.400000,0.000000,10,12,13,14,17,24,57,110,160,160,160,688,0,10,13.1973792834302,5.321249999999722,155.20395799999955,11087.101744186046
1779310719,28,,Aggregated,55.900000,0.000000,10,12,13,14,17,24,60,96,160,160,160,790,0,10,13.410339801265787,5.321249999999722,155.20395799999955,11007.789873417722
1779310720,30,,Aggregated,63.000000,0.000000,10,12,13,14,17,23,54,86,160,160,160,904,0,10,12.906446839601752,5.321249999999722,155.20395799999955,10912.70685840708
1779310721,32,,Aggregated,63.000000,0.000000,10,12,13,14,18,25,54,78,150,160,160,1026,0,10,13.039272892787505,5.321249999999722,155.20395799999955,10871.564327485381
1779310722,34,,Aggregated,79.000000,0.000000,10,12,13,14,18,29,64,87,150,160,160,1157,0,10,13.336155349178878,4.771416000000528,155.20395799999955,10865.388072601556
1779310723,36,,Aggregated,86.700000,0.000000,10,12,14,15,19,31,63,86,150,160,160,1298,0,10,13.594385456856676,4.771416000000528,155.20395799999955,10834.674884437596
1779310724,38,,Aggregated,93.900000,0.000000,10,12,13,14,18,29,59,83,150,160,160,1440,0,10,13.136613538888888,4.525375000000054,155.20395799999955,10802.463194444445
1779310725,40,,Aggregated,101.700000,0.000000,10,12,13,14,18,29,58,82,150,160,160,1586,0,10,12.99066364249684,4.525375000000054,155.20395799999955,10783.856242118538
1779310726,42,,Aggregated,109.300000,0.000000,10,12,13,14,19,34,84,110,250,260,260,1742,0,10,14.639024273823177,4.525375000000054,257.62358300000085,10782.874282433984
1779310727,44,,Aggregated,116.100000,0.000000,10,12,13,14,19,32,77,110,250,260,260,1912,0,10,14.324510411610861,4.483666999998803,257.62358300000085,10743.47960251046
1779310728,46,,Aggregated,123.500000,0.000000,10,12,13,14,19,31,70,100,250,260,260,2079,0,10,14.059694924001914,4.483666999998803,257.62358300000085,10708.65848965849
1779310729,48,,Aggregated,131.100000,0.000000,10,12,13,14,19,33,71,100,250,260,260,2248,0,10,14.128358390569387,4.483666999998803,257.62358300000085,10683.84119217082
1779310730,50,,Aggregated,138.500000,0.000000,10,12,13,14,20,37,71,97,250,260,260,2438,0,10,14.312824240771093,4.483666999998803,257.62358300000085,10656.053322395406
1779310731,52,,Aggregated,144.600000,0.000000,10,12,14,15,23,42,72,96,250,260,260,2612,0,10,14.778759331546656,4.483666999998803,257.62358300000085,10628.898162327718
1779310732,54,,Aggregated,152.200000,0.000000,10,12,14,15,24,44,70,94,250,260,260,2820,0,10,14.880955807092155,4.483666999998803,257.62358300000085,10629.92269503546
1779310733,56,,Aggregated,157.100000,0.000000,10,12,14,15,26,45,70,92,200,260,260,3021,0,10,15.144915398543485,4.483666999998803,257.62358300000085,10613.223435948361
1779310734,58,,Aggregated,164.800000,0.000000,10,12,14,15,25,43,68,89,200,260,260,3230,0,10,14.873606231269328,4.483666999998803,257.62358300000085,10616.014860681114
1779310735,60,,Aggregated,171.300000,0.000000,10,12,14,15,27,45,68,87,200,260,260,3444,0,10,15.092940209349562,4.483666999998803,257.62358300000085,10640.36556329849
1779310736,62,,Aggregated,178.000000,0.000000,11,13,15,17,34,56,83,100,200,260,260,3645,0,11,16.799302479561003,4.483666999998803,257.62358300000085,10649.123182441701
1779310737,64,,Aggregated,185.300000,0.000000,11,13,16,18,39,59,83,100,200,260,260,3859,0,11,17.498871606633788,4.483666999998803,257.62358300000085,10636.428608447784
1779310738,66,,Aggregated,189.400000,0.000000,11,14,17,21,43,64,93,120,200,260,260,4083,0,11,18.972921092578932,4.483666999998803,257.62358300000085,10641.6994856723
1779310739,68,,Aggregated,194.800000,0.000000,11,14,18,23,48,72,110,140,200,260,260,4303,0,11,20.520179447827076,4.483666999998803,257.62358300000085,10633.792702765513
