Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777645185,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777645186,2,,Aggregated,0.000000,0.000000,7,10,10,12,22,22,22,22,22,22,22,10,10,6,8.60502919999996,4.149790999999903,22.271916999999974,5097.7
1777645187,4,,Aggregated,0.000000,0.000000,9,10,12,16,19,20,22,22,22,22,22,22,22,9,10.031225363636368,4.149790999999903,22.271916999999974,5096.772727272727
1777645188,6,,Aggregated,6.000000,6.000000,8,10,12,12,17,19,22,22,22,22,22,45,45,8,8.948729688888873,3.279000000000032,22.271916999999974,5079.844444444445
1777645189,8,,Aggregated,8.000000,8.000000,6,8,10,10,13,19,20,22,22,22,22,72,72,6,7.67143866666666,2.7837079999999403,22.271916999999974,5074.527777777777
1777645190,10,,Aggregated,11.333333,11.333333,7,9,10,10,13,17,20,22,96,96,96,110,110,7,8.478934481818174,2.7837079999999403,95.51112499999981,5066.809090909091
1777645191,12,,Aggregated,15.000000,15.000000,7,9,10,10,13,17,21,23,96,96,96,151,151,7,8.656444278145687,2.7837079999999403,95.51112499999981,5061.198675496688
1777645192,14,,Aggregated,18.400000,18.400000,7,9,10,10,13,16,20,22,96,96,96,201,201,7,8.231445288557193,2.5652499999999634,95.51112499999981,5057.462686567164
1777645193,16,,Aggregated,22.000000,22.000000,7,9,9,10,13,16,20,22,96,96,96,260,260,7,7.976595076923075,2.5652499999999634,95.51112499999981,5054.207692307692
1777645194,18,,Aggregated,25.428571,25.428571,6,8,9,10,12,15,19,21,96,96,96,316,316,6,7.687539212025322,2.5652499999999634,95.51112499999981,5052.522151898735
1777645195,20,,Aggregated,28.750000,28.750000,6,8,9,10,13,16,21,40,96,96,96,395,395,6,7.972870402531635,2.5652499999999634,95.51112499999981,5050.683544303797
1777645196,22,,Aggregated,32.555556,32.555556,6,8,9,10,12,16,20,27,96,96,96,480,480,6,7.75520696874999,2.5652499999999634,95.51112499999981,5049.864583333333
1777645197,24,,Aggregated,35.700000,35.700000,6,7,9,9,12,15,19,23,96,96,96,564,564,6,7.447726083333328,2.506084000000186,95.51112499999981,5049.372340425532
1777645198,25,,Aggregated,43.600000,43.600000,6,7,9,9,11,14,19,22,96,96,96,652,652,6,7.186778326687134,2.272542000000044,95.51112499999981,5049.564417177914
1777645199,25,,Aggregated,50.700000,50.700000,6,7,8,9,11,14,17,21,96,96,96,739,739,6,6.884379753721271,2.272542000000044,95.51112499999981,5049.48849797023
1777645200,25,,Aggregated,57.500000,57.500000,5,7,8,9,11,13,17,20,96,96,96,833,833,5,6.699910423769531,2.272542000000044,95.51112499999981,5049.84993997599
1777645201,25,,Aggregated,63.900000,63.900000,5,7,8,8,11,13,17,23,96,96,96,921,921,5,6.7131740000000315,2.272542000000044,95.51112499999981,5049.7513572204125
1777645202,25,,Aggregated,69.500000,69.500000,5,6,7,8,10,13,17,22,82,96,96,1008,1008,5,6.604054150793687,2.272542000000044,95.51112499999981,5049.866071428572
1777645203,25,,Aggregated,74.800000,74.800000,5,6,7,8,10,13,17,23,82,96,96,1108,1108,5,6.591584390794281,2.272542000000044,95.51112499999981,5049.959386281588
1777645204,25,,Aggregated,78.700000,78.700000,5,6,7,8,10,13,17,23,82,96,96,1169,1169,5,6.544803928143778,2.001666999998264,95.51112499999981,5049.021385799829
1777645205,25,,Aggregated,82.900000,82.900000,5,6,7,8,10,12,17,23,82,96,96,1189,1189,5,6.510092899074921,2.001666999998264,95.51112499999981,5048.531539108494
1777645206,25,,Aggregated,82.900000,82.900000,5,6,7,8,10,12,17,23,82,96,96,1189,1189,5,6.510092899074921,2.001666999998264,95.51112499999981,5048.531539108494
1777645207,25,,Aggregated,82.900000,82.900000,5,6,7,8,10,12,17,23,82,96,96,1189,1189,5,6.510092899074921,2.001666999998264,95.51112499999981,5048.531539108494
1777645208,25,,Aggregated,82.900000,82.900000,5,6,7,8,10,13,17,24,96,3900,3900,1190,1189,5,9.781581266386622,2.001666999998264,3899.5812500000006,5053.119327731092
1777645209,25,,Aggregated,66.600000,66.600000,5,7,8,9,12,19,3300,4400,5000,5000,5000,1236,1189,5,94.3871184579289,2.001666999998264,5038.299833,5207.996763754045
1777645210,25,,Aggregated,58.100000,58.000000,6,7,9,10,17,120,1300,4000,5000,5000,5000,1304,1189,6,97.70188551073628,2.001666999998264,5038.299833,5503.293711656442
1777645211,25,,Aggregated,50.800000,49.000000,6,7,9,11,61,120,1300,4000,5000,5000,5000,1379,1189,6,96.94363831907187,2.001666999998264,5038.299833,5788.382160986222
1777645212,25,,Aggregated,47.800000,40.200000,6,8,11,15,110,130,920,3900,5000,5000,5000,1448,1189,6,97.4362693314917,2.001666999998264,5038.299833,6006.299723756906
1777645213,25,,Aggregated,45.600000,30.900000,6,9,12,21,120,140,330,3900,5000,5000,5000,1510,1189,6,98.38412151589401,2.001666999998264,5038.299833,6183.321854304636
1777645214,25,,Aggregated,44.500000,22.400000,6,10,17,30,120,140,270,3900,5000,5000,5000,1580,1189,6,97.76622119810126,2.001666999998264,5038.299833,6308.994303797468
1777645215,25,,Aggregated,41.400000,13.000000,7,11,21,60,120,140,260,3900,5000,5000,5000,1651,1189,7,96.93283875651112,2.001666999998264,5038.299833,6514.636583888552
1777645216,25,,Aggregated,39.700000,4.400000,7,13,28,82,120,140,250,3800,5000,5000,5000,1728,1189,7,96.1449557031249,2.001666999998264,5038.299833,6698.305555555556
1777645217,25,,Aggregated,42.200000,0.300000,7,15,43,110,120,170,490,3800,5000,5000,5000,1778,1189,7,100.89449615523044,2.001666999998264,5038.299833,6799.921259842519
1777645218,25,,Aggregated,49.900000,0.000000,8,17,61,110,130,170,480,3800,5000,5000,5000,1839,1189,8,100.97286092876543,2.001666999998264,5038.299833,6929.79227841218
1777645219,25,,Aggregated,56.200000,0.000000,8,19,78,110,130,190,460,3700,5000,5000,5000,1911,1189,8,101.09174694400816,2.001666999998264,5038.299833,7068.143903715332
1777645220,25,,Aggregated,61.700000,0.000000,9,22,93,110,130,180,460,3700,5000,5000,5000,1982,1189,9,100.47611786932376,2.001666999998264,5038.299833,7202.4076690211905
1777645221,25,,Aggregated,65.900000,0.000000,9,25,110,110,130,180,460,3700,5000,5000,5000,2047,1189,9,100.36329143722504,2.001666999998264,5038.299833,7302.361993160723
1777645222,25,,Aggregated,67.300000,0.000000,10,29,110,110,130,180,440,3700,5000,5000,5000,2114,1189,10,99.51401861967817,2.001666999998264,5038.299833,7410.752601702933
1777645223,25,,Aggregated,67.200000,0.000000,11,39,110,110,140,190,450,3700,5000,5000,5000,2186,1189,11,100.32817630649572,2.001666999998264,5038.299833,7508.9830741079595
1777645224,25,,Aggregated,66.700000,0.000000,12,46,110,110,130,180,440,3600,5000,5000,5000,2255,1189,12,99.98793608026598,2.001666999998264,5038.299833,7597.988470066519
1777645225,25,,Aggregated,66.800000,0.000000,12,57,110,120,140,190,440,3400,5000,5000,5000,2311,1189,12,100.78413125183896,2.001666999998264,5038.299833,7668.411077455647
1777645226,25,,Aggregated,67.400000,0.000000,14,63,110,120,150,190,410,3400,5000,5000,5000,2381,1189,14,100.84183163208729,2.001666999998264,5038.299833,7736.419151616968
1777645227,25,,Aggregated,67.000000,0.000000,16,73,110,120,150,190,390,3300,5000,5000,5000,2453,1189,16,100.7867493852425,2.001666999998264,5038.299833,7811.6151651039545
1777645228,25,,Aggregated,67.000000,0.000000,16,76,110,120,150,190,390,3300,5000,5000,5000,2463,1189,16,100.965416138449,2.001666999998264,5038.299833,7818.380430369468
1777645229,25,,Aggregated,67.000000,0.000000,16,76,110,120,150,190,390,3300,5000,5000,5000,2463,1189,16,100.965416138449,2.001666999998264,5038.299833,7818.380430369468
1777645230,25,,Aggregated,67.000000,0.000000,16,76,110,120,150,190,390,3300,5000,5000,5000,2463,1189,16,100.965416138449,2.001666999998264,5038.299833,7818.380430369468
1777645231,25,,Aggregated,59.700000,0.000000,17,82,110,120,150,210,1300,3400,5000,5000,5000,2500,1189,17,130.04532468000002,2.001666999998264,5038.299833,7869.3956
1777645232,25,,Aggregated,52.500000,0.000000,18,84,110,120,150,210,1300,3400,5000,5100,5100,2569,1189,18,131.22819984780077,2.001666999998264,5050.585542000001,7945.956014013234
1777645233,25,,Aggregated,46.200000,0.000000,18,81,110,120,150,210,920,3400,5000,5100,5100,2660,1189,18,127.88324957443622,2.001666999998264,5050.585542000001,8022.456766917293
1777645234,25,,Aggregated,45.200000,0.000000,19,80,110,120,150,210,870,3400,5000,5100,5100,2727,1189,19,126.41662365163194,2.001666999998264,5050.585542000001,8113.277594426109
1777645235,25,,Aggregated,46.600000,0.000000,21,83,110,120,160,210,600,3400,5000,5100,5100,2792,1189,21,126.58066688789404,2.001666999998264,5050.585542000001,8186.550859598854
1777645236,25,,Aggregated,47.400000,0.000000,22,84,110,120,160,210,520,3300,5000,5100,5100,2862,1189,22,125.64859384311673,2.001666999998264,5050.585542000001,8246.815164220825
1777645237,25,,Aggregated,47.000000,0.000000,24,91,110,120,160,210,510,3300,5000,5100,5100,2935,1189,24,125.16636327120955,2.001666999998264,5050.585542000001,8326.535264054515
1777645238,25,,Aggregated,47.800000,0.000000,25,93,110,120,160,210,500,3300,5000,5100,5100,2984,1189,25,125.1365758743298,2.001666999998264,5050.585542000001,8358.138404825737
1777645239,25,,Aggregated,47.700000,0.000000,26,94,110,120,160,220,500,3300,5000,5100,5100,3052,1227,26,125.60082093414158,2.001666999998264,5050.585542000001,8330.661861074705
1777645240,25,,Aggregated,49.200000,0.000000,23,89,110,120,160,220,490,3300,5000,5100,5100,3144,1319,23,122.07049237595425,2.001666999998264,5050.585542000001,8236.039122137405
1777645241,25,,Aggregated,53.800000,0.000000,21,84,110,120,160,220,490,3200,5000,5100,5100,3234,1409,21,118.85798471985163,2.001666999998264,5050.585542000001,8148.698824984539
1777645242,25,,Aggregated,62.700000,7.600000,19,81,110,120,150,210,480,3200,5000,5100,5100,3328,1503,19,115.64717167608177,2.001666999998264,5050.585542000001,8062.518629807692
1777645243,25,,Aggregated,70.800000,16.400000,18,77,110,120,150,210,460,3200,5000,5100,5100,3421,1596,18,112.69276717509511,1.9670000000004961,5050.585542000001,7981.9166910260155
1777645244,25,,Aggregated,73.500000,25.000000,16,71,110,120,150,210,460,3200,5000,5100,5100,3513,1688,16,109.87104783575303,1.9282919999952242,5050.585542000001,7906.385425562197
1777645245,25,,Aggregated,75.300000,34.600000,15,66,110,110,150,200,440,3200,5000,5100,5100,3605,1780,15,107.18423186546477,1.9282919999952242,5050.585542000001,7834.701803051317
1777645246,25,,Aggregated,76.200000,43.800000,13,61,110,110,150,200,440,3200,5000,5100,5100,3696,1871,13,104.6729646106603,1.9282919999952242,5050.585542000001,7767.308170995671
1777645247,25,,Aggregated,79.600000,53.000000,12,57,110,110,150,200,410,3200,5000,5100,5100,3785,1960,12,102.33341221849419,1.9282919999952242,5050.585542000001,7704.533949801849
1777645248,25,,Aggregated,82.300000,62.600000,11,53,100,110,150,200,400,3100,5000,5100,5100,3880,2055,11,99.98164380206201,1.9282919999952242,5050.585542000001,7640.708505154639
1777645249,25,,Aggregated,84.200000,71.500000,10,48,99,110,140,190,390,3100,5000,5100,5100,3968,2143,10,97.86071732056473,1.7214579999915713,5050.585542000001,7584.307963709677
1777645250,25,,Aggregated,86.200000,80.300000,9,44,97,110,140,190,380,3100,5000,5100,5100,4057,2232,9,95.8209514308604,1.7214579999915713,5050.585542000001,7529.752772984964
1777645251,25,,Aggregated,90.900000,89.600000,9,40,95,110,140,190,370,3100,5000,5100,5100,4146,2321,9,93.88730572648349,1.7214579999915713,5050.585542000001,7477.541003376748
1777645252,25,,Aggregated,90.500000,90.500000,9,35,91,110,140,190,360,3100,5000,5100,5100,4240,2415,9,91.9329745693397,1.7214579999915713,5050.585542000001,7424.77570754717
1777645253,25,,Aggregated,90.900000,90.900000,8,31,87,110,140,190,360,3100,5000,5100,5100,4331,2506,8,90.12479782475184,1.7214579999915713,5050.585542000001,7375.879704456245
1777645254,25,,Aggregated,91.100000,91.100000,8,28,84,110,140,190,360,3100,5000,5100,5100,4422,2597,8,88.40312668679337,1.7214579999915713,5050.585542000001,7328.9957033016735
1777645255,25,,Aggregated,90.500000,90.500000,8,26,81,110,140,190,340,3000,5000,5100,5100,4515,2690,8,86.6920363696568,1.7214579999915713,5050.585542000001,7283.036323366556
1777645256,25,,Aggregated,90.500000,90.500000,8,24,79,110,130,180,330,3000,5000,5100,5100,4607,2782,8,85.06243214065564,1.7214579999915713,5050.585542000001,7239.390709789451
