Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779313001,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779313002,2,,Aggregated,0.000000,0.000000,26,26,32,39,43,43,43,43,43,43,43,10,0,18,22.825841599999997,8.666208000000008,42.506790999999986,10175.3
1779313003,4,,Aggregated,0.000000,0.000000,15,18,18,26,32,39,43,43,43,43,43,22,0,14,17.810191318181808,8.332707999999966,42.506790999999986,10454.318181818182
1779313004,6,,Aggregated,9.000000,0.000000,17,18,26,39,430,610,700,700,700,700,700,38,0,17,84.46086944736844,8.332707999999966,696.1774169999999,9906.736842105263
1779313005,8,,Aggregated,9.000000,0.000000,15,18,18,26,400,440,700,700,700,700,700,50,0,15,67.00369908,8.332707999999966,696.1774169999999,9641.06
1779313006,10,,Aggregated,11.666667,0.000000,14,18,26,43,540,690,730,800,800,800,800,83,0,14,111.92195679518069,7.651166999999681,798.0720000000003,10034.253012048193
1779313007,12,,Aggregated,12.500000,0.000000,12,14,17,18,300,630,730,730,800,800,800,130,0,12,75.10086568461541,6.179625000000577,798.0720000000003,9950.576923076924
1779313008,14,,Aggregated,15.400000,0.000000,12,14,17,18,90,540,700,730,800,800,800,180,0,12,59.50902337777779,6.179625000000577,798.0720000000003,10140.333333333334
1779313009,16,,Aggregated,15.400000,0.000000,12,14,17,18,51,400,690,730,800,800,800,231,0,12,49.91247490909089,5.876333999999872,798.0720000000003,10305.883116883117
1779313010,18,,Aggregated,21.000000,0.000000,12,15,18,24,390,550,670,730,800,800,800,257,0,12,76.74311007393,5.876333999999872,798.0720000000003,10265.891050583657
1779313011,20,,Aggregated,28.875000,0.000000,12,15,22,51,490,610,670,700,800,800,800,306,0,12,97.37307488235295,5.332708000000963,798.0720000000003,10237.277777777777
1779313012,22,,Aggregated,28.555556,0.000000,12,14,17,20,390,590,670,700,800,800,800,393,0,12,78.18026590839693,5.332708000000963,798.0720000000003,10419.002544529261
1779313013,24,,Aggregated,29.600000,0.000000,11,13,15,17,250,540,660,700,800,800,800,485,0,11,65.14058274020618,4.983166000000594,798.0720000000003,10577.441237113402
1779313014,26,,Aggregated,37.300000,0.000000,10,13,14,15,79,500,630,690,800,800,800,585,0,10,55.69719225128205,4.983166000000594,798.0720000000003,10743.217094017094
1779313015,28,,Aggregated,45.000000,0.000000,10,12,14,15,30,440,620,670,800,800,800,691,0,10,48.74084058176555,4.871458000000217,798.0720000000003,10742.765557163531
1779313016,30,,Aggregated,53.400000,0.000000,10,12,13,14,23,390,610,670,800,800,800,798,0,10,43.46045755639095,4.871458000000217,798.0720000000003,10734.699248120301
1779313017,32,,Aggregated,62.800000,0.000000,10,12,13,14,21,280,600,660,800,800,800,917,0,10,39.32647229007629,4.68691700000079,798.0720000000003,10711.941112322791
1779313018,34,,Aggregated,71.100000,0.000000,10,12,13,14,19,110,560,640,730,800,800,1046,0,10,35.79264018738048,4.68691700000079,798.0720000000003,10708.463671128107
1779313019,36,,Aggregated,77.500000,0.000000,10,12,13,14,22,79,540,630,730,800,800,1177,0,10,33.44725956669502,4.68691700000079,798.0720000000003,10621.818181818182
1779313020,38,,Aggregated,85.600000,0.000000,10,12,13,14,25,60,530,620,730,800,800,1319,0,10,31.611288197877194,4.474124999997997,798.0720000000003,10601.310841546627
1779313021,40,,Aggregated,93.000000,0.000000,10,13,15,17,50,88,510,620,730,800,800,1447,0,10,33.33372633586732,4.474124999997997,798.0720000000003,10604.029025570146
1779313022,42,,Aggregated,104.300000,0.000000,11,14,17,25,73,110,450,610,730,800,800,1574,0,11,36.21259516709021,4.474124999997997,798.0720000000003,10569.830368487928
1779313023,44,,Aggregated,113.100000,0.000000,11,14,23,34,79,120,440,600,730,800,800,1718,0,11,37.30061345518044,4.474124999997997,798.0720000000003,10560.337019790453
1779313024,46,,Aggregated,116.900000,0.000000,12,16,30,47,88,120,420,600,730,800,800,1851,0,12,39.27129103241489,4.474124999997997,798.0720000000003,10595.797947055646
1779313025,48,,Aggregated,122.100000,0.000000,12,21,44,60,100,140,390,590,730,800,800,1985,0,12,42.95981970277078,4.474124999997997,798.0720000000003,10596.507808564233
1779313026,50,,Aggregated,126.200000,0.000000,13,26,53,69,110,140,300,560,730,800,800,2116,0,13,45.103312194234384,4.474124999997997,798.0720000000003,10573.496219281664
1779313027,52,,Aggregated,128.500000,0.000000,14,35,64,82,130,170,280,550,730,800,800,2252,0,14,49.93263918516869,4.474124999997997,798.0720000000003,10561.429396092362
1779313028,54,,Aggregated,131.000000,0.000000,14,45,74,91,130,170,280,540,730,800,800,2389,0,14,52.60047289284216,4.474124999997997,798.0720000000003,10564.138133110087
1779313029,56,,Aggregated,132.300000,0.000000,15,54,86,100,140,170,260,530,730,800,800,2533,0,15,56.590761294907225,4.474124999997997,798.0720000000003,10560.383339913147
1779313030,58,,Aggregated,134.000000,0.000000,17,62,93,110,150,190,280,530,730,800,800,2660,0,17,60.72305932781958,4.474124999997997,798.0720000000003,10567.681954887217
1779313031,60,,Aggregated,134.900000,0.000000,19,70,100,120,170,220,290,510,730,800,800,2773,0,19,66.5735001871619,4.474124999997997,798.0720000000003,10541.973674720519
1779313032,62,,Aggregated,134.400000,0.000000,22,75,110,120,180,230,310,510,730,800,800,2844,0,22,69.98589965014065,4.474124999997997,798.0720000000003,10559.585443037975
1779313033,64,,Aggregated,133.500000,0.000000,25,85,120,140,210,270,530,660,910,980,980,2983,0,25,82.82980725075429,4.474124999997997,981.4859590000004,10552.977204156889
1779313034,66,,Aggregated,128.900000,0.000000,30,93,130,160,220,280,510,650,910,980,980,3105,0,30,87.76899107246376,4.474124999997997,981.4859590000004,10554.365217391305
1779313035,68,,Aggregated,128.900000,0.000000,33,97,130,160,230,290,510,650,910,980,980,3142,0,32,90.02930322756207,4.474124999997997,981.4859590000004,10565.522915340547
1779313036,70,,Aggregated,126.100000,0.000000,38,100,140,180,260,400,780,1000,1500,1700,1700,3253,0,38,112.26625812941901,4.474124999997997,1697.7149170000062,10557.237626806025
1779313037,72,,Aggregated,126.100000,0.000000,44,110,160,190,270,390,780,1000,1500,1700,1700,3357,0,44,115.85835362228183,4.474124999997997,1697.7149170000062,10555.668156091748
1779313038,74,,Aggregated,113.600000,0.000000,47,120,170,200,280,630,970,1100,1500,1700,1700,3430,0,47,131.9419598956268,4.474124999997997,1697.7149170000062,10535.994752186589
1779313039,76,,Aggregated,113.300000,0.000000,54,130,180,220,300,620,970,1100,1500,1700,1700,3566,0,54,137.25599677089164,4.474124999997997,1697.7149170000062,10539.284632641615
1779313040,78,,Aggregated,104.600000,0.000000,60,140,200,230,320,610,970,1100,1500,1700,1700,3700,0,60,142.63313928378372,4.474124999997997,1697.7149170000062,10535.311081081081
1779313041,80,,Aggregated,104.100000,0.000000,65,150,220,250,350,560,960,1100,1500,1700,1700,3831,0,65,148.25223577812596,4.474124999997997,1697.7149170000062,10555.664839467501
1779313042,82,,Aggregated,102.800000,0.000000,73,160,230,260,350,520,950,1100,1500,1700,1700,3975,0,73,152.3360051944658,4.474124999997997,1697.7149170000062,10569.819874213836
1779313043,84,,Aggregated,104.600000,0.000000,80,180,240,280,360,500,930,1100,1500,1700,1700,4108,0,80,157.71491850900733,4.474124999997997,1697.7149170000062,10566.436222005843
1779313044,86,,Aggregated,110.700000,0.000000,87,190,260,290,370,480,930,1100,1500,1700,1700,4253,0,87,162.47861522783967,4.474124999997997,1697.7149170000062,10553.126734070069
1779313045,88,,Aggregated,111.900000,0.000000,92,210,270,300,380,500,920,1000,1500,1700,1700,4389,0,92,166.99425989610427,4.474124999997997,1697.7149170000062,10548.744816586923
1779313046,90,,Aggregated,113.800000,0.000000,100,220,280,310,400,530,910,1000,1500,1700,1700,4519,0,100.0,175.00944158331535,4.474124999997997,1697.7149170000062,10549.339455631776
1779313047,92,,Aggregated,122.100000,0.000000,110,230,290,320,400,530,910,1000,1500,1700,1700,4661,0,110.0,180.032122072088,4.474124999997997,1697.7149170000062,10524.374383179575
1779313048,94,,Aggregated,125.700000,0.000000,110,240,300,340,400,520,900,1000,1500,1700,1700,4811,0,110.0,183.91101170422016,4.474124999997997,1697.7149170000062,10508.012471419663
1779313049,96,,Aggregated,127.200000,0.000000,120,250,310,350,410,510,880,1000,1500,1700,1700,4961,0,120.0,188.1858170193516,4.474124999997997,1697.7149170000062,10505.706510784115
1779313050,98,,Aggregated,136.800000,0.000000,120,260,320,360,430,510,870,1000,1400,1700,1700,5091,0,120.0,193.45012150952732,4.474124999997997,1697.7149170000062,10509.896680416421
1779313051,100,,Aggregated,138.100000,0.000000,130,270,340,370,450,550,850,1000,1400,1700,1700,5218,0,130.0,200.7710470134157,4.474124999997997,1697.7149170000062,10511.6972019931
1779313052,102,,Aggregated,139.300000,0.000000,140,280,350,380,470,550,850,1000,1400,1700,1700,5334,0,140.0,206.11972575778097,4.474124999997997,1697.7149170000062,10509.084739407574
1779313053,104,,Aggregated,137.700000,0.000000,140,290,350,390,480,600,970,1100,1500,1700,1700,5440,0,140.0,216.91364769209625,4.474124999997997,1697.7149170000062,10490.29669117647
1779313054,106,,Aggregated,137.600000,0.000000,160,300,360,390,490,600,980,1100,1500,1700,1700,5581,0,160.0,222.29260014388169,4.474124999997997,1697.7149170000062,10507.488622110734
1779313055,108,,Aggregated,131.200000,0.000000,160,310,370,400,510,610,970,1100,1500,1700,1700,5718,0,160.0,228.03946917401262,4.474124999997997,1697.7149170000062,10501.61962224554
1779313056,110,,Aggregated,131.200000,0.000000,170,310,380,410,530,610,970,1100,1500,1700,1700,5838,0,170.0,233.7339654102437,4.474124999997997,1697.7149170000062,10508.882665296334
