timestamp,load_label,pod,cpu_m,ram_mi
22:29:07,idle,adservice-574bff445c-qb9cj,21,268
22:29:07,idle,cartservice-7c84fdfb6-m5m6d,31,187
22:29:07,idle,checkoutservice-5b6d96c9b7-45rkr,7,38
22:29:07,idle,currencyservice-7c8fc8fc9c-4hm9g,2,88
22:29:07,idle,currencyservice-7c8fc8fc9c-5frj9,28,124
22:29:07,idle,currencyservice-7c8fc8fc9c-mgwx9,52,125
22:29:07,idle,emailservice-66944ff59-2lcjl,7,95
22:29:07,idle,frontend-7bd6f45654-przgb,37,35
22:29:07,idle,frontend-7bd6f45654-s2s7z,32,54
22:29:07,idle,frontend-7bd6f45654-vfxkp,36,35
22:29:07,idle,paymentservice-9bfb7bf5-kgd56,4,112
22:29:07,idle,productcatalogservice-65bbf699df-j2fmg,37,44
22:29:07,idle,recommendationservice-7444754ff5-n8cbh,67,81
22:29:07,idle,redis-cart-c8ff86559-kcf44,5,37
22:29:07,idle,shippingservice-f956b6d9f-w7n4b,7,33
22:29:15,100u,adservice-574bff445c-qb9cj,21,268
22:29:15,100u,cartservice-7c84fdfb6-m5m6d,31,187
22:29:15,100u,checkoutservice-5b6d96c9b7-45rkr,7,38
22:29:15,100u,currencyservice-7c8fc8fc9c-4hm9g,2,88
22:29:15,100u,currencyservice-7c8fc8fc9c-5frj9,28,124
22:29:15,100u,currencyservice-7c8fc8fc9c-mgwx9,52,125
22:29:15,100u,emailservice-66944ff59-2lcjl,7,95
22:29:15,100u,frontend-7bd6f45654-przgb,37,35
22:29:15,100u,frontend-7bd6f45654-s2s7z,32,54
22:29:15,100u,frontend-7bd6f45654-vfxkp,36,35
22:29:15,100u,paymentservice-9bfb7bf5-kgd56,4,112
22:29:15,100u,productcatalogservice-65bbf699df-j2fmg,37,44
22:29:15,100u,recommendationservice-7444754ff5-n8cbh,67,81
22:29:15,100u,redis-cart-c8ff86559-kcf44,5,37
22:29:15,100u,shippingservice-f956b6d9f-w7n4b,7,33
22:29:17,100u,adservice-574bff445c-qb9cj,21,268
22:29:17,100u,cartservice-7c84fdfb6-m5m6d,31,187
22:29:17,100u,checkoutservice-5b6d96c9b7-45rkr,7,38
22:29:17,100u,currencyservice-7c8fc8fc9c-4hm9g,2,88
22:29:17,100u,currencyservice-7c8fc8fc9c-5frj9,28,124
22:29:17,100u,currencyservice-7c8fc8fc9c-mgwx9,52,125
22:29:17,100u,emailservice-66944ff59-2lcjl,7,95
22:29:17,100u,frontend-7bd6f45654-przgb,37,35
22:29:17,100u,frontend-7bd6f45654-s2s7z,32,54
22:29:17,100u,frontend-7bd6f45654-vfxkp,36,35
22:29:17,100u,paymentservice-9bfb7bf5-kgd56,4,112
22:29:17,100u,productcatalogservice-65bbf699df-j2fmg,37,44
22:29:17,100u,recommendationservice-7444754ff5-n8cbh,67,81
22:29:17,100u,redis-cart-c8ff86559-kcf44,5,37
22:29:17,100u,shippingservice-f956b6d9f-w7n4b,7,33
22:29:25,100u,adservice-574bff445c-qb9cj,19,268
22:29:25,100u,cartservice-7c84fdfb6-m5m6d,40,187
22:29:25,100u,checkoutservice-5b6d96c9b7-45rkr,8,38
22:29:25,100u,currencyservice-7c8fc8fc9c-4hm9g,1,88
22:29:25,100u,currencyservice-7c8fc8fc9c-5frj9,42,124
22:29:25,100u,currencyservice-7c8fc8fc9c-mgwx9,40,121
22:29:25,100u,emailservice-66944ff59-2lcjl,7,95
22:29:25,100u,frontend-7bd6f45654-przgb,22,33
22:29:25,100u,frontend-7bd6f45654-s2s7z,48,53
22:29:25,100u,frontend-7bd6f45654-vfxkp,30,33
22:29:25,100u,paymentservice-9bfb7bf5-kgd56,4,112
22:29:25,100u,productcatalogservice-65bbf699df-j2fmg,38,44
22:29:25,100u,recommendationservice-7444754ff5-n8cbh,63,81
22:29:25,100u,redis-cart-c8ff86559-kcf44,5,37
22:29:25,100u,shippingservice-f956b6d9f-w7n4b,7,33
22:29:27,100u,adservice-574bff445c-qb9cj,19,268
22:29:27,100u,cartservice-7c84fdfb6-m5m6d,40,187
22:29:27,100u,checkoutservice-5b6d96c9b7-45rkr,8,38
22:29:27,100u,currencyservice-7c8fc8fc9c-4hm9g,1,88
22:29:27,100u,currencyservice-7c8fc8fc9c-5frj9,42,124
22:29:27,100u,currencyservice-7c8fc8fc9c-mgwx9,40,121
22:29:27,100u,emailservice-66944ff59-2lcjl,7,95
22:29:27,100u,frontend-7bd6f45654-przgb,22,33
22:29:27,100u,frontend-7bd6f45654-s2s7z,48,53
22:29:27,100u,frontend-7bd6f45654-vfxkp,30,33
22:29:27,100u,paymentservice-9bfb7bf5-kgd56,4,112
22:29:27,100u,productcatalogservice-65bbf699df-j2fmg,38,44
22:29:27,100u,recommendationservice-7444754ff5-n8cbh,63,81
22:29:27,100u,redis-cart-c8ff86559-kcf44,5,37
22:29:27,100u,shippingservice-f956b6d9f-w7n4b,7,33
22:29:35,100u,adservice-574bff445c-qb9cj,45,268
22:29:35,100u,cartservice-7c84fdfb6-m5m6d,81,187
22:29:35,100u,checkoutservice-5b6d96c9b7-45rkr,17,38
22:29:35,100u,currencyservice-7c8fc8fc9c-4hm9g,1,88
22:29:35,100u,currencyservice-7c8fc8fc9c-5frj9,95,124
22:29:35,100u,currencyservice-7c8fc8fc9c-mgwx9,101,122
22:29:35,100u,emailservice-66944ff59-2lcjl,11,95
22:29:35,100u,frontend-7bd6f45654-przgb,66,34
22:29:35,100u,frontend-7bd6f45654-s2s7z,108,53
22:29:35,100u,frontend-7bd6f45654-vfxkp,79,34
22:29:35,100u,paymentservice-9bfb7bf5-kgd56,8,113
22:29:35,100u,productcatalogservice-65bbf699df-j2fmg,91,44
22:29:35,100u,recommendationservice-7444754ff5-n8cbh,151,82
22:29:35,100u,redis-cart-c8ff86559-kcf44,7,37
22:29:35,100u,shippingservice-f956b6d9f-w7n4b,17,33
22:29:37,100u,adservice-574bff445c-qb9cj,45,268
22:29:37,100u,cartservice-7c84fdfb6-m5m6d,81,187
22:29:37,100u,checkoutservice-5b6d96c9b7-45rkr,17,38
22:29:37,100u,currencyservice-7c8fc8fc9c-4hm9g,1,88
22:29:37,100u,currencyservice-7c8fc8fc9c-5frj9,95,124
22:29:37,100u,currencyservice-7c8fc8fc9c-mgwx9,101,122
22:29:37,100u,emailservice-66944ff59-2lcjl,11,95
22:29:37,100u,frontend-7bd6f45654-przgb,66,34
22:29:37,100u,frontend-7bd6f45654-s2s7z,108,53
22:29:37,100u,frontend-7bd6f45654-vfxkp,79,34
22:29:37,100u,paymentservice-9bfb7bf5-kgd56,8,113
22:29:37,100u,productcatalogservice-65bbf699df-j2fmg,91,44
22:29:37,100u,recommendationservice-7444754ff5-n8cbh,151,82
22:29:37,100u,redis-cart-c8ff86559-kcf44,7,37
22:29:37,100u,shippingservice-f956b6d9f-w7n4b,17,33
22:29:45,100u,adservice-574bff445c-qb9cj,45,268
22:29:45,100u,cartservice-7c84fdfb6-m5m6d,81,187
22:29:45,100u,checkoutservice-5b6d96c9b7-45rkr,17,38
22:29:45,100u,currencyservice-7c8fc8fc9c-4hm9g,1,88
22:29:45,100u,currencyservice-7c8fc8fc9c-5frj9,95,124
22:29:45,100u,currencyservice-7c8fc8fc9c-mgwx9,101,122
22:29:45,100u,emailservice-66944ff59-2lcjl,11,95
22:29:45,100u,frontend-7bd6f45654-przgb,66,34
22:29:45,100u,frontend-7bd6f45654-s2s7z,108,53
22:29:45,100u,frontend-7bd6f45654-vfxkp,79,34
22:29:45,100u,paymentservice-9bfb7bf5-kgd56,8,113
22:29:45,100u,productcatalogservice-65bbf699df-j2fmg,91,44
22:29:45,100u,recommendationservice-7444754ff5-n8cbh,151,82
22:29:45,100u,redis-cart-c8ff86559-kcf44,7,37
22:29:45,100u,shippingservice-f956b6d9f-w7n4b,17,33
22:29:47,100u,adservice-574bff445c-qb9cj,45,268
22:29:47,100u,cartservice-7c84fdfb6-m5m6d,81,187
22:29:47,100u,checkoutservice-5b6d96c9b7-45rkr,17,38
22:29:47,100u,currencyservice-7c8fc8fc9c-4hm9g,1,88
22:29:47,100u,currencyservice-7c8fc8fc9c-5frj9,95,124
22:29:47,100u,currencyservice-7c8fc8fc9c-mgwx9,101,122
22:29:47,100u,emailservice-66944ff59-2lcjl,11,95
22:29:47,100u,frontend-7bd6f45654-przgb,66,34
22:29:47,100u,frontend-7bd6f45654-s2s7z,108,53
22:29:47,100u,frontend-7bd6f45654-vfxkp,79,34
22:29:47,100u,paymentservice-9bfb7bf5-kgd56,8,113
22:29:47,100u,productcatalogservice-65bbf699df-j2fmg,91,44
