adservice-574bff445c-qb9cj               59m    270Mi   
cartservice-7c84fdfb6-m5m6d              101m   188Mi   
checkoutservice-5b6d96c9b7-45rkr         18m    38Mi    
currencyservice-7c8fc8fc9c-4hm9g         144m   126Mi   
currencyservice-7c8fc8fc9c-5frj9         1m     81Mi    
currencyservice-7c8fc8fc9c-mgwx9         83m    123Mi   
emailservice-66944ff59-2lcjl             11m    95Mi    
frontend-7bd6f45654-przgb                101m   36Mi    
frontend-7bd6f45654-s2s7z                92m    54Mi    
frontend-7bd6f45654-vfxkp                121m   36Mi    
paymentservice-9bfb7bf5-kgd56            8m     114Mi   
productcatalogservice-65bbf699df-j2fmg   113m   44Mi    
recommendationservice-7444754ff5-n8cbh   196m   59Mi    
redis-cart-c8ff86559-kcf44               8m     37Mi    
shippingservice-f956b6d9f-w7n4b          19m    35Mi    
