NAME                                     CPU(cores)   MEMORY(bytes)   
adservice-6b57f598-p6vkh                 206m         139Mi           
cartservice-5c9cb955f-9lj5d              86m          60Mi            
paymentservice-8496df49b8-tl6pp          64m          45Mi            
recommendationservice-7d7f9f7777-t9jvv   52m          57Mi            
cartservice-5c9cb955f-4dbt9              42m          80Mi            
frontend-56d4848657-nmdlk                29m          23Mi            
currencyservice-85c6cd6dbb-8pc2d         7m           49Mi            
paymentservice-8496df49b8-lktgk          7m           46Mi            
currencyservice-85c6cd6dbb-t74rc         7m           49Mi            
envoy-grpc-lb-648f879c96-mjscl           6m           25Mi            
shippingservice-68d7cfb5f8-lxf2h         5m           21Mi            
shippingservice-68d7cfb5f8-mtt26         5m           17Mi            
emailservice-58fdf4955b-lx9n2            3m           59Mi            
emailservice-58fdf4955b-t69q8            3m           59Mi            
recommendationservice-7d7f9f7777-5lpf2   3m           57Mi            
adservice-6b57f598-9456d                 3m           170Mi           
recommendationservice-7d7f9f7777-s2tp8   3m           57Mi            
redis-cart-c8ff86559-stdzn               2m           10Mi            
emailservice-58fdf4955b-q25zn            2m           59Mi            
frontend-56d4848657-sng5f                2m           23Mi            
cartservice-5c9cb955f-rt5kp              2m           127Mi           
adservice-6b57f598-rrz8r                 2m           139Mi           
frontend-56d4848657-kdp2g                1m           24Mi            
productcatalogservice-5f85bf894b-d9xgg   1m           18Mi            
productcatalogservice-5f85bf894b-gdkbb   1m           22Mi            
productcatalogservice-5f85bf894b-blwzq   1m           21Mi            
paymentservice-8496df49b8-2fqnb          1m           50Mi            
currencyservice-85c6cd6dbb-kfvch         1m           55Mi            
checkoutservice-6f4dbd65bf-svwng         1m           22Mi            
checkoutservice-6f4dbd65bf-kmlms         1m           22Mi            
checkoutservice-6f4dbd65bf-dgbw9         1m           22Mi            
shippingservice-68d7cfb5f8-x26bd         1m           18Mi            
