Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777997000,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777997001,2,,Aggregated,0.000000,0.000000,26,27,36,41,47,47,47,47,47,47,47,10,0,24,26.01030400000002,13.358042000000015,47.32841600000004,9824.9
1777997002,4,,Aggregated,0.000000,0.000000,21,25,27,36,41,46,47,47,47,47,47,25,0,21,24.143154919999994,10.670541999999728,47.32841600000004,9997.28
1777997003,6,,Aggregated,9.000000,0.000000,18,20,24,26,36,41,47,47,47,47,47,46,0,18,20.53504708695652,10.55325000000007,47.32841600000004,10133.521739130434
1777997004,8,,Aggregated,10.500000,0.000000,16,19,22,24,28,38,46,47,47,47,47,75,0,16,18.770040573333336,9.818624999999859,47.32841600000004,10270.666666666666
1777997005,10,,Aggregated,14.000000,0.000000,15,17,19,20,26,34,41,46,47,47,47,111,0,15,16.993350207207214,8.730667000000025,47.32841600000004,10491.054054054053
1777997006,12,,Aggregated,18.250000,0.000000,14,16,17,18,23,27,38,46,47,47,47,165,0,14,15.395261848484868,7.382500000000292,47.32841600000004,10789.89090909091
1777997007,14,,Aggregated,21.600000,0.000000,13,15,17,18,21,26,36,41,47,47,47,220,0,13,14.68784297727274,7.382500000000292,47.32841600000004,10765.795454545454
1777997008,16,,Aggregated,26.500000,0.000000,13,15,16,17,20,24,34,41,47,47,47,283,0,13,14.253918265017672,7.382500000000292,47.32841600000004,10840.042402826855
1777997009,18,,Aggregated,30.142857,0.000000,13,15,16,17,19,24,29,38,47,47,47,352,0,13,13.960956167613638,7.234457999999222,47.32841600000004,10802.832386363636
1777997010,20,,Aggregated,34.500000,0.000000,13,15,16,17,19,23,28,36,47,47,47,427,0,13,13.534205175644026,7.097791999999714,47.32841600000004,10701.231850117096
1777997011,22,,Aggregated,38.000000,0.000000,12,14,16,16,18,21,27,34,47,47,47,511,0,12,13.224334450097839,7.097791999999714,47.32841600000004,10595.438356164384
1777997012,24,,Aggregated,41.600000,0.000000,12,14,15,16,18,20,26,34,47,47,47,598,0,12,13.009457403010027,7.097791999999714,47.32841600000004,10570.764214046823
1777997013,26,,Aggregated,49.200000,0.000000,12,14,15,16,18,20,26,30,47,47,47,696,0,12,12.824503987068965,6.823250000000058,47.32841600000004,10554.05459770115
1777997014,28,,Aggregated,56.700000,0.000000,12,14,15,16,18,20,25,29,47,47,47,796,0,12,12.848603575376893,6.823250000000058,47.32841600000004,10746.7675879397
1777997015,30,,Aggregated,64.100000,0.000000,12,14,15,16,18,20,23,27,47,47,47,906,0,12,12.751040179911696,6.810874999999328,47.32841600000004,10715.631346578366
1777997016,32,,Aggregated,70.800000,0.000000,12,14,15,16,18,20,26,31,47,51,51,1033,0,12,12.823377892545958,6.810874999999328,51.322209000000285,10686.898354307841
1777997017,34,,Aggregated,78.100000,0.000000,12,14,15,16,18,20,25,31,47,51,51,1159,0,12,12.895043379637576,6.810874999999328,51.322209000000285,10725.519413287317
1777997018,36,,Aggregated,85.600000,0.000000,12,14,15,16,18,20,25,31,47,51,51,1297,0,12,12.892991606013833,6.810874999999328,51.322209000000285,10701.224363916732
1777997019,38,,Aggregated,93.200000,0.000000,12,14,15,16,18,20,26,34,65,82,82,1436,0,12,12.970520158077967,6.810874999999328,82.11324999999903,10746.570334261838
1777997020,40,,Aggregated,99.800000,0.000000,12,14,15,16,19,22,29,36,74,82,82,1578,0,12,13.246212573510757,6.810874999999328,82.11324999999903,10718.404309252219
1777997021,42,,Aggregated,106.800000,0.000000,12,14,16,17,19,23,35,46,82,88,88,1733,0,12,13.660010115406799,6.7893750000003195,88.44220800000002,10694.860357761108
1777997022,44,,Aggregated,114.200000,0.000000,12,14,16,17,20,26,40,56,83,88,88,1904,0,12,14.084656962184852,6.7893750000003195,88.44220800000002,10718.263655462184
1777997023,46,,Aggregated,120.400000,0.000000,12,14,16,17,21,28,42,58,82,88,88,2073,0,12,14.300549717317859,6.7893750000003195,88.44220800000002,10730.59671972986
1777997024,48,,Aggregated,128.500000,0.000000,12,15,17,18,23,36,57,69,130,150,150,2241,0,12,15.586289928157028,6.7893750000003195,149.5458749999976,10738.270414993307
1777997025,50,,Aggregated,136.700000,0.000000,12,15,17,18,25,39,58,74,130,150,150,2415,0,12,16.040756356521683,6.7893750000003195,149.5458749999976,10766.15569358178
1777997026,52,,Aggregated,143.000000,0.000000,13,15,17,19,27,42,60,74,130,150,150,2599,0,13,16.520097704501683,6.7893750000003195,149.5458749999976,10734.300884955752
1777997027,54,,Aggregated,149.600000,0.000000,13,16,18,19,31,47,69,83,150,170,170,2791,0,13,17.438558350053714,6.7893750000003195,167.2501670000024,10698.945180938732
1777997028,56,,Aggregated,155.100000,0.000000,13,16,19,21,37,56,80,100,170,180,180,2980,0,13,19.07304355973152,6.7893750000003195,184.92270799999844,10686.772818791946
1777997029,58,,Aggregated,161.300000,0.000000,13,17,19,22,39,58,84,100,160,180,180,3178,0,13,19.662984677470092,6.7893750000003195,184.92270799999844,10645.190685966016
1777997030,60,,Aggregated,167.200000,0.000000,13,17,20,24,42,62,88,110,170,180,180,3378,0,13,20.56494214268797,6.7893750000003195,184.92270799999844,10638.68857312019
1777997031,62,,Aggregated,173.500000,0.000000,14,18,22,28,49,69,98,120,180,190,190,3586,0,14,22.261727090072494,6.7893750000003195,190.21933299999816,10634.033742331289
1777997032,64,,Aggregated,178.900000,0.000000,14,18,24,31,54,76,100,130,180,230,230,3778,0,14,23.702473426416063,6.7893750000003195,228.637041999999,10641.32874536792
1777997033,66,,Aggregated,183.700000,0.000000,15,19,27,34,59,84,110,140,190,240,240,3978,0,15,25.295079044997482,6.7893750000003195,239.8296249999987,10664.021367521367
1777997034,68,,Aggregated,186.600000,0.000000,15,20,29,38,64,90,120,140,230,250,250,4190,0,15,26.971188279713587,6.7893750000003195,247.48070799999766,10638.796658711217
1777997035,70,,Aggregated,189.300000,0.000000,16,22,32,41,68,96,130,150,240,310,310,4393,0,16,28.218060593444093,6.7893750000003195,311.03508300000016,10641.815843387207
1777997036,72,,Aggregated,193.400000,0.000000,16,23,35,45,72,99,130,160,240,310,310,4606,0,16,29.833543370169295,6.7893750000003195,311.03508300000016,10649.341076856275
1777997037,74,,Aggregated,197.000000,0.000000,16,25,38,48,77,100,140,170,520,650,650,4818,0,16,32.280756209422876,6.7893750000003195,646.1695829999953,10657.469696969696
1777997038,76,,Aggregated,199.900000,0.000000,17,28,43,53,84,110,160,190,510,650,650,5028,0,17,34.90619118675409,6.7893750000003195,646.1695829999953,10663.063643595864
1777997039,78,,Aggregated,202.200000,0.000000,18,31,47,57,89,120,160,200,510,650,650,5253,0,18,36.69794315933742,6.7893750000003195,646.1695829999953,10657.612411955073
1777997040,80,,Aggregated,204.200000,0.000000,18,34,50,61,95,130,170,200,510,650,650,5473,0,18,38.85283156130085,6.7893750000003195,646.1695829999953,10672.573360131555
1777997041,82,,Aggregated,206.400000,0.000000,19,37,55,67,100,140,180,230,510,650,650,5687,0,19,41.641732110778904,6.7893750000003195,646.1695829999953,10667.319324775804
1777997042,84,,Aggregated,208.200000,0.000000,20,40,59,73,110,150,200,240,510,650,650,5917,0,20,44.18606128713866,6.7893750000003195,646.1695829999953,10660.754605374344
1777997043,86,,Aggregated,209.900000,0.000000,21,43,63,77,110,160,200,240,510,650,650,6139,0,21,46.36936892620945,6.7893750000003195,646.1695829999953,10652.221371558886
1777997044,88,,Aggregated,212.800000,0.000000,23,48,67,81,120,160,220,260,510,650,650,6366,0,23,48.65180395287464,6.7893750000003195,646.1695829999953,10648.251335218347
1777997045,90,,Aggregated,214.800000,0.000000,24,50,72,85,130,170,220,270,510,650,650,6593,0,24,50.85556058410441,6.7893750000003195,646.1695829999953,10637.400576368877
1777997046,92,,Aggregated,217.100000,0.000000,26,53,74,88,130,170,230,270,770,1200,1200,6804,0,26,53.39090027013526,6.7893750000003195,1178.0167080000012,10627.754409171075
1777997047,94,,Aggregated,218.000000,0.000000,27,56,78,92,140,180,240,280,760,1200,1200,7035,0,27,55.665954112722126,6.7893750000003195,1178.0167080000012,10639.915707178394
1777997048,96,,Aggregated,219.300000,0.000000,30,60,82,97,140,190,260,300,760,1200,1200,7268,0,30,58.74771168767205,6.7893750000003195,1178.0167080000012,10632.987479361585
1777997049,98,,Aggregated,221.000000,0.000000,32,64,87,100,150,200,260,300,760,1200,1200,7497,0,32,61.13332858730163,6.7893750000003195,1178.0167080000012,10639.697879151661
1777997050,100,,Aggregated,221.600000,0.000000,34,67,90,110,160,200,270,320,760,1200,1200,7725,0,34,63.837397470550215,6.7893750000003195,1178.0167080000012,10636.379676375405
1777997051,102,,Aggregated,223.500000,0.000000,36,71,95,110,160,210,280,340,840,1200,1200,7946,0,36,66.95910224817524,6.7893750000003195,1178.0167080000012,10647.480996727914
1777997052,104,,Aggregated,224.200000,0.000000,38,74,98,110,170,220,280,340,770,1200,1200,8168,0,38,69.2113614723312,6.7893750000003195,1178.0167080000012,10657.10847208619
1777997053,106,,Aggregated,224.600000,0.000000,40,77,100,120,170,230,300,380,930,1200,1200,8397,0,40,72.84257804894615,6.7893750000003195,1178.0167080000012,10650.38370846731
1777997054,108,,Aggregated,224.300000,0.000000,43,80,110,120,180,230,300,380,930,1200,1200,8651,0,43,74.92875788937698,6.7893750000003195,1178.0167080000012,10652.470928216391
1777997055,110,,Aggregated,225.300000,0.000000,46,84,110,130,180,240,310,380,930,1200,1200,8895,0,46,76.88777948296796,6.7893750000003195,1178.0167080000012,10648.279820123666
1777997056,112,,Aggregated,227.200000,0.000000,49,88,110,130,190,240,310,380,900,1200,1200,9147,0,49,79.27174953197766,6.7893750000003195,1178.0167080000012,10658.926861265989
1777997057,114,,Aggregated,229.900000,0.000000,50,91,120,140,190,250,320,390,900,1200,1200,9408,0,50,81.30544060491067,6.7893750000003195,1178.0167080000012,10653.998511904761
1777997058,116,,Aggregated,232.600000,0.000000,53,94,120,140,190,250,330,400,900,1200,1200,9663,0,53,83.55216313484426,6.7893750000003195,1178.0167080000012,10651.912656524888
1777997059,118,,Aggregated,235.500000,0.000000,56,97,120,140,200,260,330,400,900,1200,1200,9921,0,56,85.49547382179212,6.7893750000003195,1178.0167080000012,10645.915028726942
1777997060,120,,Aggregated,239.500000,0.000000,58,99,130,150,200,260,340,410,890,1200,1200,10192,0,58,87.43532727855181,6.7893750000003195,1178.0167080000012,10635.084576138148
1777997061,122,,Aggregated,241.200000,0.000000,61,100,130,150,200,270,340,420,890,1200,1200,10459,0,61,89.88267832297552,6.7893750000003195,1178.0167080000012,10644.320680753419
1777997062,124,,Aggregated,246.000000,0.000000,64,100,130,150,210,270,350,420,890,1200,1200,10713,0,64,92.04306538812669,6.7893750000003195,1178.0167080000012,10648.12750863437
1777997063,126,,Aggregated,249.600000,0.000000,66,110,140,160,220,280,350,430,900,1200,1200,10980,0,66,94.16582114863402,6.7893750000003195,1178.0167080000012,10642.04918032787
1777997064,128,,Aggregated,253.700000,0.000000,68,110,140,160,220,280,370,450,1000,1200,1200,11226,0,68,97.1161315327812,6.7893750000003195,1235.4058330000016,10635.547479066452
1777997065,130,,Aggregated,256.600000,0.000000,71,110,140,160,230,290,370,450,1000,1200,1200,11489,0,71,99.63375191539748,6.7893750000003195,1235.4058330000016,10637.869440334232
1777997066,132,,Aggregated,257.800000,0.000000,74,120,150,170,230,290,380,460,1000,1200,1200,11743,0,74,101.75202879817793,6.7893750000003195,1235.4058330000016,10641.542110193306
1777997067,134,,Aggregated,258.600000,0.000000,77,120,150,170,240,300,390,520,1000,1200,1200,12008,0,77,105.24865957811492,6.7893750000003195,1235.4058330000016,10644.461109260494
1777997068,136,,Aggregated,259.700000,0.000000,79,120,150,170,240,310,410,530,1000,1200,1200,12250,0,79,107.51606332930645,6.7893750000003195,1235.4058330000016,10645.637795918366
1777997069,138,,Aggregated,259.200000,0.000000,82,130,160,180,250,320,420,540,1000,1200,1200,12535,0,82,110.32371406079008,6.7893750000003195,1235.4058330000016,10644.02050259274
1777997070,140,,Aggregated,259.300000,0.000000,84,130,160,180,250,320,420,540,1000,1200,1200,12813,0,84,112.7192237012414,6.7893750000003195,1235.4058330000016,10635.988371185515
1777997071,142,,Aggregated,260.600000,0.000000,87,130,160,180,260,330,440,570,1000,1200,1200,13064,0,87,115.10023242552094,6.7893750000003195,1235.4058330000016,10629.851270667483
1777997072,144,,Aggregated,260.500000,0.000000,90,130,170,190,260,330,440,580,1100,1200,1500,13346,0,90,117.49940572913285,6.7893750000003195,1465.5331250000074,10633.39435036715
1777997073,146,,Aggregated,260.200000,0.000000,92,140,170,190,270,340,450,600,1100,1200,1500,13610,0,92,120.25423564004471,6.7893750000003195,1465.5331250000074,10630.164144011756
1777997074,148,,Aggregated,262.300000,0.000000,95,140,170,190,270,340,460,600,1100,1200,1500,13892,0,95,122.67683888137111,6.7893750000003195,1465.5331250000074,10629.15764468759
1777997075,150,,Aggregated,263.000000,0.000000,97,140,180,200,280,350,470,600,1100,1200,1500,14156,0,97,125.04486318734153,6.7893750000003195,1465.5331250000074,10626.874046340774
1777997076,150,,Aggregated,264.100000,0.000000,99,150,180,200,280,360,480,610,1100,1200,1500,14424,0,99,127.77840669731034,6.7893750000003195,1465.5331250000074,10634.722268441486
1777997077,150,,Aggregated,266.900000,0.000000,100,150,180,200,290,360,490,610,1100,1200,1500,14699,0,100.0,130.02983712830826,6.7893750000003195,1465.5331250000074,10646.31437512756
1777997078,150,,Aggregated,267.100000,0.000000,100,150,190,210,290,370,500,650,1100,1300,1500,14949,0,100.0,133.0876409170517,6.7893750000003195,1465.5331250000074,10645.336009097598
1777997079,150,,Aggregated,268.800000,0.000000,100,150,190,210,290,380,510,650,1100,1300,1500,15237,0,100.0,135.286534564219,6.7893750000003195,1465.5331250000074,10644.323423246045
1777997080,150,,Aggregated,267.700000,0.000000,110,160,190,220,300,380,520,650,1100,1300,1500,15501,0,110.0,137.48657597245366,6.7893750000003195,1465.5331250000074,10647.674150054836
1777997081,150,,Aggregated,268.300000,0.000000,110,160,190,220,300,390,520,650,1100,1300,1500,15765,0,110.0,139.68512319701875,6.7893750000003195,1465.5331250000074,10645.677132889312
1777997082,150,,Aggregated,267.400000,0.000000,110,160,200,220,300,390,530,650,1100,1300,1500,16041,0,110.0,141.6026278725143,6.7893750000003195,1465.5331250000074,10653.763044697962
1777997083,150,,Aggregated,269.300000,0.000000,110,160,200,230,310,400,530,650,1100,1300,1500,16313,0,110.0,143.50105605952294,6.7893750000003195,1465.5331250000074,10655.815545883652
1777997084,150,,Aggregated,269.100000,0.000000,120,170,200,230,310,400,530,650,1100,1300,1500,16587,0,120.0,145.37719821782127,6.7893750000003195,1465.5331250000074,10648.288720081991
1777997085,150,,Aggregated,268.700000,0.000000,120,170,200,230,320,400,530,650,1100,1300,1500,16871,0,120.0,147.04807196846687,6.7893750000003195,1465.5331250000074,10647.828166676545
1777997086,150,,Aggregated,269.500000,0.000000,120,170,210,240,320,410,540,660,1100,1300,1500,17125,0,120.0,148.8041716211976,6.7893750000003195,1465.5331250000074,10645.252262773723
1777997087,150,,Aggregated,269.600000,0.000000,120,170,210,240,320,410,550,660,1100,1300,1500,17403,0,120.0,150.73408789231786,6.7893750000003195,1465.5331250000074,10644.20031029133
1777997088,150,,Aggregated,268.700000,0.000000,120,180,210,240,330,420,550,660,1100,1300,1500,17663,0,120.0,152.47854183162588,6.7893750000003195,1465.5331250000074,10644.690652776992
1777997089,150,,Aggregated,268.500000,0.000000,120,180,210,240,330,420,550,660,1100,1300,1500,17931,0,120.0,154.25040641676472,6.7893750000003195,1465.5331250000074,10649.949584518432
1777997090,150,,Aggregated,271.000000,0.000000,130,180,220,250,330,420,550,660,1100,1300,1500,18200,0,130.0,155.9776316189016,6.7893750000003195,1465.5331250000074,10652.310989010988
1777997091,150,,Aggregated,269.800000,0.000000,130,180,220,250,340,430,550,660,1100,1300,1500,18471,0,130.0,157.38536806572515,6.7893750000003195,1465.5331250000074,10652.193330084998
1777997092,150,,Aggregated,269.800000,0.000000,130,180,220,250,340,430,560,660,1100,1300,1500,18748,0,130.0,158.855241323395,6.7893750000003195,1465.5331250000074,10655.096276936207
1777997093,150,,Aggregated,270.500000,0.000000,130,190,220,250,340,430,560,660,1100,1300,1500,19023,0,130.0,160.19894124643903,6.7893750000003195,1465.5331250000074,10654.24890921516
1777997094,150,,Aggregated,269.000000,0.000000,130,190,220,260,340,430,560,660,1100,1300,1500,19309,0,130.0,161.54077103967109,6.7893750000003195,1465.5331250000074,10653.824744937594
1777997095,150,,Aggregated,270.600000,0.000000,140,190,230,260,340,430,550,650,1100,1300,1500,19590,0,130.0,162.63796253205754,6.7893750000003195,1465.5331250000074,10652.543644716692
1777997096,150,,Aggregated,270.500000,0.000000,140,190,230,260,350,430,550,650,1100,1300,1500,19850,0,140.0,163.74948114493728,6.7893750000003195,1465.5331250000074,10651.583677581864
1777997097,150,,Aggregated,269.600000,0.000000,140,190,230,260,350,440,560,660,1100,1300,1500,20117,0,140.0,165.2689094105981,6.7893750000003195,1465.5331250000074,10654.662921906845
1777997098,150,,Aggregated,272.600000,0.000000,140,190,230,260,350,440,560,660,1100,1300,1500,20382,0,140.0,166.75322433524687,6.7893750000003195,1465.5331250000074,10659.637817682269
1777997099,150,,Aggregated,272.200000,0.000000,140,190,230,260,350,440,560,660,1100,1300,1500,20662,0,140.0,167.82286723947348,6.7893750000003195,1465.5331250000074,10657.01742328913
1777997100,150,,Aggregated,270.100000,0.000000,140,200,240,270,360,440,560,660,1100,1300,1500,20916,0,140.0,169.08144030598584,6.7893750000003195,1465.5331250000074,10661.288439472175
1777997101,150,,Aggregated,273.300000,0.000000,140,200,240,270,360,450,560,660,1100,1300,1500,21203,0,140.0,170.17018145951064,6.7893750000003195,1465.5331250000074,10659.709192095459
1777997102,150,,Aggregated,271.800000,0.000000,150,200,240,270,360,450,560,650,1100,1300,1500,21483,0,150.0,171.13621644342058,6.7893750000003195,1465.5331250000074,10663.289810547874
1777997103,150,,Aggregated,272.000000,0.000000,150,200,240,270,360,450,560,660,1100,1300,1500,21750,0,150.0,172.34150272101158,6.7893750000003195,1465.5331250000074,10662.065931034484
1777997104,150,,Aggregated,273.800000,0.000000,150,200,240,270,360,450,560,660,1100,1300,1500,22035,0,150.0,173.22309807760416,6.7893750000003195,1465.5331250000074,10661.033401406852
1777997105,150,,Aggregated,271.600000,0.000000,150,200,240,270,360,450,570,660,1100,1300,1500,22292,0,150.0,174.21449323802298,6.7893750000003195,1465.5331250000074,10664.694957832406
1777997106,150,,Aggregated,272.500000,0.000000,150,200,240,270,360,450,570,660,1100,1300,1500,22580,0,150.0,175.06916893007133,6.7893750000003195,1465.5331250000074,10665.658680248007
1777997107,150,,Aggregated,271.700000,0.000000,150,200,240,270,370,450,570,660,1100,1300,1500,22849,0,150.0,176.18070976353496,6.7893750000003195,1465.5331250000074,10665.811326535078
1777997108,150,,Aggregated,272.200000,0.000000,150,200,240,270,370,450,570,660,1100,1300,1500,23106,0,150.0,177.03429341067317,6.7893750000003195,1465.5331250000074,10671.13520297758
1777997109,150,,Aggregated,270.900000,0.000000,150,200,250,280,370,460,570,660,1100,1300,1500,23396,0,150.0,178.02263738083477,6.7893750000003195,1465.5331250000074,10671.647803043255
1777997110,150,,Aggregated,274.200000,0.000000,150,200,250,280,370,460,570,660,1100,1300,1500,23644,0,150.0,178.8871405043143,6.7893750000003195,1465.5331250000074,10672.268863136525
1777997111,150,,Aggregated,270.800000,0.000000,150,210,250,280,370,460,570,660,1100,1300,1500,23922,0,150.0,179.98255319020203,6.7893750000003195,1465.5331250000074,10674.72092634395
1777997112,150,,Aggregated,273.000000,0.000000,160,210,250,280,370,460,570,660,1100,1300,1500,24196,0,160.0,181.01883105550547,6.7893750000003195,1465.5331250000074,10676.591296081997
1777997113,150,,Aggregated,271.800000,0.000000,160,210,250,280,370,460,570,660,1100,1300,1500,24463,0,160.0,181.99609146351662,6.7893750000003195,1465.5331250000074,10681.741160119363
1777997114,150,,Aggregated,270.400000,0.000000,160,210,250,280,380,460,570,660,1100,1300,1500,24732,0,160.0,182.81986185621895,6.7893750000003195,1465.5331250000074,10685.622796377163
1777997115,150,,Aggregated,270.500000,0.000000,160,210,250,280,380,460,570,660,1100,1300,1500,24990,0,160.0,183.65421722228928,6.7893750000003195,1465.5331250000074,10684.538775510204
