adservice-6b57f598-9456d                 32m    240Mi   
adservice-6b57f598-p6vkh                 34m    239Mi   
adservice-6b57f598-rrz8r                 41m    234Mi   
cartservice-5c9cb955f-4dbt9              31m    127Mi   
cartservice-5c9cb955f-9lj5d              36m    126Mi   
cartservice-5c9cb955f-rt5kp              36m    136Mi   
checkoutservice-6f4dbd65bf-dgbw9         7m     24Mi    
checkoutservice-6f4dbd65bf-kmlms         6m     24Mi    
checkoutservice-6f4dbd65bf-svwng         4m     24Mi    
currencyservice-85c6cd6dbb-8pc2d         97m    66Mi    
currencyservice-85c6cd6dbb-kfvch         98m    75Mi    
currencyservice-85c6cd6dbb-t74rc         94m    66Mi    
emailservice-58fdf4955b-lx9n2            3m     59Mi    
emailservice-58fdf4955b-q25zn            3m     59Mi    
emailservice-58fdf4955b-t69q8            3m     59Mi    
envoy-grpc-lb-648f879c96-mjscl           190m   34Mi    
frontend-56d4848657-kdp2g                56m    31Mi    
frontend-56d4848657-nmdlk                119m   34Mi    
frontend-56d4848657-sng5f                66m    32Mi    
paymentservice-8496df49b8-2fqnb          4m     52Mi    
paymentservice-8496df49b8-lktgk          3m     49Mi    
paymentservice-8496df49b8-tl6pp          3m     49Mi    
productcatalogservice-5f85bf894b-blwzq   44m    23Mi    
productcatalogservice-5f85bf894b-d9xgg   43m    22Mi    
productcatalogservice-5f85bf894b-gdkbb   42m    24Mi    
recommendationservice-7d7f9f7777-5lpf2   35m    58Mi    
recommendationservice-7d7f9f7777-s2tp8   37m    58Mi    
recommendationservice-7d7f9f7777-t9jvv   37m    58Mi    
redis-cart-c8ff86559-stdzn               7m     11Mi    
shippingservice-68d7cfb5f8-lxf2h         5m     23Mi    
shippingservice-68d7cfb5f8-mtt26         6m     19Mi    
shippingservice-68d7cfb5f8-x26bd         6m     19Mi    
