adservice-574bff445c-grt9z               102m   244Mi   
adservice-574bff445c-h47zv               110m   242Mi   
adservice-574bff445c-wppcl               47m    279Mi   
cartservice-7c84fdfb6-hsn24              101m   146Mi   
cartservice-7c84fdfb6-s4cp2              86m    179Mi   
cartservice-7c84fdfb6-sf94w              84m    144Mi   
checkoutservice-6f4dbd65bf-glltw         21m    18Mi    
checkoutservice-6f4dbd65bf-hkgzd         27m    19Mi    
checkoutservice-6f4dbd65bf-t2t2w         23m    19Mi    
currencyservice-7c8fc8fc9c-dlzht         199m   126Mi   
currencyservice-7c8fc8fc9c-mvsgf         200m   124Mi   
currencyservice-7c8fc8fc9c-wqrfs         199m   113Mi   
emailservice-66944ff59-478c4             11m    56Mi    
emailservice-66944ff59-4fvm9             11m    94Mi    
emailservice-66944ff59-txwj8             12m    58Mi    
envoy-grpc-lb-648f879c96-zzvgt           500m   36Mi    
frontend-56d4848657-2lw2w                198m   27Mi    
frontend-56d4848657-gf72x                198m   28Mi    
frontend-56d4848657-kc9nb                199m   28Mi    
paymentservice-9bfb7bf5-46sq4            7m     84Mi    
paymentservice-9bfb7bf5-pktv4            9m     75Mi    
paymentservice-9bfb7bf5-snj4k            10m    124Mi   
productcatalogservice-65bbf699df-8zzd2   117m   44Mi    
productcatalogservice-65bbf699df-qmltb   115m   22Mi    
productcatalogservice-65bbf699df-rh24h   119m   22Mi    
recommendationservice-7d7f9f7777-k667k   196m   55Mi    
recommendationservice-7d7f9f7777-k7s2c   194m   55Mi    
recommendationservice-7d7f9f7777-mrxwg   195m   54Mi    
redis-cart-c8ff86559-jrlvk               16m    36Mi    
shippingservice-f956b6d9f-2g46p          15m    31Mi    
shippingservice-f956b6d9f-4kzvq          14m    18Mi    
shippingservice-f956b6d9f-nmnfn          14m    18Mi    
