adservice-574bff445c-grt9z               9m     186Mi   
adservice-574bff445c-h47zv               2m     182Mi   
adservice-574bff445c-wppcl               1m     278Mi   
cartservice-7c84fdfb6-hsn24              3m     134Mi   
cartservice-7c84fdfb6-s4cp2              2m     178Mi   
cartservice-7c84fdfb6-sf94w              2m     139Mi   
checkoutservice-6f4dbd65bf-glltw         4m     12Mi    
checkoutservice-6f4dbd65bf-hkgzd         16m    11Mi    
checkoutservice-6f4dbd65bf-t2t2w         1m     12Mi    
currencyservice-7c8fc8fc9c-dlzht         3m     122Mi   
currencyservice-7c8fc8fc9c-mvsgf         1m     100Mi   
currencyservice-7c8fc8fc9c-wqrfs         5m     87Mi    
emailservice-66944ff59-478c4             3m     56Mi    
emailservice-66944ff59-4fvm9             3m     94Mi    
emailservice-66944ff59-txwj8             3m     58Mi    
envoy-grpc-lb-648f879c96-zzvgt           5m     23Mi    
frontend-56d4848657-2lw2w                2m     12Mi    
frontend-56d4848657-kc9nb                19m    14Mi    
paymentservice-9bfb7bf5-46sq4            2m     81Mi    
paymentservice-9bfb7bf5-pktv4            1m     71Mi    
paymentservice-9bfb7bf5-snj4k            1m     123Mi   
productcatalogservice-65bbf699df-8zzd2   1m     43Mi    
productcatalogservice-65bbf699df-qmltb   1m     19Mi    
productcatalogservice-65bbf699df-rh24h   1m     22Mi    
recommendationservice-7444754ff5-hsxb8   3m     51Mi    
recommendationservice-7d7f9f7777-k667k   153m   51Mi    
recommendationservice-7d7f9f7777-k7s2c   10m    51Mi    
redis-cart-c8ff86559-jrlvk               2m     36Mi    
shippingservice-f956b6d9f-2g46p          1m     31Mi    
shippingservice-f956b6d9f-4kzvq          1m     18Mi    
shippingservice-f956b6d9f-nmnfn          1m     18Mi    
