adservice-574bff445c-grt9z               72m    245Mi   
adservice-574bff445c-h47zv               89m    244Mi   
adservice-574bff445c-wppcl               55m    279Mi   
cartservice-7c84fdfb6-hsn24              90m    147Mi   
cartservice-7c84fdfb6-s4cp2              107m   179Mi   
cartservice-7c84fdfb6-sf94w              94m    148Mi   
checkoutservice-6f4dbd65bf-glltw         28m    21Mi    
checkoutservice-6f4dbd65bf-hkgzd         30m    19Mi    
checkoutservice-6f4dbd65bf-t2t2w         27m    21Mi    
currencyservice-7c8fc8fc9c-dlzht         199m   93Mi    
currencyservice-7c8fc8fc9c-mvsgf         199m   126Mi   
currencyservice-7c8fc8fc9c-wqrfs         199m   119Mi   
emailservice-66944ff59-478c4             15m    56Mi    
emailservice-66944ff59-4fvm9             12m    94Mi    
emailservice-66944ff59-txwj8             13m    58Mi    
envoy-grpc-lb-648f879c96-zzvgt           501m   40Mi    
frontend-56d4848657-2lw2w                199m   33Mi    
frontend-56d4848657-gf72x                199m   35Mi    
frontend-56d4848657-kc9nb                199m   34Mi    
paymentservice-9bfb7bf5-46sq4            8m     85Mi    
paymentservice-9bfb7bf5-pktv4            10m    76Mi    
paymentservice-9bfb7bf5-snj4k            9m     111Mi   
productcatalogservice-65bbf699df-8zzd2   117m   44Mi    
productcatalogservice-65bbf699df-qmltb   113m   22Mi    
productcatalogservice-65bbf699df-rh24h   115m   23Mi    
recommendationservice-7d7f9f7777-k667k   200m   55Mi    
recommendationservice-7d7f9f7777-k7s2c   200m   55Mi    
recommendationservice-7d7f9f7777-mrxwg   200m   55Mi    
redis-cart-c8ff86559-jrlvk               18m    36Mi    
shippingservice-f956b6d9f-2g46p          17m    31Mi    
shippingservice-f956b6d9f-4kzvq          16m    18Mi    
shippingservice-f956b6d9f-nmnfn          17m    18Mi    
