NAME                                     READY   STATUS    RESTARTS      AGE   IP           NODE             NOMINATED NODE   READINESS GATES
adservice-574bff445c-grt9z               1/1     Running   0             58m   10.1.2.14    docker-desktop   <none>           <none>
adservice-574bff445c-h47zv               1/1     Running   0             58m   10.1.2.15    docker-desktop   <none>           <none>
adservice-574bff445c-wppcl               1/1     Running   0             60m   10.1.2.3     docker-desktop   <none>           <none>
cartservice-7c84fdfb6-hsn24              1/1     Running   1 (57m ago)   58m   10.1.2.16    docker-desktop   <none>           <none>
cartservice-7c84fdfb6-s4cp2              1/1     Running   0             60m   10.1.2.4     docker-desktop   <none>           <none>
cartservice-7c84fdfb6-sf94w              1/1     Running   0             58m   10.1.2.21    docker-desktop   <none>           <none>
checkoutservice-6f4dbd65bf-glltw         1/1     Running   0             14m   10.1.2.41    docker-desktop   <none>           <none>
checkoutservice-6f4dbd65bf-hkgzd         1/1     Running   0             14m   10.1.2.44    docker-desktop   <none>           <none>
checkoutservice-6f4dbd65bf-t2t2w         1/1     Running   0             14m   10.1.2.39    docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-dlzht         1/1     Running   1 (11m ago)   60m   10.1.2.6     docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-mvsgf         1/1     Running   1 (32m ago)   58m   10.1.2.23    docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-wqrfs         1/1     Running   1 (15m ago)   58m   10.1.2.22    docker-desktop   <none>           <none>
emailservice-66944ff59-478c4             1/1     Running   0             58m   10.1.2.19    docker-desktop   <none>           <none>
emailservice-66944ff59-4fvm9             1/1     Running   0             60m   10.1.2.9     docker-desktop   <none>           <none>
emailservice-66944ff59-txwj8             1/1     Running   0             58m   10.1.2.20    docker-desktop   <none>           <none>
envoy-grpc-lb-648f879c96-pdnt8           1/1     Running   0             10s   10.1.2.51    docker-desktop   <none>           <none>
frontend-56d4848657-2lw2w                1/1     Running   0             14m   10.1.2.38    docker-desktop   <none>           <none>
frontend-56d4848657-gf72x                1/1     Running   0             13m   10.1.2.45    docker-desktop   <none>           <none>
frontend-56d4848657-kc9nb                1/1     Running   0             14m   10.1.2.42    docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-46sq4            1/1     Running   0             58m   10.1.2.27    docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-pktv4            1/1     Running   0             58m   10.1.2.25    docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-snj4k            1/1     Running   0             60m   10.1.2.10    docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-8zzd2   1/1     Running   0             60m   10.1.2.11    docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-qmltb   1/1     Running   0             58m   10.1.2.29    docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-rh24h   1/1     Running   0             58m   10.1.2.28    docker-desktop   <none>           <none>
recommendationservice-7d7f9f7777-k667k   1/1     Running   0             14m   10.1.2.43    docker-desktop   <none>           <none>
recommendationservice-7d7f9f7777-k7s2c   1/1     Running   0             14m   10.1.2.40    docker-desktop   <none>           <none>
recommendationservice-7d7f9f7777-mrxwg   1/1     Running   0             13m   10.1.2.46    docker-desktop   <none>           <none>
redis-cart-c8ff86559-jrlvk               1/1     Running   0             60m   10.1.1.250   docker-desktop   <none>           <none>
shippingservice-f956b6d9f-2g46p          1/1     Running   0             60m   10.1.2.13    docker-desktop   <none>           <none>
shippingservice-f956b6d9f-4kzvq          1/1     Running   0             58m   10.1.2.33    docker-desktop   <none>           <none>
shippingservice-f956b6d9f-nmnfn          1/1     Running   0             58m   10.1.2.32    docker-desktop   <none>           <none>
