Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779355490,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779355491,2,,Aggregated,0.000000,0.000000,22,24,25,25,28,54,54,54,54,54,54,11,0,22,24.4617309090909,14.816958000000046,53.929541999999884,8661.636363636364
1779355492,4,,Aggregated,0.000000,0.000000,21,24,24,25,30,31,54,54,54,54,54,26,0,20,22.217062384615392,14.816958000000046,53.929541999999884,9076.423076923076
1779355493,6,,Aggregated,9.000000,0.000000,20,22,24,25,28,30,31,54,54,54,54,51,0,20,21.104699254901966,13.724958000000065,53.929541999999884,10000.392156862745
1779355494,8,,Aggregated,11.000000,0.000000,20,21,23,24,26,29,31,54,54,54,54,78,0,19,19.976901153846146,11.030499999999499,53.929541999999884,9907.76923076923
1779355495,10,,Aggregated,15.000000,0.000000,20,22,24,25,29,32,40,43,54,54,54,118,0,20,20.50437080508476,11.030499999999499,53.929541999999884,10250.57627118644
1779355496,12,,Aggregated,18.750000,0.000000,18,21,23,24,28,31,39,43,54,54,54,167,5,18,19.613935910179634,2.776542000000326,53.929541999999884,10346.958083832335
1779355497,14,,Aggregated,22.000000,0.000000,18,20,22,23,28,31,38,40,54,54,54,214,37,18,18.135128915887865,2.776542000000326,53.929541999999884,9497.05140186916
1779355498,16,,Aggregated,26.000000,0.000000,17,20,22,23,29,34,43,48,54,54,54,270,74,17,17.65412641481482,2.643167000000446,53.929541999999884,8924.133333333333
1779355499,18,,Aggregated,29.285714,4.428571,17,20,22,24,31,40,80,180,380,380,380,321,87,17,21.710725601246136,2.221291999999764,376.2000830000005,9060.065420560748
1779355500,20,,Aggregated,32.500000,8.375000,17,20,23,25,34,53,150,250,380,380,380,396,87,17,24.121143323232346,2.221291999999764,376.2000830000005,9374.04797979798
1779355501,22,,Aggregated,34.777778,9.666667,18,21,24,25,33,47,100,200,380,380,380,475,87,18,23.59297633263159,2.221291999999764,376.2000830000005,9725.652631578947
1779355502,24,,Aggregated,38.000000,8.700000,18,22,24,25,33,47,100,180,380,380,380,564,87,18,23.5377313280142,2.221291999999764,376.2000830000005,9964.290780141844
1779355503,26,,Aggregated,45.300000,8.700000,18,22,24,27,37,54,100,150,380,380,380,658,87,18,24.24874679179334,2.221291999999764,376.2000830000005,10024.94224924012
1779355504,28,,Aggregated,51.800000,8.700000,19,23,25,28,42,60,100,150,380,380,380,747,87,19,25.339936096385557,2.221291999999764,376.2000830000005,10156.668005354752
1779355505,30,,Aggregated,58.500000,8.700000,19,23,26,29,43,64,100,130,380,380,380,853,87,19,25.626872431418526,2.221291999999764,376.2000830000005,10261.318874560375
1779355506,32,,Aggregated,65.400000,8.700000,20,23,26,30,44,63,96,120,380,380,380,963,87,20,25.762455551401857,2.221291999999764,376.2000830000005,10256.546209761163
1779355507,34,,Aggregated,71.900000,8.700000,20,24,27,31,47,63,96,110,270,380,380,1079,87,20,26.080101550509713,2.221291999999764,376.2000830000005,10296.968489341984
