NAME                                     READY   STATUS        RESTARTS   AGE     IP           NODE             NOMINATED NODE   READINESS GATES
adservice-574bff445c-jlcsd               1/1     Running       0          5m21s   10.1.2.99    docker-desktop   <none>           <none>
adservice-574bff445c-t4fs9               0/1     Running       0          38s     10.1.2.118   docker-desktop   <none>           <none>
adservice-574bff445c-zmjkn               0/1     Running       0          38s     10.1.2.117   docker-desktop   <none>           <none>
cartservice-7c84fdfb6-2zq5m              1/1     Running       0          38s     10.1.2.120   docker-desktop   <none>           <none>
cartservice-7c84fdfb6-9vg9m              1/1     Running       0          38s     10.1.2.119   docker-desktop   <none>           <none>
cartservice-7c84fdfb6-tz7d8              1/1     Running       0          5m21s   10.1.2.103   docker-desktop   <none>           <none>
checkoutservice-6f4dbd65bf-6rst2         1/1     Running       0          38s     10.1.2.121   docker-desktop   <none>           <none>
checkoutservice-6f4dbd65bf-gjtpl         1/1     Running       0          39s     10.1.2.114   docker-desktop   <none>           <none>
checkoutservice-6f4dbd65bf-gzr5s         1/1     Running       0          29s     10.1.2.137   docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-p8hlf         1/1     Running       0          5m20s   10.1.2.101   docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-ss7w5         1/1     Running       0          38s     10.1.2.124   docker-desktop   <none>           <none>
currencyservice-7c8fc8fc9c-vksqd         1/1     Running       0          38s     10.1.2.123   docker-desktop   <none>           <none>
emailservice-66944ff59-924vd             1/1     Running       0          38s     10.1.2.122   docker-desktop   <none>           <none>
emailservice-66944ff59-rspdn             1/1     Running       0          5m20s   10.1.2.102   docker-desktop   <none>           <none>
emailservice-66944ff59-ztv9n             1/1     Running       0          38s     10.1.2.127   docker-desktop   <none>           <none>
envoy-grpc-lb-648f879c96-b7d94           1/1     Running       0          47s     10.1.2.113   docker-desktop   <none>           <none>
frontend-56d4848657-465mj                1/1     Running       0          39s     10.1.2.115   docker-desktop   <none>           <none>
frontend-56d4848657-4s4hv                1/1     Running       0          15s     10.1.2.138   docker-desktop   <none>           <none>
frontend-56d4848657-8z4sk                1/1     Running       0          38s     10.1.2.125   docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-dmwrc            1/1     Running       0          38s     10.1.2.129   docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-mpf2j            1/1     Running       0          38s     10.1.2.128   docker-desktop   <none>           <none>
paymentservice-9bfb7bf5-n8v8z            1/1     Running       0          5m20s   10.1.2.105   docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-hlwh8   1/1     Running       0          37s     10.1.2.133   docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-lw2bl   1/1     Running       0          37s     10.1.2.131   docker-desktop   <none>           <none>
productcatalogservice-65bbf699df-t64z2   1/1     Running       0          5m20s   10.1.2.107   docker-desktop   <none>           <none>
recommendationservice-7444754ff5-nn2jd   1/1     Terminating   0          2m1s    10.1.2.111   docker-desktop   <none>           <none>
recommendationservice-7d7f9f7777-6s2rv   1/1     Running       0          37s     10.1.2.132   docker-desktop   <none>           <none>
recommendationservice-7d7f9f7777-mptll   1/1     Running       0          39s     10.1.2.116   docker-desktop   <none>           <none>
recommendationservice-7d7f9f7777-pdnlv   1/1     Running       0          15s     10.1.2.139   docker-desktop   <none>           <none>
redis-cart-c8ff86559-zwp6z               1/1     Running       0          5m19s   10.1.2.109   docker-desktop   <none>           <none>
shippingservice-f956b6d9f-bw9bp          1/1     Running       0          5m20s   10.1.2.108   docker-desktop   <none>           <none>
shippingservice-f956b6d9f-g9wg4          1/1     Running       0          36s     10.1.2.136   docker-desktop   <none>           <none>
shippingservice-f956b6d9f-hcwkr          1/1     Running       0          37s     10.1.2.135   docker-desktop   <none>           <none>
