NAME                                     CPU(cores)   MEMORY(bytes)   
recommendationservice-7d7f9f7777-pdnlv   158m         51Mi            
adservice-574bff445c-zmjkn               134m         137Mi           
adservice-574bff445c-t4fs9               132m         139Mi           
cartservice-7c84fdfb6-2zq5m              79m          83Mi            
cartservice-7c84fdfb6-9vg9m              75m          83Mi            
cartservice-7c84fdfb6-tz7d8              22m          133Mi           
frontend-56d4848657-4s4hv                19m          13Mi            
emailservice-66944ff59-ztv9n             11m          56Mi            
emailservice-66944ff59-924vd             9m           56Mi            
recommendationservice-7d7f9f7777-6s2rv   7m           51Mi            
envoy-grpc-lb-648f879c96-b7d94           5m           21Mi            
adservice-574bff445c-jlcsd               5m           185Mi           
currencyservice-7c8fc8fc9c-vksqd         3m           63Mi            
currencyservice-7c8fc8fc9c-ss7w5         3m           64Mi            
emailservice-66944ff59-rspdn             3m           56Mi            
recommendationservice-7444754ff5-nn2jd   3m           54Mi            
recommendationservice-7d7f9f7777-mptll   3m           51Mi            
paymentservice-9bfb7bf5-mpf2j            3m           62Mi            
paymentservice-9bfb7bf5-n8v8z            3m           93Mi            
currencyservice-7c8fc8fc9c-p8hlf         2m           82Mi            
redis-cart-c8ff86559-zwp6z               2m           10Mi            
paymentservice-9bfb7bf5-dmwrc            2m           60Mi            
frontend-56d4848657-465mj                1m           14Mi            
productcatalogservice-65bbf699df-lw2bl   1m           16Mi            
productcatalogservice-65bbf699df-t64z2   1m           20Mi            
productcatalogservice-65bbf699df-hlwh8   1m           17Mi            
frontend-56d4848657-8z4sk                1m           11Mi            
checkoutservice-6f4dbd65bf-gzr5s         1m           11Mi            
checkoutservice-6f4dbd65bf-gjtpl         1m           12Mi            
checkoutservice-6f4dbd65bf-6rst2         1m           12Mi            
shippingservice-f956b6d9f-bw9bp          1m           15Mi            
shippingservice-f956b6d9f-g9wg4          1m           12Mi            
shippingservice-f956b6d9f-hcwkr          1m           12Mi            
