adservice-574bff445c-jlcsd               101m   266Mi   
adservice-574bff445c-t4fs9               86m    244Mi   
adservice-574bff445c-zmjkn               108m   238Mi   
cartservice-7c84fdfb6-2zq5m              94m    148Mi   
cartservice-7c84fdfb6-9vg9m              85m    147Mi   
cartservice-7c84fdfb6-tz7d8              93m    138Mi   
checkoutservice-6f4dbd65bf-6rst2         24m    19Mi    
checkoutservice-6f4dbd65bf-gjtpl         20m    19Mi    
checkoutservice-6f4dbd65bf-gzr5s         26m    19Mi    
currencyservice-7c8fc8fc9c-p8hlf         199m   106Mi   
currencyservice-7c8fc8fc9c-ss7w5         200m   91Mi    
currencyservice-7c8fc8fc9c-vksqd         199m   92Mi    
emailservice-66944ff59-924vd             13m    56Mi    
emailservice-66944ff59-rspdn             12m    56Mi    
emailservice-66944ff59-ztv9n             12m    56Mi    
envoy-grpc-lb-648f879c96-b7d94           501m   35Mi    
frontend-56d4848657-465mj                196m   27Mi    
frontend-56d4848657-4s4hv                200m   29Mi    
frontend-56d4848657-8z4sk                199m   27Mi    
paymentservice-9bfb7bf5-dmwrc            11m    71Mi    
paymentservice-9bfb7bf5-mpf2j            13m    71Mi    
paymentservice-9bfb7bf5-n8v8z            10m    98Mi    
productcatalogservice-65bbf699df-hlwh8   107m   22Mi    
productcatalogservice-65bbf699df-lw2bl   109m   19Mi    
productcatalogservice-65bbf699df-t64z2   111m   21Mi    
recommendationservice-7d7f9f7777-6s2rv   188m   55Mi    
recommendationservice-7d7f9f7777-mptll   193m   54Mi    
recommendationservice-7d7f9f7777-pdnlv   188m   55Mi    
redis-cart-c8ff86559-zwp6z               16m    11Mi    
shippingservice-f956b6d9f-bw9bp          14m    16Mi    
shippingservice-f956b6d9f-g9wg4          14m    16Mi    
shippingservice-f956b6d9f-hcwkr          17m    16Mi    
