adservice-574bff445c-jlcsd               61m    270Mi   
adservice-574bff445c-t4fs9               54m    243Mi   
adservice-574bff445c-zmjkn               57m    241Mi   
cartservice-7c84fdfb6-2zq5m              110m   152Mi   
cartservice-7c84fdfb6-9vg9m              98m    155Mi   
cartservice-7c84fdfb6-tz7d8              101m   143Mi   
checkoutservice-6f4dbd65bf-6rst2         33m    21Mi    
checkoutservice-6f4dbd65bf-gjtpl         29m    22Mi    
checkoutservice-6f4dbd65bf-gzr5s         29m    21Mi    
currencyservice-7c8fc8fc9c-p8hlf         199m   124Mi   
currencyservice-7c8fc8fc9c-ss7w5         200m   116Mi   
currencyservice-7c8fc8fc9c-vksqd         201m   116Mi   
emailservice-66944ff59-924vd             13m    56Mi    
emailservice-66944ff59-rspdn             15m    56Mi    
emailservice-66944ff59-ztv9n             15m    56Mi    
envoy-grpc-lb-648f879c96-b7d94           501m   40Mi    
frontend-56d4848657-465mj                198m   36Mi    
frontend-56d4848657-4s4hv                199m   34Mi    
frontend-56d4848657-8z4sk                200m   34Mi    
paymentservice-9bfb7bf5-dmwrc            12m    77Mi    
paymentservice-9bfb7bf5-mpf2j            9m     79Mi    
paymentservice-9bfb7bf5-n8v8z            13m    109Mi   
productcatalogservice-65bbf699df-hlwh8   100m   22Mi    
productcatalogservice-65bbf699df-lw2bl   101m   19Mi    
productcatalogservice-65bbf699df-t64z2   102m   21Mi    
recommendationservice-7d7f9f7777-6s2rv   199m   55Mi    
recommendationservice-7d7f9f7777-mptll   199m   57Mi    
recommendationservice-7d7f9f7777-pdnlv   198m   55Mi    
redis-cart-c8ff86559-zwp6z               19m    11Mi    
shippingservice-f956b6d9f-bw9bp          18m    17Mi    
shippingservice-f956b6d9f-g9wg4          18m    16Mi    
shippingservice-f956b6d9f-hcwkr          18m    16Mi    
