timestamp,load_label,pod,cpu_m,ram_mi
11:05:04,idle,adservice-574bff445c-grt9z,2,246
11:05:04,idle,adservice-574bff445c-h47zv,1,246
11:05:04,idle,adservice-574bff445c-wppcl,1,280
11:05:04,idle,cartservice-7c84fdfb6-hsn24,2,159
11:05:04,idle,cartservice-7c84fdfb6-s4cp2,2,186
11:05:04,idle,cartservice-7c84fdfb6-sf94w,2,157
11:05:04,idle,checkoutservice-6f4dbd65bf-bxrff,1,10
11:05:04,idle,checkoutservice-6f4dbd65bf-clrtg,1,12
11:05:04,idle,checkoutservice-6f4dbd65bf-dgswm,1,10
11:05:04,idle,currencyservice-7c8fc8fc9c-dlzht,2,116
11:05:04,idle,currencyservice-7c8fc8fc9c-mvsgf,2,113
11:05:04,idle,currencyservice-7c8fc8fc9c-wqrfs,1,115
11:05:04,idle,emailservice-66944ff59-478c4,3,57
11:05:04,idle,emailservice-66944ff59-4fvm9,3,94
11:05:04,idle,emailservice-66944ff59-txwj8,3,59
11:05:04,idle,envoy-grpc-lb-648f879c96-6gbd8,6,25
11:05:04,idle,frontend-56d4848657-26n9r,1,9
11:05:04,idle,frontend-56d4848657-pgkv4,7,18
11:05:04,idle,frontend-56d4848657-qmnnw,13,11
11:05:04,idle,paymentservice-9bfb7bf5-46sq4,1,88
11:05:04,idle,paymentservice-9bfb7bf5-pktv4,1,87
11:05:04,idle,paymentservice-9bfb7bf5-snj4k,1,114
11:05:04,idle,productcatalogservice-65bbf699df-8zzd2,1,43
11:05:04,idle,productcatalogservice-65bbf699df-qmltb,1,22
11:05:04,idle,productcatalogservice-65bbf699df-rh24h,1,22
11:05:04,idle,recommendationservice-7444754ff5-9kcf9,3,54
11:05:04,idle,recommendationservice-7d7f9f7777-4fb6r,3,51
11:05:04,idle,recommendationservice-7d7f9f7777-89rpc,3,51
11:05:04,idle,recommendationservice-7d7f9f7777-dbfjw,129,51
11:05:04,idle,redis-cart-c8ff86559-jrlvk,2,37
11:05:04,idle,shippingservice-f956b6d9f-2g46p,1,33
11:05:04,idle,shippingservice-f956b6d9f-4kzvq,1,19
11:05:04,idle,shippingservice-f956b6d9f-nmnfn,1,19
11:05:14,100u,adservice-574bff445c-grt9z,2,246
11:05:14,100u,adservice-574bff445c-h47zv,1,246
11:05:14,100u,adservice-574bff445c-wppcl,1,280
11:05:14,100u,cartservice-7c84fdfb6-hsn24,2,159
11:05:14,100u,cartservice-7c84fdfb6-s4cp2,2,186
11:05:14,100u,cartservice-7c84fdfb6-sf94w,2,157
11:05:14,100u,checkoutservice-6f4dbd65bf-bxrff,1,10
11:05:14,100u,checkoutservice-6f4dbd65bf-clrtg,1,12
11:05:14,100u,checkoutservice-6f4dbd65bf-dgswm,1,10
11:05:14,100u,currencyservice-7c8fc8fc9c-dlzht,2,116
11:05:14,100u,currencyservice-7c8fc8fc9c-mvsgf,2,113
11:05:14,100u,currencyservice-7c8fc8fc9c-wqrfs,1,115
11:05:14,100u,emailservice-66944ff59-478c4,3,57
11:05:14,100u,emailservice-66944ff59-4fvm9,3,94
11:05:14,100u,emailservice-66944ff59-txwj8,3,59
11:05:14,100u,envoy-grpc-lb-648f879c96-6gbd8,6,25
11:05:14,100u,frontend-56d4848657-26n9r,1,9
11:05:14,100u,frontend-56d4848657-pgkv4,7,18
11:05:14,100u,frontend-56d4848657-qmnnw,13,11
11:05:14,100u,paymentservice-9bfb7bf5-46sq4,1,88
11:05:14,100u,paymentservice-9bfb7bf5-pktv4,1,87
11:05:14,100u,paymentservice-9bfb7bf5-snj4k,1,114
11:05:14,100u,productcatalogservice-65bbf699df-8zzd2,1,43
11:05:14,100u,productcatalogservice-65bbf699df-qmltb,1,22
11:05:14,100u,productcatalogservice-65bbf699df-rh24h,1,22
11:05:14,100u,recommendationservice-7d7f9f7777-4fb6r,3,51
11:05:14,100u,recommendationservice-7d7f9f7777-89rpc,3,51
11:05:14,100u,recommendationservice-7d7f9f7777-dbfjw,129,51
11:05:14,100u,redis-cart-c8ff86559-jrlvk,2,37
11:05:14,100u,shippingservice-f956b6d9f-2g46p,1,33
11:05:14,100u,shippingservice-f956b6d9f-4kzvq,1,19
11:05:14,100u,shippingservice-f956b6d9f-nmnfn,1,19
11:05:24,100u,adservice-574bff445c-grt9z,10,246
11:05:24,100u,adservice-574bff445c-h47zv,11,246
11:05:24,100u,adservice-574bff445c-wppcl,11,280
11:05:24,100u,cartservice-7c84fdfb6-hsn24,26,159
11:05:24,100u,cartservice-7c84fdfb6-s4cp2,19,186
11:05:24,100u,cartservice-7c84fdfb6-sf94w,20,157
11:05:24,100u,checkoutservice-6f4dbd65bf-bxrff,9,17
11:05:24,100u,checkoutservice-6f4dbd65bf-clrtg,10,18
11:05:24,100u,checkoutservice-6f4dbd65bf-dgswm,11,17
11:05:24,100u,currencyservice-7c8fc8fc9c-dlzht,53,118
11:05:24,100u,currencyservice-7c8fc8fc9c-mvsgf,53,113
11:05:24,100u,currencyservice-7c8fc8fc9c-wqrfs,47,115
11:05:24,100u,emailservice-66944ff59-478c4,6,57
11:05:24,100u,emailservice-66944ff59-4fvm9,6,94
11:05:24,100u,emailservice-66944ff59-txwj8,5,59
11:05:24,100u,envoy-grpc-lb-648f879c96-6gbd8,148,33
11:05:24,100u,frontend-56d4848657-26n9r,57,18
11:05:24,100u,frontend-56d4848657-pgkv4,61,21
11:05:24,100u,frontend-56d4848657-qmnnw,71,21
11:05:24,100u,paymentservice-9bfb7bf5-46sq4,4,88
11:05:24,100u,paymentservice-9bfb7bf5-pktv4,2,87
11:05:24,100u,paymentservice-9bfb7bf5-snj4k,3,114
11:05:24,100u,productcatalogservice-65bbf699df-8zzd2,29,44
11:05:24,100u,productcatalogservice-65bbf699df-qmltb,29,22
11:05:24,100u,productcatalogservice-65bbf699df-rh24h,29,23
11:05:24,100u,recommendationservice-7d7f9f7777-4fb6r,45,54
11:05:24,100u,recommendationservice-7d7f9f7777-89rpc,45,54
11:05:24,100u,recommendationservice-7d7f9f7777-dbfjw,42,54
11:05:24,100u,redis-cart-c8ff86559-jrlvk,7,37
11:05:24,100u,shippingservice-f956b6d9f-2g46p,4,33
11:05:24,100u,shippingservice-f956b6d9f-4kzvq,4,19
11:05:24,100u,shippingservice-f956b6d9f-nmnfn,3,19
11:05:34,100u,adservice-574bff445c-grt9z,32,246
11:05:34,100u,adservice-574bff445c-h47zv,29,246
11:05:34,100u,adservice-574bff445c-wppcl,30,281
11:05:34,100u,cartservice-7c84fdfb6-hsn24,71,159
11:05:34,100u,cartservice-7c84fdfb6-s4cp2,59,186
11:05:34,100u,cartservice-7c84fdfb6-sf94w,60,157
11:05:34,100u,checkoutservice-6f4dbd65bf-bxrff,14,18
11:05:34,100u,checkoutservice-6f4dbd65bf-clrtg,15,18
11:05:34,100u,checkoutservice-6f4dbd65bf-dgswm,15,18
11:05:34,100u,currencyservice-7c8fc8fc9c-dlzht,164,118
11:05:34,100u,currencyservice-7c8fc8fc9c-mvsgf,159,113
11:05:34,100u,currencyservice-7c8fc8fc9c-wqrfs,155,115
11:05:34,100u,emailservice-66944ff59-478c4,9,57
11:05:34,100u,emailservice-66944ff59-4fvm9,10,94
11:05:34,100u,emailservice-66944ff59-txwj8,8,59
11:05:34,100u,envoy-grpc-lb-648f879c96-6gbd8,440,33
11:05:34,100u,frontend-56d4848657-26n9r,134,19
11:05:34,100u,frontend-56d4848657-pgkv4,194,23
11:05:34,100u,frontend-56d4848657-qmnnw,170,23
11:05:34,100u,paymentservice-9bfb7bf5-46sq4,6,89
11:05:34,100u,paymentservice-9bfb7bf5-pktv4,5,87
11:05:34,100u,paymentservice-9bfb7bf5-snj4k,6,114
11:05:34,100u,productcatalogservice-65bbf699df-8zzd2,90,44
11:05:34,100u,productcatalogservice-65bbf699df-qmltb,92,22
11:05:34,100u,productcatalogservice-65bbf699df-rh24h,91,22
11:05:34,100u,recommendationservice-7d7f9f7777-4fb6r,121,54
11:05:34,100u,recommendationservice-7d7f9f7777-89rpc,124,54
11:05:34,100u,recommendationservice-7d7f9f7777-dbfjw,118,54
11:05:34,100u,redis-cart-c8ff86559-jrlvk,13,37
11:05:34,100u,shippingservice-f956b6d9f-2g46p,11,33
11:05:34,100u,shippingservice-f956b6d9f-4kzvq,10,19
11:05:34,100u,shippingservice-f956b6d9f-nmnfn,10,19
11:05:45,100u,adservice-574bff445c-grt9z,32,246
11:05:45,100u,adservice-574bff445c-h47zv,29,246
11:05:45,100u,adservice-574bff445c-wppcl,30,281
11:05:45,100u,cartservice-7c84fdfb6-hsn24,71,159
11:05:45,100u,cartservice-7c84fdfb6-s4cp2,59,186
11:05:45,100u,cartservice-7c84fdfb6-sf94w,60,157
11:05:45,100u,checkoutservice-6f4dbd65bf-bxrff,14,18
11:05:45,100u,checkoutservice-6f4dbd65bf-clrtg,15,18
11:05:45,100u,checkoutservice-6f4dbd65bf-dgswm,15,18
11:05:45,100u,currencyservice-7c8fc8fc9c-dlzht,164,118
11:05:45,100u,currencyservice-7c8fc8fc9c-mvsgf,159,113
11:05:45,100u,currencyservice-7c8fc8fc9c-wqrfs,155,115
11:05:45,100u,emailservice-66944ff59-478c4,9,57
11:05:45,100u,emailservice-66944ff59-4fvm9,10,94
11:05:45,100u,emailservice-66944ff59-txwj8,8,59
11:05:45,100u,envoy-grpc-lb-648f879c96-6gbd8,440,33
11:05:45,100u,frontend-56d4848657-26n9r,134,19
11:05:45,100u,frontend-56d4848657-pgkv4,194,23
11:05:45,100u,frontend-56d4848657-qmnnw,170,23
11:05:45,100u,paymentservice-9bfb7bf5-46sq4,6,89
11:05:45,100u,paymentservice-9bfb7bf5-pktv4,5,87
11:05:45,100u,paymentservice-9bfb7bf5-snj4k,6,114
11:05:45,100u,productcatalogservice-65bbf699df-8zzd2,90,44
11:05:45,100u,productcatalogservice-65bbf699df-qmltb,92,22
11:05:45,100u,productcatalogservice-65bbf699df-rh24h,91,22
11:05:45,100u,recommendationservice-7d7f9f7777-4fb6r,121,54
11:05:45,100u,recommendationservice-7d7f9f7777-89rpc,124,54
11:05:45,100u,recommendationservice-7d7f9f7777-dbfjw,118,54
11:05:45,100u,redis-cart-c8ff86559-jrlvk,13,37
11:05:45,100u,shippingservice-f956b6d9f-2g46p,11,33
11:05:45,100u,shippingservice-f956b6d9f-4kzvq,10,19
11:05:45,100u,shippingservice-f956b6d9f-nmnfn,10,19
11:05:55,100u,adservice-574bff445c-grt9z,24,246
11:05:55,100u,adservice-574bff445c-h47zv,22,246
11:05:55,100u,adservice-574bff445c-wppcl,14,281
11:05:55,100u,cartservice-7c84fdfb6-hsn24,38,159
11:05:55,100u,cartservice-7c84fdfb6-s4cp2,26,186
11:05:55,100u,cartservice-7c84fdfb6-sf94w,38,157
11:05:55,100u,checkoutservice-6f4dbd65bf-bxrff,6,18
11:05:55,100u,checkoutservice-6f4dbd65bf-clrtg,7,18
