cenario,run,utilizadores,rps,p50_ms,p90_ms,p99_ms,falhas_pct,pedidos_total,falhas_total
C1,run1,25u,71.8,47,130,660,0.0,8574,0
C1,run1,50u,88.1,160,280,1500,0.0,10508,0
C1,run1,75u,100.4,330,520,1800,23.53,11995,2822
C1,run2,25u,81.0,11,76,630,0.0,9617,0
C1,run2,50u,116.7,94,180,740,0.0,13921,0
C1,run2,75u,134.7,150,350,1100,22.18,16058,3562
C1,run3,25u,86.4,9,18,610,0.0,10314,0
C1,run3,50u,114.7,91,190,890,0.0,13661,0
C1,run3,75u,144.8,120,250,1600,23.41,17302,4051
C2,run1,25u,71.0,50,140,460,0.0,8479,0
C2,run1,50u,76.1,160,390,3700,27.86,9092,2533
C2,run2,25u,85.6,9,25,620,0.0,10232,0
C2,run2,50u,117.7,88,180,720,0.0,14060,0
C2,run2,75u,158.2,100,230,920,40.74,18901,7700
C2,run3,25u,87.2,9,35,170,0.0,10410,0
C2,run3,50u,117.6,88,190,810,0.0,14043,0
C2,run3,75u,144.2,130,290,1100,26.43,17226,4552
C3,run1,100u,146.5,170,530,980,0.0,17494,0
C3,run1,25u,80.1,14,46,810,0.0,9572,0
C3,run1,50u,127.7,57,160,700,0.0,15252,0
C3,run1,75u,128.5,130,420,630,0.0,15335,0
C3,run2,100u,146.2,200,490,900,1.0,17471,174
C3,run2,25u,82.1,13,39,730,0.0,9805,0
C3,run2,50u,106.0,140,270,830,0.0,12657,0
C3,run2,75u,134.9,110,390,710,0.0,16102,0
C3,run3,100u,138.5,160,620,920,0.0,16553,0
C3,run3,25u,87.1,13,29,87,0.0,10398,0
C3,run3,50u,113.6,95,230,740,0.0,13573,0
C3,run3,75u,137.4,150,360,500,0.0,16397,0
C3,run4,100u,194.3,89,270,850,0.0,23197,0
C3,run4,200u,207.7,130,780,1100,0.0,24789,0
C3,run4,300u,196.4,230,650,1400,1.33,23458,312
C3,run4,400u,195.3,250,670,1100,0.0,23341,0
C4,run1,100u,129.8,400,500,670,0.0,15497,0
C4,run1,200u,153.6,320,1200,1400,0.0,18344,0
C4,run1,300u,148.6,370,1100,1600,0.15,17745,26
C4,run1,400u,156.4,320,1100,1400,0.0,18664,0
C4,run2,100u,122.5,400,570,970,0.0,14630,0
C4,run2,200u,152.3,290,1100,1400,0.0,18177,0
C4,run2,300u,149.7,350,1200,1600,0.0,17872,0
C4,run2,400u,150.9,350,1200,1500,0.0,18017,0
C4,run3,100u,119.1,430,620,1200,0.0,14217,0
C4,run3,200u,121.2,690,1300,1500,0.0,14481,0
C4,run3,300u,142.7,400,1300,1800,0.0,17037,0
C4,run3,400u,141.5,400,1200,1700,0.0,16897,0
C5,run1,100u,161.1,190,350,690,0.0,19226,0
C5,run1,200u,182.2,320,630,980,0.0,21749,0
C5,run1,300u,174.4,360,700,1000,0.0,20823,0
C5,run1,400u,172.7,360,730,1200,0.0,20624,0
C5,run2,100u,164.2,180,350,660,0.0,19595,0
C5,run2,200u,184.2,300,650,1100,2.85,21993,626
C5,run2,300u,173.7,360,730,1100,0.42,20739,87
C5,run2,400u,178.6,340,690,1200,1.69,21322,361
C5,run3,100u,149.1,210,420,980,0.0,17793,0
C5,run3,200u,167.0,370,730,1200,0.0,19947,0
C5,run3,300u,176.2,340,720,1100,0.0,21045,0
C5,run3,400u,176.8,330,710,1200,0.0,21107,0
