NAME                    READY   UP-TO-DATE   AVAILABLE   AGE    CONTAINERS   IMAGES                  SELECTOR
adservice               1/1     1            1           3h7m   server       adservice               app=adservice
cartservice             1/1     1            1           3h7m   server       cartservice             app=cartservice
checkoutservice         1/1     1            1           3h7m   server       checkoutservice         app=checkoutservice
currencyservice         3/3     3            3           3h7m   server       currencyservice         app=currencyservice
emailservice            1/1     1            1           3h7m   server       emailservice            app=emailservice
frontend                3/3     3            3           3h7m   server       frontend                app=frontend
loadgenerator           0/0     0            0           3h7m   main         loadgenerator           app=loadgenerator
paymentservice          1/1     1            1           3h7m   server       paymentservice          app=paymentservice
productcatalogservice   3/1     3            3           3h7m   server       productcatalogservice   app=productcatalogservice
recommendationservice   3/1     3            3           3h7m   server       recommendationservice   app=recommendationservice
redis-cart              1/1     1            1           3h7m   redis        redis:alpine            app=redis-cart
shippingservice         3/1     3            3           3h7m   server       shippingservice         app=shippingservice
