NAME                                     CPU(cores)   MEMORY(bytes)   
cartservice-7c84fdfb6-t6zbr              47m          110Mi           
cartservice-7c84fdfb6-ps4fg              46m          109Mi           
recommendationservice-7444754ff5-n8cbh   6m           59Mi            
emailservice-66944ff59-2lcjl             5m           95Mi            
adservice-574bff445c-gdrhm               5m           146Mi           
adservice-574bff445c-ctfk9               5m           147Mi           
recommendationservice-7444754ff5-sn5zp   4m           51Mi            
recommendationservice-7444754ff5-lk6jf   4m           51Mi            
emailservice-66944ff59-tgb28             4m           56Mi            
emailservice-66944ff59-5fxsl             4m           56Mi            
currencyservice-7c8fc8fc9c-4hm9g         3m           124Mi           
currencyservice-7c8fc8fc9c-5frj9         3m           75Mi            
redis-cart-c8ff86559-kcf44               3m           37Mi            
currencyservice-7c8fc8fc9c-mgwx9         3m           105Mi           
paymentservice-9bfb7bf5-kgd56            3m           114Mi           
cartservice-7c84fdfb6-m5m6d              3m           187Mi           
checkoutservice-5b6d96c9b7-45rkr         2m           39Mi            
adservice-574bff445c-qb9cj               2m           273Mi           
paymentservice-9bfb7bf5-hwnsw            2m           64Mi            
paymentservice-9bfb7bf5-xht2h            2m           65Mi            
frontend-7bd6f45654-vfxkp                1m           35Mi            
productcatalogservice-65bbf699df-m67js   1m           19Mi            
productcatalogservice-65bbf699df-j2fmg   1m           44Mi            
frontend-7bd6f45654-s2s7z                1m           53Mi            
frontend-7bd6f45654-przgb                1m           35Mi            
shippingservice-f956b6d9f-8bhnj          1m           14Mi            
shippingservice-f956b6d9f-w7n4b          1m           35Mi            
shippingservice-f956b6d9f-wjpfk          1m           14Mi            
