NAME                    READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS   IMAGES                  SELECTOR
adservice               1/1     1            1           3h20m   server       adservice               app=adservice
cartservice             1/1     1            1           3h20m   server       cartservice             app=cartservice
checkoutservice         1/1     1            1           3h20m   server       checkoutservice         app=checkoutservice
currencyservice         3/3     3            3           3h20m   server       currencyservice         app=currencyservice
emailservice            1/1     1            1           3h20m   server       emailservice            app=emailservice
frontend                3/3     3            3           3h20m   server       frontend                app=frontend
loadgenerator           0/0     0            0           3h20m   main         loadgenerator           app=loadgenerator
paymentservice          1/1     1            1           3h20m   server       paymentservice          app=paymentservice
productcatalogservice   1/1     1            1           3h20m   server       productcatalogservice   app=productcatalogservice
recommendationservice   1/1     1            1           3h20m   server       recommendationservice   app=recommendationservice
redis-cart              1/1     1            1           3h20m   redis        redis:alpine            app=redis-cart
shippingservice         1/1     1            1           3h20m   server       shippingservice         app=shippingservice
