Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779314934,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779314935,2,,Aggregated,0.000000,0.000000,23,25,25,30,42,42,42,42,42,42,42,10,0,18,21.916933300000018,10.339417000000017,42.48562500000003,11645.1
1779314936,4,,Aggregated,0.000000,0.000000,19,22,23,25,30,33,42,42,42,42,42,25,0,19,21.029490000000028,10.339417000000017,42.48562500000003,11530.04
1779314937,6,,Aggregated,7.000000,0.000000,16,18,21,22,25,30,33,42,42,42,42,53,0,16,16.702244509433967,7.584167000000086,42.48562500000003,11784.22641509434
1779314938,8,,Aggregated,9.500000,0.000000,14,18,19,20,23,25,33,42,42,42,42,82,0,14,15.356296707317078,7.459749999999765,42.48562500000003,11696.121951219513
1779314939,10,,Aggregated,13.000000,0.000000,13,15,18,18,22,25,30,33,42,42,42,117,0,13,13.967130649572645,6.607999999999947,42.48562500000003,11411.623931623932
1779314940,12,,Aggregated,17.000000,0.000000,11,14,16,17,21,23,26,33,42,42,42,163,0,11,12.984364276073602,6.0911670000001195,42.48562500000003,11175.754601226994
1779314941,14,,Aggregated,20.200000,0.000000,11,14,16,18,21,25,33,42,52,52,52,215,0,11,13.211281399999999,6.0911670000001195,52.022750000000784,11172.990697674419
1779314942,16,,Aggregated,23.666667,0.000000,11,13,15,16,21,23,30,42,52,52,52,278,0,11,12.649359410071908,5.48883299999936,52.022750000000784,10940.719424460432
1779314943,18,,Aggregated,27.285714,0.000000,10,12,14,15,19,23,30,39,52,52,52,340,0,10,12.069231617647041,5.48883299999936,52.022750000000784,10822.632352941177
1779314944,20,,Aggregated,27.285714,0.000000,10,12,14,15,19,22,26,39,52,52,52,354,0,10,12.039249403954797,5.48883299999936,52.022750000000784,10880.200564971752
1779314945,22,,Aggregated,34.777778,0.000000,10,13,15,16,22,160,940,1000,1200,1200,1200,440,0,10,51.10921484999997,5.48883299999936,1156.7115000000001,10890.697727272727
1779314946,24,,Aggregated,35.400000,0.000000,10,12,14,15,19,33,880,1000,1200,1200,1200,527,0,10,44.15024041745728,5.138958999999943,1156.7115000000001,10735.013282732449
1779314947,26,,Aggregated,38.700000,0.000000,10,12,13,15,19,26,810,1000,1200,1200,1200,622,0,10,38.967786418006426,5.086000000000368,1156.7115000000001,10753.32154340836
1779314948,28,,Aggregated,46.500000,0.000000,10,11,13,14,18,24,740,980,1200,1200,1200,724,0,10,34.80118166574583,5.040665999999305,1156.7115000000001,10851.947513812154
