timestamp,load_label,pod,cpu_m,ram_mi
23:04:51,idle,adservice-574bff445c-qb9cj,31,273
23:04:51,idle,cartservice-7c84fdfb6-m5m6d,45,188
23:04:51,idle,checkoutservice-5b6d96c9b7-45rkr,8,38
23:04:51,idle,currencyservice-7c8fc8fc9c-4hm9g,55,125
23:04:51,idle,currencyservice-7c8fc8fc9c-5frj9,2,81
23:04:51,idle,currencyservice-7c8fc8fc9c-mgwx9,37,123
23:04:51,idle,emailservice-66944ff59-2lcjl,7,95
23:04:51,idle,frontend-7bd6f45654-przgb,44,38
23:04:51,idle,frontend-7bd6f45654-s2s7z,38,56
23:04:51,idle,frontend-7bd6f45654-vfxkp,46,39
23:04:51,idle,paymentservice-9bfb7bf5-kgd56,4,114
23:04:51,idle,productcatalogservice-65bbf699df-j2fmg,41,44
23:04:51,idle,recommendationservice-7444754ff5-n8cbh,73,58
23:04:51,idle,redis-cart-c8ff86559-kcf44,5,37
23:04:51,idle,shippingservice-f956b6d9f-w7n4b,7,35
23:04:54,100u,adservice-574bff445c-qb9cj,31,273
23:04:54,100u,cartservice-7c84fdfb6-m5m6d,45,188
23:04:54,100u,checkoutservice-5b6d96c9b7-45rkr,8,38
23:04:54,100u,currencyservice-7c8fc8fc9c-4hm9g,55,125
23:04:54,100u,currencyservice-7c8fc8fc9c-5frj9,2,81
23:04:54,100u,currencyservice-7c8fc8fc9c-mgwx9,37,123
23:04:54,100u,emailservice-66944ff59-2lcjl,7,95
23:04:54,100u,frontend-7bd6f45654-przgb,44,38
23:04:54,100u,frontend-7bd6f45654-s2s7z,38,56
23:04:54,100u,frontend-7bd6f45654-vfxkp,46,39
23:04:54,100u,paymentservice-9bfb7bf5-kgd56,4,114
23:04:54,100u,productcatalogservice-65bbf699df-j2fmg,41,44
23:04:54,100u,recommendationservice-7444754ff5-n8cbh,73,58
23:04:54,100u,redis-cart-c8ff86559-kcf44,5,37
23:04:54,100u,shippingservice-f956b6d9f-w7n4b,7,35
23:04:59,100u,adservice-574bff445c-qb9cj,31,273
23:04:59,100u,cartservice-7c84fdfb6-m5m6d,45,188
23:04:59,100u,checkoutservice-5b6d96c9b7-45rkr,8,38
23:04:59,100u,currencyservice-7c8fc8fc9c-4hm9g,55,125
23:04:59,100u,currencyservice-7c8fc8fc9c-5frj9,2,81
23:04:59,100u,currencyservice-7c8fc8fc9c-mgwx9,37,123
23:04:59,100u,emailservice-66944ff59-2lcjl,7,95
23:04:59,100u,frontend-7bd6f45654-przgb,44,38
23:04:59,100u,frontend-7bd6f45654-s2s7z,38,56
23:04:59,100u,frontend-7bd6f45654-vfxkp,46,39
23:04:59,100u,paymentservice-9bfb7bf5-kgd56,4,114
23:04:59,100u,productcatalogservice-65bbf699df-j2fmg,41,44
23:04:59,100u,recommendationservice-7444754ff5-n8cbh,73,58
23:04:59,100u,redis-cart-c8ff86559-kcf44,5,37
23:04:59,100u,shippingservice-f956b6d9f-w7n4b,7,35
23:05:01,100u,adservice-574bff445c-qb9cj,31,273
23:05:01,100u,cartservice-7c84fdfb6-m5m6d,45,188
23:05:01,100u,checkoutservice-5b6d96c9b7-45rkr,8,38
23:05:01,100u,currencyservice-7c8fc8fc9c-4hm9g,55,125
23:05:01,100u,currencyservice-7c8fc8fc9c-5frj9,2,81
23:05:01,100u,currencyservice-7c8fc8fc9c-mgwx9,37,123
23:05:01,100u,emailservice-66944ff59-2lcjl,7,95
23:05:01,100u,frontend-7bd6f45654-przgb,44,38
23:05:01,100u,frontend-7bd6f45654-s2s7z,38,56
23:05:01,100u,frontend-7bd6f45654-vfxkp,46,39
23:05:01,100u,paymentservice-9bfb7bf5-kgd56,4,114
23:05:01,100u,productcatalogservice-65bbf699df-j2fmg,41,44
23:05:01,100u,recommendationservice-7444754ff5-n8cbh,73,58
23:05:01,100u,redis-cart-c8ff86559-kcf44,5,37
23:05:01,100u,shippingservice-f956b6d9f-w7n4b,7,35
23:05:04,100u,adservice-574bff445c-qb9cj,31,273
